prop_type,gold_term,pred_term,top_methods_used,scores_by_method,is_hard_match,agg_score,selected,reason
ObjectProperty,inheritFrom,inherits from,jaro_winkler+sequence_match+levenshtein,jaro_winkler=0.9833; levenshtein=0.9167; semantic=0.8897; sequence_match=0.9565,False,0.9522,True,selected
ObjectProperty,constraint,has constraint,semantic+sequence_match+jaro_winkler,jaro_winkler=0.8231; levenshtein=0.7692; semantic=0.9340; sequence_match=0.8696,False,0.8755,True,selected
ObjectProperty,consequence,has consequence,sequence_match+jaro_winkler+semantic,jaro_winkler=0.8680; levenshtein=0.7857; semantic=0.8598; sequence_match=0.8800,False,0.8693,True,selected
ObjectProperty,operator,has operator,semantic+sequence_match+jaro_winkler,jaro_winkler=0.8258; levenshtein=0.7273; semantic=0.9131; sequence_match=0.8421,False,0.8603,True,selected
ObjectProperty,remedy,has remedy,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8889; levenshtein=0.6667; semantic=0.8339; sequence_match=0.8000,False,0.8409,True,selected
ObjectProperty,inheritRelation,inherits from,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8700; levenshtein=0.5333; semantic=0.7653; sequence_match=0.6667,False,0.7673,False,pred already taken by 'inheritFrom'
ObjectProperty,andSequence,has consequence,sequence_match+jaro_winkler+levenshtein,jaro_winkler=0.7411; levenshtein=0.6429; semantic=0.4854; sequence_match=0.8000,False,0.728,False,pred already taken by 'consequence'
ObjectProperty,constraint,contains asset,jaro_winkler+sequence_match+semantic,jaro_winkler=0.8530; levenshtein=0.4615; semantic=0.5673; sequence_match=0.6957,False,0.7053,False,gold already mapped to 'has constraint'
ObjectProperty,hasPolicy,has role,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8296; levenshtein=0.5556; semantic=0.6277; sequence_match=0.6250,False,0.6941,False,top-3 avg score 0.6941 < final_threshold 0.7
ObjectProperty,constraint,has nested constraint,semantic+sequence_match+jaro_winkler,jaro_winkler=0.5830; levenshtein=0.5263; semantic=0.7931; sequence_match=0.6897,False,0.6886,False,top-3 avg score 0.6886 < final_threshold 0.7
ObjectProperty,constraint,has requirement constraint,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6278; levenshtein=0.4167; semantic=0.8031; sequence_match=0.5882,False,0.673,False,top-3 avg score 0.6730 < final_threshold 0.7
ObjectProperty,hasPolicy,has party,jaro_winkler+sequence_match+semantic,jaro_winkler=0.8361; levenshtein=0.5556; semantic=0.5838; sequence_match=0.5882,False,0.6694,False,top-3 avg score 0.6694 < final_threshold 0.7
ObjectProperty,conflict,has conflict resolution strategy,jaro_winkler+semantic+sequence_match,jaro_winkler=0.7586; levenshtein=0.2759; semantic=0.7470; sequence_match=0.4324,False,0.646,False,top-3 avg score 0.6460 < final_threshold 0.7
ObjectProperty,operand,has operator,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5896; levenshtein=0.4545; semantic=0.7565; sequence_match=0.5556,False,0.6339,False,top-3 avg score 0.6339 < final_threshold 0.7
ObjectProperty,action,activated on failure of,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8600; levenshtein=0.3000; semantic=0.5578; sequence_match=0.4615,False,0.6264,False,top-3 avg score 0.6264 < final_threshold 0.7
ObjectProperty,action,has condition,jaro_winkler+sequence_match+semantic,jaro_winkler=0.6833; levenshtein=0.5000; semantic=0.5271; sequence_match=0.6667,False,0.6257,False,top-3 avg score 0.6257 < final_threshold 0.7
ObjectProperty,hasPolicy,has rule,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6720; levenshtein=0.4444; semantic=0.6712; sequence_match=0.5000,False,0.6144,False,top-3 avg score 0.6144 < final_threshold 0.7
ObjectProperty,constraint,has condition,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6972; levenshtein=0.2500; semantic=0.5957; sequence_match=0.5455,False,0.6128,False,top-3 avg score 0.6128 < final_threshold 0.7
ObjectProperty,failure,activated on failure of,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5262; levenshtein=0.3500; semantic=0.7788; sequence_match=0.5185,False,0.6078,False,top-3 avg score 0.6078 < final_threshold 0.7
ObjectProperty,scope,has operator,jaro_winkler+semantic+sequence_match,jaro_winkler=0.7212; levenshtein=0.2727; semantic=0.5825; sequence_match=0.5000,False,0.6012,False,top-3 avg score 0.6012 < final_threshold 0.7
ObjectProperty,remedy,precedes,jaro_winkler+sequence_match+levenshtein,jaro_winkler=0.7222; levenshtein=0.5000; semantic=0.4707; sequence_match=0.5714,False,0.5979,False,top-3 avg score 0.5979 < final_threshold 0.7
ObjectProperty,leftOperand,has operator,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5697; levenshtein=0.3636; semantic=0.7259; sequence_match=0.4545,False,0.5834,False,top-3 avg score 0.5834 < final_threshold 0.7
ObjectProperty,partOf,has party,jaro_winkler+sequence_match+semantic,jaro_winkler=0.6389; levenshtein=0.3750; semantic=0.5387; sequence_match=0.5714,False,0.583,False,top-3 avg score 0.5830 < final_threshold 0.7
ObjectProperty,scope,has role,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6762; levenshtein=0.4286; semantic=0.5690; sequence_match=0.5000,False,0.5817,False,top-3 avg score 0.5817 < final_threshold 0.7
ObjectProperty,conflict,has condition,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6806; levenshtein=0.3333; semantic=0.5593; sequence_match=0.5000,False,0.58,False,top-3 avg score 0.5800 < final_threshold 0.7
