prop_type,gold_term,pred_term,top_methods_used,scores_by_method,is_hard_match,agg_score,selected,reason
ObjectProperty,hasBody,has body,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
ObjectProperty,hasVintageYear,has vintage,jaro_winkler+semantic+sequence_match,jaro_winkler=0.9429; levenshtein=0.7143; semantic=0.8805; sequence_match=0.8333,False,0.8856,True,selected
ObjectProperty,hasWineDescriptor,has wine type,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8795; levenshtein=0.4706; semantic=0.7305; sequence_match=0.5714,False,0.7271,True,selected
ObjectProperty,hasSugar,has grape,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8444; levenshtein=0.3750; semantic=0.6485; sequence_match=0.6250,False,0.706,True,selected
ObjectProperty,hasBody,has bouquet,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8429; levenshtein=0.5000; semantic=0.6380; sequence_match=0.5882,False,0.6897,False,top-3 avg score 0.6897 < final_threshold 0.7
ObjectProperty,hasVintageYear,has wine type,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8483; levenshtein=0.4286; semantic=0.6552; sequence_match=0.5600,False,0.6878,False,top-3 avg score 0.6878 < final_threshold 0.7
ObjectProperty,madeFromGrape,has grape,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6261; levenshtein=0.4615; semantic=0.8078; sequence_match=0.5714,False,0.6684,False,top-3 avg score 0.6684 < final_threshold 0.7
ObjectProperty,hasColor,has body,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6905; levenshtein=0.5000; semantic=0.6722; sequence_match=0.5333,False,0.632,False,top-3 avg score 0.6320 < final_threshold 0.7
ObjectProperty,hasColor,has grape,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6667; levenshtein=0.3750; semantic=0.6878; sequence_match=0.5000,False,0.6182,False,top-3 avg score 0.6182 < final_threshold 0.7
ObjectProperty,hasFlavor,has body,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6720; levenshtein=0.3333; semantic=0.6475; sequence_match=0.5000,False,0.6065,False,top-3 avg score 0.6065 < final_threshold 0.7
ObjectProperty,hasFlavor,has grape,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6481; levenshtein=0.4444; semantic=0.6833; sequence_match=0.4706,False,0.6007,False,top-3 avg score 0.6007 < final_threshold 0.7
ObjectProperty,hasVintageYear,has grape,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6706; levenshtein=0.3571; semantic=0.6428; sequence_match=0.4545,False,0.5893,False,top-3 avg score 0.5893 < final_threshold 0.7
ObjectProperty,hasColor,has bouquet,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6333; levenshtein=0.4000; semantic=0.6551; sequence_match=0.4444,False,0.5776,False,top-3 avg score 0.5776 < final_threshold 0.7
ObjectProperty,hasFlavor,has vintage,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6185; levenshtein=0.3000; semantic=0.6585; sequence_match=0.4211,False,0.566,False,top-3 avg score 0.5660 < final_threshold 0.7
ObjectProperty,hasColor,has characteristic,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6397; levenshtein=0.2941; semantic=0.6426; sequence_match=0.4000,False,0.5608,False,top-3 avg score 0.5608 < final_threshold 0.7
ObjectProperty,hasSugar,has vintage,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6417; levenshtein=0.4000; semantic=0.5748; sequence_match=0.4444,False,0.5536,False,top-3 avg score 0.5536 < final_threshold 0.7
ObjectProperty,hasWineDescriptor,has vintage,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6510; levenshtein=0.2941; semantic=0.5605; sequence_match=0.4444,False,0.552,False,top-3 avg score 0.5520 < final_threshold 0.7
ObjectProperty,hasFlavor,has characteristic,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6166; levenshtein=0.2941; semantic=0.6483; sequence_match=0.3846,False,0.5498,False,top-3 avg score 0.5498 < final_threshold 0.7
ObjectProperty,hasFlavor,has bouquet,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6148; levenshtein=0.3000; semantic=0.6067; sequence_match=0.4211,False,0.5475,False,top-3 avg score 0.5475 < final_threshold 0.7
ObjectProperty,hasBody,has grape,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6012; levenshtein=0.3750; semantic=0.6298; sequence_match=0.4000,False,0.5437,False,top-3 avg score 0.5437 < final_threshold 0.7
ObjectProperty,hasBody,has wine type,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6450; levenshtein=0.3636; semantic=0.5371; sequence_match=0.4444,False,0.5422,False,top-3 avg score 0.5422 < final_threshold 0.7
ObjectProperty,hasSugar,has bouquet,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6333; levenshtein=0.4000; semantic=0.5350; sequence_match=0.4444,False,0.5376,False,top-3 avg score 0.5376 < final_threshold 0.7
ObjectProperty,hasWineDescriptor,has grape,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6454; levenshtein=0.2941; semantic=0.6442; sequence_match=0.3200,False,0.5365,False,top-3 avg score 0.5365 < final_threshold 0.7
ObjectProperty,hasVintageYear,has body,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6190; levenshtein=0.2857; semantic=0.5905; sequence_match=0.3810,False,0.5302,False,top-3 avg score 0.5302 < final_threshold 0.7
ObjectProperty,hasBody,has vintage,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5762; levenshtein=0.3000; semantic=0.6549; sequence_match=0.3529,False,0.528,False,top-3 avg score 0.5280 < final_threshold 0.7
ObjectProperty,hasWineDescriptor,has characteristic,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6255; levenshtein=0.3529; semantic=0.5353; sequence_match=0.4118,False,0.5242,False,top-3 avg score 0.5242 < final_threshold 0.7
ObjectProperty,hasSugar,has body,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6012; levenshtein=0.3750; semantic=0.5682; sequence_match=0.4000,False,0.5231,False,top-3 avg score 0.5231 < final_threshold 0.7
ObjectProperty,hasColor,has vintage,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5583; levenshtein=0.3000; semantic=0.6744; sequence_match=0.3333,False,0.522,False,top-3 avg score 0.5220 < final_threshold 0.7
ObjectProperty,hasSugar,has characteristic,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6397; levenshtein=0.2941; semantic=0.5188; sequence_match=0.4000,False,0.5195,False,top-3 avg score 0.5195 < final_threshold 0.7
ObjectProperty,hasVintageYear,has characteristic,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5973; levenshtein=0.2941; semantic=0.5839; sequence_match=0.3226,False,0.5013,False,top-3 avg score 0.5013 < final_threshold 0.7
ObjectProperty,hasVintageYear,has bouquet,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5524; levenshtein=0.2857; semantic=0.6111; sequence_match=0.3333,False,0.4989,False,top-3 avg score 0.4989 < final_threshold 0.7
ObjectProperty,locatedIn,originates from,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5873; levenshtein=0.2143; semantic=0.5607; sequence_match=0.3478,False,0.4986,False,top-3 avg score 0.4986 < final_threshold 0.7
ObjectProperty,madeFromGrape,has wine type,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5571; levenshtein=0.2308; semantic=0.5957; sequence_match=0.3333,False,0.4954,False,top-3 avg score 0.4954 < final_threshold 0.7
ObjectProperty,hasWineDescriptor,has bouquet,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5980; levenshtein=0.2941; semantic=0.5096; sequence_match=0.3704,False,0.4927,False,top-3 avg score 0.4927 < final_threshold 0.7
ObjectProperty,madeFromGrape,originates from,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5623; levenshtein=0.0714; semantic=0.4660; sequence_match=0.4444,False,0.4909,False,top-3 avg score 0.4909 < final_threshold 0.7
ObjectProperty,hasVintageYear,originates from,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5714; levenshtein=0.2143; semantic=0.5266; sequence_match=0.3571,False,0.4851,False,top-3 avg score 0.4851 < final_threshold 0.7
ObjectProperty,hasColor,has wine type,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5492; levenshtein=0.2727; semantic=0.5810; sequence_match=0.3158,False,0.482,False,top-3 avg score 0.4820 < final_threshold 0.7
