prop_type,gold_term,pred_term,top_methods_used,scores_by_method,is_hard_match,agg_score,selected,reason
ObjectProperty,madeFromGrape,made from grape,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
ObjectProperty,hasVintageYear,has vintage,jaro_winkler+semantic+sequence_match,jaro_winkler=0.9429; levenshtein=0.7143; semantic=0.8805; sequence_match=0.8333,False,0.8856,True,selected
ObjectProperty,hasFlavor,has vintage,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6185; levenshtein=0.3000; semantic=0.6585; sequence_match=0.4211,False,0.566,False,top-3 avg score 0.5660 < final_threshold 0.7
ObjectProperty,hasSugar,has vintage,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6417; levenshtein=0.4000; semantic=0.5748; sequence_match=0.4444,False,0.5536,False,top-3 avg score 0.5536 < final_threshold 0.7
ObjectProperty,hasWineDescriptor,has vintage,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6510; levenshtein=0.2941; semantic=0.5605; sequence_match=0.4444,False,0.552,False,top-3 avg score 0.5520 < final_threshold 0.7
ObjectProperty,hasBody,has vintage,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5762; levenshtein=0.3000; semantic=0.6549; sequence_match=0.3529,False,0.528,False,top-3 avg score 0.5280 < final_threshold 0.7
ObjectProperty,locatedIn,produced in region,jaro_winkler+sequence_match+semantic,jaro_winkler=0.6250; levenshtein=0.3125; semantic=0.4719; sequence_match=0.4800,False,0.5256,False,top-3 avg score 0.5256 < final_threshold 0.7
ObjectProperty,hasColor,has vintage,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5583; levenshtein=0.3000; semantic=0.6744; sequence_match=0.3333,False,0.522,False,top-3 avg score 0.5220 < final_threshold 0.7
ObjectProperty,hasWineDescriptor,made from grape,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5548; levenshtein=0.1765; semantic=0.5991; sequence_match=0.3333,False,0.4957,False,top-3 avg score 0.4957 < final_threshold 0.7
ObjectProperty,hasFlavor,made from grape,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5801; levenshtein=0.2308; semantic=0.5460; sequence_match=0.2727,False,0.4662,False,top-3 avg score 0.4662 < final_threshold 0.7
ObjectProperty,locatedIn,has vintage,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5519; levenshtein=0.0000; semantic=0.5223; sequence_match=0.3158,False,0.4633,False,top-3 avg score 0.4633 < final_threshold 0.7
