PropertyType,GoldPredicate,PredPredicate,GoldPredicateNorm,PredPredicateNorm,GoldType,PredType,TypeVerdict,GoldDomain,PredDomain,GoldDomainNorm,PredDomainNorm,DomainStatus,GoldRange,PredRange,GoldRangeNorm,PredRangeNorm,RangeStatus,FullMatch,Note
DatatypeProperty,has documentation,documentation URL,hasdocumentation,documentationurl,DatatypeProperty,DatatypeProperty,tp,,Software Tool,,softwaretool,fp,xsd:string,xsd:anyuri,xsdstring,xsdanyuri,mismatch,NO,
DatatypeProperty,has release date,last release date,hasreleasedate,lastreleasedate,DatatypeProperty,DatatypeProperty,tp,,Software Tool,,softwaretool,fp,xsd:string,xsd:dateTime,xsdstring,xsddatetime,mismatch,NO,
DatatypeProperty,has support URL,support email,hassupporturl,supportemail,DatatypeProperty,DatatypeProperty,tp,,Software Tool,,softwaretool,fp,xsd:http://www.w3.org/2000/01/rdf-schema#literal,xsd:string,literal,xsdstring,mismatch,NO,
ObjectProperty,has input,has input format,hasinput,hasinputformat,ObjectProperty,ObjectProperty,tp,,Software Tool,,softwaretool,fp,,Data Format,,dataformat,fp,NO,
ObjectProperty,has license,has license,haslicense,haslicense,ObjectProperty,ObjectProperty,tp,,Software Tool,,softwaretool,fp,,License,,license,fp,NO,
ObjectProperty,has output,has output format,hasoutput,hasoutputformat,ObjectProperty,ObjectProperty,tp,,Software Tool,,softwaretool,fp,,Data Format,,dataformat,fp,NO,
ObjectProperty,has version,has version,hasversion,hasversion,ObjectProperty,ObjectProperty,tp,,Software Tool,,softwaretool,fp,version number,Version,versionnumber,version,tp,NO,
ObjectProperty,implements,implemented in,implements,implementedin,ObjectProperty,ObjectProperty,tp,,Software Tool,,softwaretool,fp,algorithm,Programming Language,algorithm,programminglanguage,mismatch,NO,
ObjectProperty,is developed by,is developer of,isdevelopedby,isdeveloperof,ObjectProperty,ObjectProperty,tp,,Developer,,developer,fp,,Software Tool,,softwaretool,fp,NO,
ObjectProperty,is software for,is software type of,issoftwarefor,issoftwaretypeof,ObjectProperty,ObjectProperty,tp,,Software Type,,softwaretype,fp,,Software Tool,,softwaretool,fp,NO,
ObjectProperty,uses platform,runs on platform,usesplatform,runsonplatform,ObjectProperty,ObjectProperty,tp,,Software Tool,,softwaretool,fp,,Platform,,platform,fp,NO,
ObjectProperty,uses software,has software type,usessoftware,hassoftwaretype,ObjectProperty,ObjectProperty,tp,SWO_0000001,Software Tool,swo0000001,softwaretool,mismatch,SWO_0000001,Software Type,swo0000001,softwaretype,mismatch,NO,
