prop_type,gold_term,pred_term,top_methods_used,scores_by_method,is_hard_match,agg_score,selected,reason
ObjectProperty,eats,eats,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
ObjectProperty,eats,eatsPlant,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8889; levenshtein=0.4444; semantic=0.6737; sequence_match=0.6154,False,0.726,False,gold already mapped to 'eats'
ObjectProperty,eaten-by,eats,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8083; levenshtein=0.4286; semantic=0.7531; sequence_match=0.5455,False,0.7023,False,pred already taken by 'eats'
ObjectProperty,eats,eatsPlantPart,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8615; levenshtein=0.3077; semantic=0.6562; sequence_match=0.4706,False,0.6628,False,top-3 avg score 0.6628 < final_threshold 0.7
ObjectProperty,has-part,eatsPlant,jaro_winkler+sequence_match+levenshtein,jaro_winkler=0.7566; levenshtein=0.5556; semantic=0.4526; sequence_match=0.6250,False,0.6457,False,top-3 avg score 0.6457 < final_threshold 0.7
ObjectProperty,eaten-by,eatsPlant,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6720; levenshtein=0.3333; semantic=0.6780; sequence_match=0.5000,False,0.6166,False,top-3 avg score 0.6166 < final_threshold 0.7
ObjectProperty,has-part,eatsPlantPart,semantic+sequence_match+jaro_winkler,jaro_winkler=0.5663; levenshtein=0.4615; semantic=0.6221; sequence_match=0.6000,False,0.5961,False,top-3 avg score 0.5961 < final_threshold 0.7
ObjectProperty,eaten-by,eatsPlantPart,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6264; levenshtein=0.3077; semantic=0.6120; sequence_match=0.4000,False,0.5461,False,top-3 avg score 0.5461 < final_threshold 0.7
ObjectProperty,has-part,eats,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5952; levenshtein=0.1429; semantic=0.5361; sequence_match=0.3636,False,0.4983,False,top-3 avg score 0.4983 < final_threshold 0.7
ObjectProperty,is-proper-part-of,eatsPlantPart,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5366; levenshtein=0.2857; semantic=0.4884; sequence_match=0.4444,False,0.4898,False,top-3 avg score 0.4898 < final_threshold 0.7
ObjectProperty,is-part-of,eatsPlantPart,semantic+sequence_match+jaro_winkler,jaro_winkler=0.4359; levenshtein=0.3077; semantic=0.4829; sequence_match=0.4762,False,0.465,False,top-3 avg score 0.4650 < final_threshold 0.7
ObjectProperty,is-part-of,eatsPlant,jaro_winkler+sequence_match+semantic,jaro_winkler=0.4815; levenshtein=0.2222; semantic=0.3866; sequence_match=0.4706,False,0.4462,False,top-3 avg score 0.4462 < final_threshold 0.7
ObjectProperty,is-part-of,eats,jaro_winkler+semantic+levenshtein,jaro_winkler=0.5972; levenshtein=0.2500; semantic=0.4611; sequence_match=0.1667,False,0.4361,False,top-3 avg score 0.4361 < final_threshold 0.7
ObjectProperty,is-proper-part-of,eatsPlant,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5709; levenshtein=0.2143; semantic=0.3697; sequence_match=0.3478,False,0.4295,False,top-3 avg score 0.4295 < final_threshold 0.7
ObjectProperty,is-proper-part-of,eats,semantic+jaro_winkler+levenshtein,jaro_winkler=0.3810; levenshtein=0.2143; semantic=0.4414; sequence_match=0.1111,False,0.3455,False,top-3 avg score 0.3455 < final_threshold 0.7
