side,dimension,sub,sup,status,raw_pred_sub,raw_pred_sup
gold,class,AcceptabilityProperty,WaterProperty,FN,,
gold,class,Actuator,Device,FN,,
gold,class,ChemicalProperty,WaterProperty,FN,,
gold,class,Meter,Device,FN,,
gold,class,Meter,Sensor,FN,,
gold,class,Point,Geometry,FN,,
gold,class,Sensor,Device,FN,,
gold,class,TimeBasedTariff,Tariff,FN,,
gold,class,Water,FeatureOfInterest,FN,,
gold,class,WaterAsset,FeatureOfInterest,FN,,
gold,class,WaterMeter,Device,FN,,
gold,class,WaterMeter,Meter,FN,,
gold,class,WaterMeter,Sensor,TP,,
pred,class,Point,WaterProperty,FP,,
pred,class,WaterAsset,Sensor,FP,,
pred,class,,,untranslated,Actuator,Asset
pred,class,,,untranslated,Density,PhysicalProperty
pred,class,,,untranslated,FlowSensor,Asset
pred,class,,,untranslated,FlowSensor,Sensor
pred,class,,,untranslated,MeltingPoint,PhysicalProperty
pred,class,,,untranslated,PressureSensor,Asset
pred,class,,,untranslated,PressureSensor,Sensor
pred,class,,,untranslated,PumpActuator,Actuator
pred,class,,,untranslated,PumpActuator,Asset
pred,class,,,untranslated,Sensor,Asset
pred,class,,,untranslated,ValveActuator,Actuator
pred,class,,,untranslated,ValveActuator,Asset
pred,class,,,untranslated,Viscosity,PhysicalProperty
pred,class,,,untranslated,WaterMeter,Asset
pred,class,,,untranslated,WaterQualitySensor,Asset
