Gold_term,Pre_term,Method,Score
CEL ASCII format,Data Format,top3_avg(jaro_winkler+semantic+sequence_match),0.6714794251653884
CEL binary format,Open Format,top3_avg(jaro_winkler+semantic+sequence_match),0.672743413536637
Development status,Developer,top3_avg(jaro_winkler+semantic+sequence_match),0.7358428734000532
Maintained,Maintained,hard_match,1.0
Open source software license,Open Source,top3_avg(jaro_winkler+semantic+sequence_match),0.7513942450568788
algorithm,Algorithm,hard_match,1.0
data format specification,Data Format Type,top3_avg(jaro_winkler+semantic+sequence_match),0.7791154306926344
data item,Data,top3_avg(jaro_winkler+semantic+sequence_match),0.7815332425965202
file rendering,GIF Rendering,top3_avg(jaro_winkler+levenshtein+sequence_match),0.7997539497539498
licence,License Permissiveness,top3_avg(jaro_winkler+semantic+sequence_match),0.6796100389389764
plain text file format,Proprietary Format,top3_avg(jaro_winkler+levenshtein+semantic),0.6130517673719093
programming language,Programming Language,hard_match,1.0
software,Software Type,top3_avg(jaro_winkler+semantic+sequence_match),0.8460435019599067
software developer role,Software License Type,top3_avg(jaro_winkler+semantic+sequence_match),0.6576243612432409
software interface,Software Source,top3_avg(jaro_winkler+semantic+sequence_match),0.7603004664278873
text editing,XML Editing,top3_avg(jaro_winkler+semantic+sequence_match),0.7581468802165848
version number,Version,top3_avg(jaro_winkler+semantic+sequence_match),0.8497086188732048
web service,Web Service,hard_match,1.0
