Gold_term,Pre_term,Method,Score
has fabrication number,Fabrication Number,top3_avg(jaro_winkler+semantic+sequence_match),0.9139
has firmware version,Firmware Version,top3_avg(jaro_winkler+semantic+sequence_match),0.903
has manufacturer,Manufacturer,top3_avg(jaro_winkler+semantic+sequence_match),0.8869
has model,Model,top3_avg(jaro_winkler+semantic+sequence_match),0.8411
has version,Version,top3_avg(jaro_winkler+semantic+sequence_match),0.8461
has billing period,Has Billing Date Period,top3_avg(jaro_winkler+semantic+sequence_match),0.9213
has measurement,Has Measurement Setting,top3_avg(jaro_winkler+semantic+sequence_match),0.8632
has period,Has Tariff Period,top3_avg(jaro_winkler+semantic+sequence_match),0.7762
has property,Has Physical Property,top3_avg(jaro_winkler+semantic+sequence_match),0.7886
measurement made by,Measures,top3_avg(jaro_winkler+semantic+sequence_match),0.745
