gold_term,pred_term,top_methods_used,scores_by_method,is_hard_match,agg_score,selected,reason
Actuator,Actuator,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
ChemicalProperty,Chemical Property,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
Sensor,Sensor,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
Tariff,Tariff,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
Water,Water,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
Water meter,Water Meter,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
Water property,Water Property,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
Water infrastructure,Water Distribution Infrastructure,semantic+jaro_winkler+sequence_match,jaro_winkler=0.8699; levenshtein=0.6129; semantic=0.9136; sequence_match=0.7600,False,0.8479,True,selected
Water asset,Asset,semantic+sequence_match+jaro_winkler,jaro_winkler=0.6500; levenshtein=0.5000; semantic=0.7889; sequence_match=0.6667,False,0.7019,True,selected
Measurement,Water Meter Measurement,semantic+sequence_match+jaro_winkler,jaro_winkler=0.5777; levenshtein=0.5238; semantic=0.8332; sequence_match=0.6875,False,0.6995,True,selected
Tariff,Tariff Usage,jaro_winkler+semantic+sequence_match,jaro_winkler=0.9091; levenshtein=0.5455; semantic=0.8120; sequence_match=0.7059,False,0.809,False,gold already mapped to 'Tariff'
Water meter,Water Meter Measurement,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8952; levenshtein=0.4762; semantic=0.8649; sequence_match=0.6452,False,0.8018,False,gold already mapped to 'Water Meter'
Water property,Water Property Measurement,jaro_winkler+semantic+sequence_match,jaro_winkler=0.9083; levenshtein=0.5417; semantic=0.7654; sequence_match=0.7027,False,0.7922,False,gold already mapped to 'Water Property'
Water asset,Water,jaro_winkler+semantic+sequence_match,jaro_winkler=0.9000; levenshtein=0.5000; semantic=0.7825; sequence_match=0.6667,False,0.783,False,pred already taken by 'Water' (higher averaged score)
Water asset,Water Property,semantic+jaro_winkler+sequence_match,jaro_winkler=0.8477; levenshtein=0.5385; semantic=0.8613; sequence_match=0.6087,False,0.7726,False,pred already taken by 'Water property' (higher averaged score)
Water,Water Meter,jaro_winkler+semantic+sequence_match,jaro_winkler=0.9000; levenshtein=0.5000; semantic=0.7251; sequence_match=0.6667,False,0.7639,False,gold already mapped to 'Water'
Water meter,Water,jaro_winkler+semantic+sequence_match,jaro_winkler=0.9000; levenshtein=0.5000; semantic=0.7251; sequence_match=0.6667,False,0.7639,False,gold already mapped to 'Water Meter'
Water asset,Water Meter,jaro_winkler+sequence_match+semantic,jaro_winkler=0.8800; levenshtein=0.6000; semantic=0.6763; sequence_match=0.7000,False,0.7521,False,pred already taken by 'Water meter' (higher averaged score)
Water,Water Property,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8769; levenshtein=0.3846; semantic=0.7434; sequence_match=0.5556,False,0.7253,False,gold already mapped to 'Water'
Water property,Water,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8769; levenshtein=0.3846; semantic=0.7434; sequence_match=0.5556,False,0.7253,False,gold already mapped to 'Water Property'
Water meter,Water Property,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8581; levenshtein=0.5385; semantic=0.6433; sequence_match=0.6087,False,0.7033,False,gold already mapped to 'Water Meter'
Water property,Water Meter,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8581; levenshtein=0.5385; semantic=0.6433; sequence_match=0.6087,False,0.7033,False,gold already mapped to 'Water Property'
Water meter,Water Property Measurement,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8633; levenshtein=0.3750; semantic=0.7460; sequence_match=0.4706,False,0.6933,False,gold already mapped to 'Water Meter'
Meter,Water Meter,semantic+sequence_match+jaro_winkler,jaro_winkler=0.5667; levenshtein=0.5000; semantic=0.8181; sequence_match=0.6667,False,0.6838,False,pred already taken by 'Water meter' (higher averaged score)
Water infrastructure,Water,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8526; levenshtein=0.2632; semantic=0.7618; sequence_match=0.4167,False,0.677,False,gold already mapped to 'Water Distribution Infrastructure'
Water asset,Water Meter Measurement,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8213; levenshtein=0.4286; semantic=0.5891; sequence_match=0.5806,False,0.6637,False,gold already mapped to 'Asset'
Water infrastructure,Water Property Measurement,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8212; levenshtein=0.3750; semantic=0.6490; sequence_match=0.5116,False,0.6606,False,gold already mapped to 'Water Distribution Infrastructure'
Measurement,Water Property Measurement,semantic+sequence_match+jaro_winkler,jaro_winkler=0.4998; levenshtein=0.4583; semantic=0.8150; sequence_match=0.6286,False,0.6478,False,gold already mapped to 'Water Meter Measurement'
Meter,Water,jaro_winkler+sequence_match+levenshtein,jaro_winkler=0.7333; levenshtein=0.6000; semantic=0.5987; sequence_match=0.6000,False,0.6444,False,pred already taken by 'Water' (higher averaged score)
ChemicalProperty,Water Property,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6647; levenshtein=0.5000; semantic=0.6233; sequence_match=0.6207,False,0.6362,False,gold already mapped to 'Chemical Property'
Water property,Chemical Property,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6647; levenshtein=0.5000; semantic=0.6233; sequence_match=0.6207,False,0.6362,False,gold already mapped to 'Water Property'
Water asset,Water Property Measurement,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6843; levenshtein=0.3750; semantic=0.6847; sequence_match=0.5294,False,0.6328,False,gold already mapped to 'Asset'
