prop_type,gold_term,pred_term,top_methods_used,scores_by_method,is_hard_match,agg_score,selected,reason
ObjectProperty,has achievement,has achievement,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
ObjectProperty,plays game,plays game,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
ObjectProperty,has game genre,has genre,jaro_winkler+semantic+sequence_match,jaro_winkler=0.9083; levenshtein=0.6667; semantic=0.8370; sequence_match=0.8000,False,0.8484,True,selected
ObjectProperty,has item,game has item,semantic+sequence_match+jaro_winkler,jaro_winkler=0.7359; levenshtein=0.6364; semantic=0.8320; sequence_match=0.7778,False,0.7819,True,selected
ObjectProperty,is achievement in game,game has achievement,semantic+jaro_winkler+sequence_match,jaro_winkler=0.7192; levenshtein=0.3684; semantic=0.8788; sequence_match=0.6486,False,0.7489,True,selected
ObjectProperty,is character in game,is contained in game,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8239; levenshtein=0.6471; semantic=0.6848; sequence_match=0.6471,False,0.7186,True,selected
ObjectProperty,owns achievement,has achievement,semantic+jaro_winkler+sequence_match,jaro_winkler=0.8579; levenshtein=0.8000; semantic=0.8760; sequence_match=0.8276,False,0.8538,False,pred already taken by 'has achievement'
ObjectProperty,has achievement,game has achievement,sequence_match+semantic+jaro_winkler,jaro_winkler=0.8069; levenshtein=0.7778; semantic=0.8383; sequence_match=0.8750,False,0.8401,False,gold already mapped to 'has achievement'
ObjectProperty,is achievement in game,has achievement,jaro_winkler+semantic+sequence_match,jaro_winkler=0.7740; levenshtein=0.5789; semantic=0.7680; sequence_match=0.7273,False,0.7564,False,pred already taken by 'has achievement'
ObjectProperty,owns achievement,game has achievement,semantic+sequence_match+jaro_winkler,jaro_winkler=0.6833; levenshtein=0.6667; semantic=0.7882; sequence_match=0.7273,False,0.7329,False,pred already taken by 'is achievement in game'
ObjectProperty,has feature,has genre,jaro_winkler+sequence_match+levenshtein,jaro_winkler=0.8483; levenshtein=0.6000; semantic=0.5514; sequence_match=0.6667,False,0.705,False,pred already taken by 'has game genre'
ObjectProperty,is achievement in game,is contained in game,jaro_winkler+semantic+sequence_match,jaro_winkler=0.7685; levenshtein=0.5263; semantic=0.6879; sequence_match=0.6111,False,0.6891,False,top-3 avg score 0.6891 < final_threshold 0.7
ObjectProperty,has item,has achievement,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8333; levenshtein=0.4286; semantic=0.6448; sequence_match=0.5714,False,0.6832,False,top-3 avg score 0.6832 < final_threshold 0.7
ObjectProperty,has item,player has item,semantic+sequence_match+levenshtein,jaro_winkler=0.4799; levenshtein=0.5385; semantic=0.7951; sequence_match=0.7000,False,0.6778,False,top-3 avg score 0.6778 < final_threshold 0.7
ObjectProperty,has item,has friend,jaro_winkler+sequence_match+semantic,jaro_winkler=0.8296; levenshtein=0.4444; semantic=0.5748; sequence_match=0.6250,False,0.6765,False,top-3 avg score 0.6765 < final_threshold 0.7
ObjectProperty,is session in game,is contained in game,jaro_winkler+sequence_match+semantic,jaro_winkler=0.7793; levenshtein=0.5294; semantic=0.6149; sequence_match=0.6250,False,0.6731,False,top-3 avg score 0.6731 < final_threshold 0.7
ObjectProperty,has game genre,is genre of,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6667; levenshtein=0.3333; semantic=0.7225; sequence_match=0.5714,False,0.6535,False,top-3 avg score 0.6535 < final_threshold 0.7
ObjectProperty,has game genre,plays game,jaro_winkler+semantic+sequence_match,jaro_winkler=0.7222; levenshtein=0.3333; semantic=0.6653; sequence_match=0.5714,False,0.653,False,top-3 avg score 0.6530 < final_threshold 0.7
ObjectProperty,has playing area,game has area,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6829; levenshtein=0.4286; semantic=0.7138; sequence_match=0.5600,False,0.6522,False,top-3 avg score 0.6522 < final_threshold 0.7
ObjectProperty,plays game,player has item,jaro_winkler+sequence_match+semantic,jaro_winkler=0.8759; levenshtein=0.4615; semantic=0.5258; sequence_match=0.5455,False,0.649,False,top-3 avg score 0.6490 < final_threshold 0.7
ObjectProperty,has playing area,plays game,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6951; levenshtein=0.5000; semantic=0.6305; sequence_match=0.6087,False,0.6448,False,top-3 avg score 0.6448 < final_threshold 0.7
ObjectProperty,has feature,has friend,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8200; levenshtein=0.4000; semantic=0.5878; sequence_match=0.5263,False,0.6447,False,top-3 avg score 0.6447 < final_threshold 0.7
ObjectProperty,purchases game offering,is purchase of,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6923; levenshtein=0.3810; semantic=0.6095; sequence_match=0.6061,False,0.6359,False,top-3 avg score 0.6359 < final_threshold 0.7
ObjectProperty,has game genre,has achievement,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8065; levenshtein=0.3571; semantic=0.5386; sequence_match=0.5385,False,0.6279,False,top-3 avg score 0.6279 < final_threshold 0.7
ObjectProperty,is player in session,is played by,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8224; levenshtein=0.4118; semantic=0.5403; sequence_match=0.5185,False,0.6271,False,top-3 avg score 0.6271 < final_threshold 0.7
ObjectProperty,plays game,is played by,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6444; levenshtein=0.3000; semantic=0.7075; sequence_match=0.5263,False,0.6261,False,top-3 avg score 0.6261 < final_threshold 0.7
ObjectProperty,has game genre,game has area,jaro_winkler+semantic+sequence_match,jaro_winkler=0.7079; levenshtein=0.3333; semantic=0.6435; sequence_match=0.5217,False,0.6244,False,top-3 avg score 0.6244 < final_threshold 0.7
ObjectProperty,is friend with player,has friend,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6270; levenshtein=0.3333; semantic=0.7202; sequence_match=0.5185,False,0.6219,False,top-3 avg score 0.6219 < final_threshold 0.7
ObjectProperty,has playing area,has genre,jaro_winkler+sequence_match+semantic,jaro_winkler=0.8208; levenshtein=0.4286; semantic=0.4903; sequence_match=0.5455,False,0.6189,False,top-3 avg score 0.6189 < final_threshold 0.7
ObjectProperty,has achievement,has friend,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6984; levenshtein=0.4286; semantic=0.6360; sequence_match=0.5217,False,0.6187,False,top-3 avg score 0.6187 < final_threshold 0.7
ObjectProperty,is leaderboard in game,is contained in game,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6958; levenshtein=0.4737; semantic=0.5914; sequence_match=0.5556,False,0.6143,False,top-3 avg score 0.6143 < final_threshold 0.7
ObjectProperty,involves player,is played by,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5905; levenshtein=0.3571; semantic=0.6527; sequence_match=0.5833,False,0.6088,False,top-3 avg score 0.6088 < final_threshold 0.7
ObjectProperty,has item,has genre,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6905; levenshtein=0.3750; semantic=0.6007; sequence_match=0.5333,False,0.6082,False,top-3 avg score 0.6082 < final_threshold 0.7
ObjectProperty,has character,has achievement,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6627; levenshtein=0.4286; semantic=0.6890; sequence_match=0.4615,False,0.6044,False,top-3 avg score 0.6044 < final_threshold 0.7
