Gold_term,Pre_term,Method,Score
.csv,CSV Format,top3_avg(jaro_winkler+semantic+sequence_match),0.7421204814204462
CEL ASCII format,CEL Format,top3_avg(jaro_winkler+semantic+sequence_match),0.8345208382324959
Development status,Developer,top3_avg(jaro_winkler+semantic+sequence_match),0.7358428734000532
Maintained,Maintenance Status,top3_avg(jaro_winkler+semantic+sequence_match),0.7277887221186076
algorithm,Algorithm,hard_match,1.0
data format specification,Format Conversion,top3_avg(jaro_winkler+semantic+sequence_match),0.6000621801752827
data item,Data,top3_avg(jaro_winkler+semantic+sequence_match),0.7815332425965202
file rendering,GIF Rendering,top3_avg(jaro_winkler+levenshtein+sequence_match),0.7997539497539498
licence,License,top3_avg(jaro_winkler+levenshtein+semantic),0.9057853778203327
plain text file format,TXT Format,top3_avg(levenshtein+semantic+sequence_match),0.6447218946346962
programming language,Programming Language,hard_match,1.0
software,Software Type,top3_avg(jaro_winkler+semantic+sequence_match),0.8460435019599067
text editing,XML Editing,top3_avg(jaro_winkler+semantic+sequence_match),0.7581468802165848
version number,Tool Version,top3_avg(jaro_winkler+semantic+sequence_match),0.6735399782108485
web service,Web Service,hard_match,1.0
