prop_type,gold_term,pred_term,top_methods_used,scores_by_method,is_hard_match,agg_score,selected,reason
ObjectProperty,has license,has license,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
ObjectProperty,has version,has version,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
ObjectProperty,has output,has output format,jaro_winkler+semantic+sequence_match,jaro_winkler=0.9200; levenshtein=0.6000; semantic=0.8329; sequence_match=0.7500,False,0.8343,True,selected
ObjectProperty,has input,has input format,jaro_winkler+semantic+sequence_match,jaro_winkler=0.9143; levenshtein=0.5714; semantic=0.7945; sequence_match=0.7273,False,0.812,True,selected
ObjectProperty,uses platform,runs on platform,semantic+sequence_match+jaro_winkler,jaro_winkler=0.7492; levenshtein=0.7143; semantic=0.8535; sequence_match=0.7692,False,0.7906,True,selected
ObjectProperty,is developed by,has developer,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8141; levenshtein=0.6154; semantic=0.7699; sequence_match=0.7200,False,0.768,True,selected
ObjectProperty,uses software,has software type,jaro_winkler+semantic+sequence_match,jaro_winkler=0.7833; levenshtein=0.5333; semantic=0.7271; sequence_match=0.6667,False,0.7257,True,selected
ObjectProperty,uses platform,uses data,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8500; levenshtein=0.5000; semantic=0.6698; sequence_match=0.6000,False,0.7066,False,gold already mapped to 'runs on platform'
ObjectProperty,has specified data input,has data,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8444; levenshtein=0.3333; semantic=0.7228; sequence_match=0.5000,False,0.6891,False,top-3 avg score 0.6891 < final_threshold 0.7
ObjectProperty,has interface,has input format,jaro_winkler+sequence_match+semantic,jaro_winkler=0.8563; levenshtein=0.5000; semantic=0.5949; sequence_match=0.6154,False,0.6889,False,top-3 avg score 0.6889 < final_threshold 0.7
ObjectProperty,has clause,has license,jaro_winkler+sequence_match+semantic,jaro_winkler=0.8115; levenshtein=0.5000; semantic=0.6169; sequence_match=0.6316,False,0.6866,False,top-3 avg score 0.6866 < final_threshold 0.7
ObjectProperty,has function,has tool,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8061; levenshtein=0.4545; semantic=0.6956; sequence_match=0.5556,False,0.6857,False,top-3 avg score 0.6857 < final_threshold 0.7
ObjectProperty,has version,version has feature,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6961; levenshtein=0.2353; semantic=0.8317; sequence_match=0.5185,False,0.6821,False,top-3 avg score 0.6821 < final_threshold 0.7
ObjectProperty,has specified data output,has data,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8409; levenshtein=0.3182; semantic=0.7123; sequence_match=0.4828,False,0.6787,False,top-3 avg score 0.6787 < final_threshold 0.7
ObjectProperty,has clause,has feature,jaro_winkler+sequence_match+semantic,jaro_winkler=0.7900; levenshtein=0.6000; semantic=0.6106; sequence_match=0.6316,False,0.6774,False,top-3 avg score 0.6774 < final_threshold 0.7
ObjectProperty,uses software,uses,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8667; levenshtein=0.3333; semantic=0.6637; sequence_match=0.5000,False,0.6768,False,top-3 avg score 0.6768 < final_threshold 0.7
ObjectProperty,has output,has export,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8056; levenshtein=0.4444; semantic=0.6526; sequence_match=0.5556,False,0.6712,False,top-3 avg score 0.6712 < final_threshold 0.7
ObjectProperty,uses platform,uses,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8667; levenshtein=0.3333; semantic=0.6451; sequence_match=0.5000,False,0.6706,False,top-3 avg score 0.6706 < final_threshold 0.7
ObjectProperty,has interface,has license,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8464; levenshtein=0.4167; semantic=0.6034; sequence_match=0.5455,False,0.6651,False,top-3 avg score 0.6651 < final_threshold 0.7
ObjectProperty,has interface,has feature,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8665; levenshtein=0.4167; semantic=0.6678; sequence_match=0.4545,False,0.6629,False,top-3 avg score 0.6629 < final_threshold 0.7
ObjectProperty,is developed by,involves developer,semantic+sequence_match+jaro_winkler,jaro_winkler=0.6525; levenshtein=0.4706; semantic=0.6691; sequence_match=0.6667,False,0.6628,False,top-3 avg score 0.6628 < final_threshold 0.7
ObjectProperty,uses software,uses data,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6944; levenshtein=0.5000; semantic=0.6906; sequence_match=0.6000,False,0.6617,False,top-3 avg score 0.6617 < final_threshold 0.7
ObjectProperty,is software for,has software type,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6530; levenshtein=0.6000; semantic=0.6819; sequence_match=0.6429,False,0.6593,False,top-3 avg score 0.6593 < final_threshold 0.7
ObjectProperty,has output,has input format,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8449; levenshtein=0.4286; semantic=0.6085; sequence_match=0.5217,False,0.6584,False,top-3 avg score 0.6584 < final_threshold 0.7
ObjectProperty,has format specification,has output format,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6707; levenshtein=0.3636; semantic=0.8151; sequence_match=0.4865,False,0.6574,False,top-3 avg score 0.6574 < final_threshold 0.7
ObjectProperty,has input,has export,jaro_winkler+sequence_match+levenshtein,jaro_winkler=0.8088; levenshtein=0.5556; semantic=0.4752; sequence_match=0.5882,False,0.6509,False,top-3 avg score 0.6509 < final_threshold 0.7
ObjectProperty,has format specification,has input format,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6898; levenshtein=0.2727; semantic=0.7557; sequence_match=0.5000,False,0.6485,False,top-3 avg score 0.6485 < final_threshold 0.7
ObjectProperty,has declared status,has data,jaro_winkler+sequence_match+semantic,jaro_winkler=0.8824; levenshtein=0.4118; semantic=0.4533; sequence_match=0.5833,False,0.6397,False,top-3 avg score 0.6397 < final_threshold 0.7
