cq_id,covered,fully_covered,n_tp,n_axioms,rate,tp_axiom_ids,missing_axiom_ids
CQ03,true,false,4,7,0.5714,AX5;AX9;AX48;AX49,AX8;AX34;AX35
CQ06,true,false,5,11,0.4545,AX2;AX3;AX5;AX13;AX16,AX12;AX14;AX15;AX17;AX30;AX31
CQ08,true,false,3,5,0.6000,AX7;AX50;AX51,AX43;AX44
CQ10,true,false,12,23,0.5217,AX2;AX3;AX4;AX5;AX6;AX7;AX13;AX16;AX48;AX49;AX50;AX51,AX12;AX14;AX15;AX17;AX25;AX26;AX27;AX30;AX31;AX40;AX41
CQ13,false,false,0,3,0.0000,,AX23;AX24;AX42
CQ14,false,false,0,6,0.0000,,AX10;AX23;AX24;AX42;AX45;AX60
CQ21,true,false,1,7,0.1429,AX2,AX23;AX24;AX40;AX41;AX43;AX44
CQ24,true,false,4,7,0.5714,AX5;AX9;AX48;AX49,AX8;AX23;AX24
CQ26,false,false,0,7,0.0000,,AX23;AX24;AX38;AX39;AX42;AX43;AX44
CQ30,false,false,0,8,0.0000,,AX1;AX46;AX47;AX52;AX53;AX57;AX58;AX59
CQ31,true,false,3,5,0.6000,AX2;AX20;AX21,AX11;AX22
CQ33,false,false,0,2,0.0000,,AX36;AX37
CQNew1,false,false,0,2,0.0000,,AX32;AX33
CQNew2,true,true,2,2,1.0000,AX18;AX19,
CQNew3,true,false,5,6,0.8333,AX2;AX4;AX7;AX54;AX55,AX56
CQNew4,true,false,2,4,0.5000,AX20;AX54,AX28;AX29
CQNew5,true,false,3,4,0.7500,AX2;AX20;AX21,AX22
CQNew6,true,false,3,7,0.4286,AX7;AX50;AX51,AX23;AX24;AX43;AX44
