prop_type,gold_term,pred_term,top_methods_used,scores_by_method,is_hard_match,agg_score,selected,reason
ObjectProperty,hasSugar,has grape,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8444; levenshtein=0.3750; semantic=0.6485; sequence_match=0.6250,False,0.706,True,selected
ObjectProperty,hasVintageYear,in vintage,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6640; levenshtein=0.5000; semantic=0.8305; sequence_match=0.6087,False,0.7011,True,selected
ObjectProperty,hasVintageYear,assessed vintage,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6603; levenshtein=0.2667; semantic=0.7995; sequence_match=0.6207,False,0.6935,False,top-3 avg score 0.6935 < final_threshold 0.7
ObjectProperty,madeFromGrape,has grape,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6261; levenshtein=0.4615; semantic=0.8078; sequence_match=0.5714,False,0.6684,False,top-3 avg score 0.6684 < final_threshold 0.7
ObjectProperty,hasColor,has grape,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6667; levenshtein=0.3750; semantic=0.6878; sequence_match=0.5000,False,0.6182,False,top-3 avg score 0.6182 < final_threshold 0.7
ObjectProperty,hasFlavor,has grape,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6481; levenshtein=0.4444; semantic=0.6833; sequence_match=0.4706,False,0.6007,False,top-3 avg score 0.6007 < final_threshold 0.7
ObjectProperty,hasVintageYear,has grape,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6706; levenshtein=0.3571; semantic=0.6428; sequence_match=0.4545,False,0.5893,False,top-3 avg score 0.5893 < final_threshold 0.7
ObjectProperty,hasWineDescriptor,assessed wine,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6487; levenshtein=0.2353; semantic=0.7034; sequence_match=0.4138,False,0.5886,False,top-3 avg score 0.5886 < final_threshold 0.7
ObjectProperty,hasColor,has characteristic,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6397; levenshtein=0.2941; semantic=0.6426; sequence_match=0.4000,False,0.5608,False,top-3 avg score 0.5608 < final_threshold 0.7
ObjectProperty,hasWineDescriptor,for wine,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6022; levenshtein=0.2353; semantic=0.7308; sequence_match=0.3333,False,0.5555,False,top-3 avg score 0.5555 < final_threshold 0.7
ObjectProperty,hasFlavor,has characteristic,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6166; levenshtein=0.2941; semantic=0.6483; sequence_match=0.3846,False,0.5498,False,top-3 avg score 0.5498 < final_threshold 0.7
ObjectProperty,hasBody,has grape,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6012; levenshtein=0.3750; semantic=0.6298; sequence_match=0.4000,False,0.5437,False,top-3 avg score 0.5437 < final_threshold 0.7
ObjectProperty,hasWineDescriptor,has grape,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6454; levenshtein=0.2941; semantic=0.6442; sequence_match=0.3200,False,0.5365,False,top-3 avg score 0.5365 < final_threshold 0.7
ObjectProperty,hasVintageYear,characteristic value,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6469; levenshtein=0.2105; semantic=0.5840; sequence_match=0.3636,False,0.5315,False,top-3 avg score 0.5315 < final_threshold 0.7
ObjectProperty,locatedIn,assessed wine,jaro_winkler+sequence_match+semantic,jaro_winkler=0.6574; levenshtein=0.3333; semantic=0.4432; sequence_match=0.4762,False,0.5256,False,top-3 avg score 0.5256 < final_threshold 0.7
ObjectProperty,hasWineDescriptor,has characteristic,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6255; levenshtein=0.3529; semantic=0.5353; sequence_match=0.4118,False,0.5242,False,top-3 avg score 0.5242 < final_threshold 0.7
ObjectProperty,hasSugar,has characteristic,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6397; levenshtein=0.2941; semantic=0.5188; sequence_match=0.4000,False,0.5195,False,top-3 avg score 0.5195 < final_threshold 0.7
ObjectProperty,locatedIn,from region,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6148; levenshtein=0.3000; semantic=0.5070; sequence_match=0.4211,False,0.5143,False,top-3 avg score 0.5143 < final_threshold 0.7
ObjectProperty,hasVintageYear,assessed wine,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5317; levenshtein=0.1429; semantic=0.6096; sequence_match=0.3846,False,0.5087,False,top-3 avg score 0.5087 < final_threshold 0.7
ObjectProperty,locatedIn,assessed vintage,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6296; levenshtein=0.2667; semantic=0.4745; sequence_match=0.4167,False,0.5069,False,top-3 avg score 0.5069 < final_threshold 0.7
ObjectProperty,hasVintageYear,has characteristic,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5973; levenshtein=0.2941; semantic=0.5839; sequence_match=0.3226,False,0.5013,False,top-3 avg score 0.5013 < final_threshold 0.7
ObjectProperty,madeFromGrape,for wine,semantic+jaro_winkler+levenshtein,jaro_winkler=0.5430; levenshtein=0.2308; semantic=0.7170; sequence_match=0.1000,False,0.4969,False,top-3 avg score 0.4969 < final_threshold 0.7
ObjectProperty,hasVintageYear,for wine,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5476; levenshtein=0.2143; semantic=0.6502; sequence_match=0.2857,False,0.4945,False,top-3 avg score 0.4945 < final_threshold 0.7
ObjectProperty,hasWineDescriptor,assessed vintage,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6357; levenshtein=0.2353; semantic=0.5223; sequence_match=0.3125,False,0.4902,False,top-3 avg score 0.4902 < final_threshold 0.7
ObjectProperty,locatedIn,quality rating,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5134; levenshtein=0.2308; semantic=0.4899; sequence_match=0.4545,False,0.4859,False,top-3 avg score 0.4859 < final_threshold 0.7
