id,source,term_type,axiom_type,term,dl,status,note
AX1-gold,gold,Class,Declaration,Bordeaux,Declaration: Bordeaux (Class),TP,matched pred AX1
AX1-pred,pred,Class,Declaration,Bordeaux Wine,Declaration: Bordeaux Wine (Class),-,-
AX3-gold,gold,Class,Declaration,RedBordeaux,Declaration: RedBordeaux (Class),Skip,subject 'RedBordeaux' not in alignment table
AX3-pred,pred,-,-,-,(subject not in alignment table),-,-
AX4-gold,gold,Class,EquivalentClasses,RedBordeaux,RedBordeaux ≡ (Bordeaux ⊓ RedWine),Skip,subject 'RedBordeaux' not in alignment table
AX4-pred,pred,-,-,-,(subject not in alignment table),-,-
AX6-gold,gold,Class,Declaration,RedWine,Declaration: RedWine (Class),TP,matched pred AX10
AX6-pred,pred,Class,Declaration,Red Wine,Declaration: Red Wine (Class),-,-
AX7-gold,gold,Class,EquivalentClasses,RedWine,RedWine ≡ (wine ⊓ ∃hasColor.{Red}),FN,pred has no EquivalentClasses axiom on 'Red Wine'
AX7-pred,pred,-,-,-,(no pred axiom on aligned subject),-,-
AX8-gold,gold,Class,Declaration,Region,Declaration: Region (Class),TP,matched pred AX13
AX8-pred,pred,Class,Declaration,Region,Declaration: Region (Class),-,-
AX9-gold,gold,Class,Declaration,Vintage,Declaration: Vintage (Class),Skip,subject 'Vintage' not in alignment table
AX9-pred,pred,-,-,-,(subject not in alignment table),-,-
AX10-gold,gold,Class,SubClassOf,Vintage,Vintage ⊑ =1 hasVintageYear.⊤,Skip,subject 'Vintage' not in alignment table
AX10-pred,pred,-,-,-,(subject not in alignment table),-,-
AX11-gold,gold,Class,Declaration,VintageYear,Declaration: VintageYear (Class),Skip,subject 'VintageYear' not in alignment table
AX11-pred,pred,-,-,-,(subject not in alignment table),-,-
AX12-gold,gold,Class,Declaration,WhiteBordeaux,Declaration: WhiteBordeaux (Class),Skip,subject 'WhiteBordeaux' not in alignment table
AX12-pred,pred,-,-,-,(subject not in alignment table),-,-
AX13-gold,gold,Class,EquivalentClasses,WhiteBordeaux,WhiteBordeaux ≡ (Bordeaux ⊓ WhiteWine),Skip,subject 'WhiteBordeaux' not in alignment table
AX13-pred,pred,-,-,-,(subject not in alignment table),-,-
AX15-gold,gold,Class,Declaration,WhiteWine,Declaration: WhiteWine (Class),TP,matched pred AX14
AX15-pred,pred,Class,Declaration,White Wine,Declaration: White Wine (Class),-,-
AX16-gold,gold,Class,EquivalentClasses,WhiteWine,WhiteWine ≡ (wine ⊓ ∃hasColor.{White}),FN,pred has no EquivalentClasses axiom on 'White Wine'
AX16-pred,pred,-,-,-,(no pred axiom on aligned subject),-,-
AX17-gold,gold,Class,Declaration,WineBody,Declaration: WineBody (Class),Skip,subject 'WineBody' not in alignment table
AX17-pred,pred,-,-,-,(subject not in alignment table),-,-
AX19-gold,gold,Class,SubClassOf,WineBody,WineBody ⊑ WineTaste,Skip,subject 'WineBody' not in alignment table
AX19-pred,pred,-,-,-,(subject not in alignment table),-,-
AX20-gold,gold,Class,Declaration,WineColor,Declaration: WineColor (Class),TP,matched pred AX3
AX20-pred,pred,Class,Declaration,Color,Declaration: Color (Class),-,-
AX22-gold,gold,Class,SubClassOf,WineColor,WineColor ⊑ WineDescriptor,FN,pred has no SubClassOf axiom on 'Color'
AX22-pred,pred,-,-,-,(no pred axiom on aligned subject),-,-
AX23-gold,gold,Class,Declaration,WineDescriptor,Declaration: WineDescriptor (Class),Skip,subject 'WineDescriptor' not in alignment table
AX23-pred,pred,-,-,-,(subject not in alignment table),-,-
AX24-gold,gold,Class,EquivalentClasses,WineDescriptor,WineDescriptor ≡ (WineColor ⊔ WineTaste),Skip,subject 'WineDescriptor' not in alignment table
AX24-pred,pred,-,-,-,(subject not in alignment table),-,-
AX25-gold,gold,Class,Declaration,WineFlavor,Declaration: WineFlavor (Class),Skip,subject 'WineFlavor' not in alignment table
AX25-pred,pred,-,-,-,(subject not in alignment table),-,-
AX27-gold,gold,Class,SubClassOf,WineFlavor,WineFlavor ⊑ WineTaste,Skip,subject 'WineFlavor' not in alignment table
AX27-pred,pred,-,-,-,(subject not in alignment table),-,-
AX28-gold,gold,Class,Declaration,WineGrape,Declaration: WineGrape (Class),TP,matched pred AX4
AX28-pred,pred,Class,Declaration,Grape,Declaration: Grape (Class),-,-
AX29-gold,gold,Class,Declaration,WineSugar,Declaration: WineSugar (Class),Skip,subject 'WineSugar' not in alignment table
AX29-pred,pred,-,-,-,(subject not in alignment table),-,-
AX31-gold,gold,Class,SubClassOf,WineSugar,WineSugar ⊑ WineTaste,Skip,subject 'WineSugar' not in alignment table
AX31-pred,pred,-,-,-,(subject not in alignment table),-,-
AX32-gold,gold,Class,Declaration,WineTaste,Declaration: WineTaste (Class),Skip,subject 'WineTaste' not in alignment table
AX32-pred,pred,-,-,-,(subject not in alignment table),-,-
AX33-gold,gold,Class,SubClassOf,WineTaste,WineTaste ⊑ WineDescriptor,Skip,subject 'WineTaste' not in alignment table
AX33-pred,pred,-,-,-,(subject not in alignment table),-,-
AX34-gold,gold,Class,Declaration,Zinfandel,Declaration: Zinfandel (Class),TP,matched pred AX17
AX34-pred,pred,Class,Declaration,Zinfandel,Declaration: Zinfandel (Class),-,-
AX40-gold,gold,Class,Declaration,wine,Declaration: wine (Class),TP,matched pred AX16
AX40-pred,pred,Class,Declaration,Wine,Declaration: Wine (Class),-,-
AX41-gold,gold,Class,SubClassOf,wine,wine ⊑ ∃locatedIn.Region,FN,pred has no SubClassOf axiom on 'Wine'
AX41-pred,pred,-,-,-,(no pred axiom on aligned subject),-,-
AX42-gold,gold,Class,SubClassOf,wine,wine ⊑ ≥1 madeFromGrape.⊤,FN,pred has no SubClassOf axiom on 'Wine'
AX42-pred,pred,-,-,-,(no pred axiom on aligned subject),-,-
AX43-gold,gold,Class,SubClassOf,wine,wine ⊑ =1 hasBody.⊤,FN,pred has no SubClassOf axiom on 'Wine'
AX43-pred,pred,-,-,-,(no pred axiom on aligned subject),-,-
AX44-gold,gold,Class,SubClassOf,wine,wine ⊑ =1 hasColor.⊤,FN,pred has no SubClassOf axiom on 'Wine'
AX44-pred,pred,-,-,-,(no pred axiom on aligned subject),-,-
AX45-gold,gold,Class,SubClassOf,wine,wine ⊑ =1 hasFlavor.⊤,FN,pred has no SubClassOf axiom on 'Wine'
AX45-pred,pred,-,-,-,(no pred axiom on aligned subject),-,-
AX46-gold,gold,Class,SubClassOf,wine,wine ⊑ =1 hasSugar.⊤,FN,pred has no SubClassOf axiom on 'Wine'
AX46-pred,pred,-,-,-,(no pred axiom on aligned subject),-,-
AX47-gold,gold,ObjectProperty,Characteristics,hasBody,Functional(hasBody),Skip,subject 'hasBody' not in alignment table
AX47-pred,pred,-,-,-,(subject not in alignment table),-,-
AX48-gold,gold,ObjectProperty,Declaration,hasBody,Declaration: hasBody (ObjectProperty),Skip,subject 'hasBody' not in alignment table
AX48-pred,pred,-,-,-,(subject not in alignment table),-,-
AX49-gold,gold,ObjectProperty,Range,hasBody,⊤ ⊑ ∀hasBody.WineBody,Skip,subject 'hasBody' not in alignment table
AX49-pred,pred,-,-,-,(subject not in alignment table),-,-
AX50-gold,gold,ObjectProperty,SubPropertyOf,hasBody,hasBody ⊑ hasWineDescriptor,Skip,subject 'hasBody' not in alignment table
AX50-pred,pred,-,-,-,(subject not in alignment table),-,-
AX51-gold,gold,ObjectProperty,Characteristics,hasColor,Functional(hasColor),FN,pred has no Characteristics axiom on 'has color'
AX51-pred,pred,-,-,-,(no pred axiom on aligned subject),-,-
AX52-gold,gold,ObjectProperty,Declaration,hasColor,Declaration: hasColor (ObjectProperty),TP,matched pred AX19
AX52-pred,pred,ObjectProperty,Declaration,has color,Declaration: has color (ObjectProperty),-,-
AX53-gold,gold,ObjectProperty,Domain,hasColor,∃hasColor.⊤ ⊑ wine,TP,matched pred AX20
AX53-pred,pred,ObjectProperty,Domain,has color,∃has color.⊤ ⊑ Wine,-,-
AX54-gold,gold,ObjectProperty,Range,hasColor,⊤ ⊑ ∀hasColor.WineColor,TP,matched pred AX22
AX54-pred,pred,ObjectProperty,Range,has color,⊤ ⊑ ∀has color.Color,-,-
AX55-gold,gold,ObjectProperty,SubPropertyOf,hasColor,hasColor ⊑ hasWineDescriptor,FN,pred has no SubPropertyOf axiom on 'has color'
AX55-pred,pred,-,-,-,(no pred axiom on aligned subject),-,-
AX56-gold,gold,ObjectProperty,Characteristics,hasFlavor,Functional(hasFlavor),Skip,subject 'hasFlavor' not in alignment table
AX56-pred,pred,-,-,-,(subject not in alignment table),-,-
AX57-gold,gold,ObjectProperty,Declaration,hasFlavor,Declaration: hasFlavor (ObjectProperty),Skip,subject 'hasFlavor' not in alignment table
AX57-pred,pred,-,-,-,(subject not in alignment table),-,-
AX58-gold,gold,ObjectProperty,Range,hasFlavor,⊤ ⊑ ∀hasFlavor.WineFlavor,Skip,subject 'hasFlavor' not in alignment table
AX58-pred,pred,-,-,-,(subject not in alignment table),-,-
AX59-gold,gold,ObjectProperty,SubPropertyOf,hasFlavor,hasFlavor ⊑ hasWineDescriptor,Skip,subject 'hasFlavor' not in alignment table
AX59-pred,pred,-,-,-,(subject not in alignment table),-,-
AX60-gold,gold,ObjectProperty,Characteristics,hasSugar,Functional(hasSugar),Skip,subject 'hasSugar' not in alignment table
AX60-pred,pred,-,-,-,(subject not in alignment table),-,-
AX61-gold,gold,ObjectProperty,Declaration,hasSugar,Declaration: hasSugar (ObjectProperty),Skip,subject 'hasSugar' not in alignment table
AX61-pred,pred,-,-,-,(subject not in alignment table),-,-
AX62-gold,gold,ObjectProperty,Range,hasSugar,⊤ ⊑ ∀hasSugar.WineSugar,Skip,subject 'hasSugar' not in alignment table
AX62-pred,pred,-,-,-,(subject not in alignment table),-,-
AX63-gold,gold,ObjectProperty,SubPropertyOf,hasSugar,hasSugar ⊑ hasWineDescriptor,Skip,subject 'hasSugar' not in alignment table
AX63-pred,pred,-,-,-,(subject not in alignment table),-,-
AX64-gold,gold,ObjectProperty,Characteristics,hasVintageYear,Functional(hasVintageYear),Skip,subject 'hasVintageYear' not in alignment table
AX64-pred,pred,-,-,-,(subject not in alignment table),-,-
AX65-gold,gold,ObjectProperty,Declaration,hasVintageYear,Declaration: hasVintageYear (ObjectProperty),Skip,subject 'hasVintageYear' not in alignment table
AX65-pred,pred,-,-,-,(subject not in alignment table),-,-
AX66-gold,gold,ObjectProperty,Domain,hasVintageYear,∃hasVintageYear.⊤ ⊑ Vintage,Skip,subject 'hasVintageYear' not in alignment table
AX66-pred,pred,-,-,-,(subject not in alignment table),-,-
AX67-gold,gold,ObjectProperty,Range,hasVintageYear,⊤ ⊑ ∀hasVintageYear.VintageYear,Skip,subject 'hasVintageYear' not in alignment table
AX67-pred,pred,-,-,-,(subject not in alignment table),-,-
AX68-gold,gold,ObjectProperty,Declaration,hasWineDescriptor,Declaration: hasWineDescriptor (ObjectProperty),Skip,subject 'hasWineDescriptor' not in alignment table
AX68-pred,pred,-,-,-,(subject not in alignment table),-,-
AX69-gold,gold,ObjectProperty,Domain,hasWineDescriptor,∃hasWineDescriptor.⊤ ⊑ wine,Skip,subject 'hasWineDescriptor' not in alignment table
AX69-pred,pred,-,-,-,(subject not in alignment table),-,-
AX70-gold,gold,ObjectProperty,Range,hasWineDescriptor,⊤ ⊑ ∀hasWineDescriptor.WineDescriptor,Skip,subject 'hasWineDescriptor' not in alignment table
AX70-pred,pred,-,-,-,(subject not in alignment table),-,-
AX71-gold,gold,ObjectProperty,Characteristics,locatedIn,Transitive(locatedIn),Skip,subject 'locatedIn' not in alignment table
AX71-pred,pred,-,-,-,(subject not in alignment table),-,-
AX72-gold,gold,ObjectProperty,Declaration,locatedIn,Declaration: locatedIn (ObjectProperty),Skip,subject 'locatedIn' not in alignment table
AX72-pred,pred,-,-,-,(subject not in alignment table),-,-
AX73-gold,gold,ObjectProperty,Domain,locatedIn,∃locatedIn.⊤ ⊑ ⊤,Skip,subject 'locatedIn' not in alignment table
AX73-pred,pred,-,-,-,(subject not in alignment table),-,-
AX74-gold,gold,ObjectProperty,Range,locatedIn,⊤ ⊑ ∀locatedIn.Region,Skip,subject 'locatedIn' not in alignment table
AX74-pred,pred,-,-,-,(subject not in alignment table),-,-
AX75-gold,gold,ObjectProperty,Declaration,madeFromGrape,Declaration: madeFromGrape (ObjectProperty),TP,matched pred AX31
AX75-pred,pred,ObjectProperty,Declaration,made from grape,Declaration: made from grape (ObjectProperty),-,-
AX76-gold,gold,ObjectProperty,Domain,madeFromGrape,∃madeFromGrape.⊤ ⊑ wine,TP,matched pred AX32
AX76-pred,pred,ObjectProperty,Domain,made from grape,∃made from grape.⊤ ⊑ Wine,-,-
AX77-gold,gold,ObjectProperty,Range,madeFromGrape,⊤ ⊑ ∀madeFromGrape.WineGrape,TP,matched pred AX34
AX77-pred,pred,ObjectProperty,Range,made from grape,⊤ ⊑ ∀made from grape.Grape,-,-
AX78-gold,gold,DatatypeProperty,Declaration,yearValue,Declaration: yearValue (DatatypeProperty),Skip,subject 'yearValue' not in alignment table
AX78-pred,pred,-,-,-,(subject not in alignment table),-,-
AX79-gold,gold,DatatypeProperty,Domain,yearValue,∃yearValue.⊤ ⊑ VintageYear,Skip,subject 'yearValue' not in alignment table
AX79-pred,pred,-,-,-,(subject not in alignment table),-,-
AX80-gold,gold,DatatypeProperty,Range,yearValue,yearValue maps-to xsd:integer,Skip,subject 'yearValue' not in alignment table
AX80-pred,pred,-,-,-,(subject not in alignment table),-,-
AX2-pred,pred,Class,SubClassOf,Bordeaux Wine,Bordeaux Wine ⊑ Red Wine,FP,pred SubClassOf axiom on 'Bordeaux Wine' not matched by any gold axiom on 'Bordeaux'
AX2-gold,gold,-,-,-,(no gold counterpart),-,-
AX11-pred,pred,Class,DisjointClasses,Red Wine,"DisjointClasses(Red Wine, White Wine)",FP,pred DisjointClasses axiom on 'Red Wine' not matched by any gold axiom on 'RedWine'
AX11-gold,gold,-,-,-,(no gold counterpart),-,-
AX12-pred,pred,Class,SubClassOf,Red Wine,Red Wine ⊑ Wine,FP,pred SubClassOf axiom on 'Red Wine' not matched by any gold axiom on 'RedWine'
AX12-gold,gold,-,-,-,(no gold counterpart),-,-
AX15-pred,pred,Class,SubClassOf,White Wine,White Wine ⊑ Wine,FP,pred SubClassOf axiom on 'White Wine' not matched by any gold axiom on 'WhiteWine'
AX15-gold,gold,-,-,-,(no gold counterpart),-,-
AX18-pred,pred,Class,SubClassOf,Zinfandel,Zinfandel ⊑ Grape,FP,pred SubClassOf axiom on 'Zinfandel' not matched by any gold axiom on 'Zinfandel'
AX18-gold,gold,-,-,-,(no gold counterpart),-,-
AX21-pred,pred,ObjectProperty,InverseOf,has color,has color ≡ is color of⁻,FP,pred InverseOf axiom on 'has color' not matched by any gold axiom on 'hasColor'
