PropertyType,GoldPredicate,PredPredicate,GoldPredicateNorm,PredPredicateNorm,GoldType,PredType,TypeVerdict,GoldDomain,PredDomain,GoldDomainNorm,PredDomainNorm,DomainStatus,GoldRange,PredRange,GoldRangeNorm,PredRangeNorm,RangeStatus,FullMatch,Note
DatatypeProperty,release date,release date,releasedate,releasedate,DatatypeProperty,DatatypeProperty,tp,Game,Game,game,game,tp,xsd:dateTime,xsd:date,xsddatetime,xsddate,mismatch,NO,
DatatypeProperty,username,has username,username,hasusername,DatatypeProperty,DatatypeProperty,tp,Player,Player,player,player,tp,xsd:string,xsd:string,xsdstring,xsdstring,tp,YES,
ObjectProperty,has achievement,has achievement,hasachievement,hasachievement,ObjectProperty,ObjectProperty,tp,Game,Game,game,game,tp,Achievement,Achievement,achievement,achievement,tp,YES,
ObjectProperty,has feature,has genre,hasfeature,hasgenre,ObjectProperty,ObjectProperty,tp,Item,Game,item,game,mismatch,Feature,Genre,feature,genre,mismatch,NO,
ObjectProperty,has game genre,has game genre,hasgamegenre,hasgamegenre,ObjectProperty,ObjectProperty,tp,Game,Genre,game,genre,mismatch,Genre,Game,genre,game,mismatch,NO,
ObjectProperty,has item,has item,hasitem,hasitem,ObjectProperty,ObjectProperty,tp,Game,Game,game,game,tp,Item,Item,item,item,tp,YES,
ObjectProperty,has playing area,has playing area,hasplayingarea,hasplayingarea,ObjectProperty,ObjectProperty,tp,Game,Game,game,game,tp,playing area,PlayingArea,playingarea,playingarea,tp,YES,
ObjectProperty,is achievement in game,is achievement in,isachievementingame,isachievementin,ObjectProperty,ObjectProperty,tp,Achievement,Achievement,achievement,achievement,tp,Game,Game,game,game,tp,YES,
ObjectProperty,is friend with player,is friend of,isfriendwithplayer,isfriendof,ObjectProperty,ObjectProperty,tp,Player,Player,player,player,tp,Player,Player,player,player,tp,YES,
ObjectProperty,is player in session,is player item,isplayerinsession,isplayeritem,ObjectProperty,ObjectProperty,tp,Player,Item,player,item,mismatch,Session,Player,session,player,mismatch,NO,
ObjectProperty,lives in,lives in,livesin,livesin,ObjectProperty,ObjectProperty,tp,Player,Player,player,player,tp,,Location,,location,fp,NO,
ObjectProperty,owns achievement,has obtained achievement,ownsachievement,hasobtainedachievement,ObjectProperty,ObjectProperty,tp,Player,Player,player,player,tp,Achievement,Achievement,achievement,achievement,tp,YES,
ObjectProperty,plays game,plays game,playsgame,playsgame,ObjectProperty,ObjectProperty,tp,Player,Player,player,player,tp,Game,Game,game,game,tp,YES,
