Gold_term,Pre_term,Method,Score
action,has action,top3_avg(jaro_winkler+semantic+sequence_match),0.8618
assignee,has assignee party,top3_avg(jaro_winkler+semantic+sequence_match),0.7596
assigner,has assigner party,top3_avg(jaro_winkler+semantic+sequence_match),0.7476
conflict,has conflict resolution,top3_avg(jaro_winkler+semantic+sequence_match),0.7126
consequence,has consequence,top3_avg(jaro_winkler+semantic+sequence_match),0.8693
constraint,has constraint,top3_avg(jaro_winkler+semantic+sequence_match),0.8755
duty,is duty of,top3_avg(jaro_winkler+semantic+sequence_match),0.7631
permission,has permission,top3_avg(jaro_winkler+semantic+sequence_match),0.877
prohibition,has prohibition,top3_avg(jaro_winkler+semantic+sequence_match),0.8779
remedy,has remedy,top3_avg(jaro_winkler+semantic+sequence_match),0.8409
