Gold_term,Pre_term,Method,Score
action,hasAction,top3_avg(jaro_winkler+semantic+sequence_match),0.8618
assignee,hasAssignee,top3_avg(jaro_winkler+semantic+sequence_match),0.8681
assigner,hasAssigner,top3_avg(jaro_winkler+semantic+sequence_match),0.8809
conflict,hasConflictStrategy,top3_avg(jaro_winkler+semantic+sequence_match),0.7292
consequence,hasConsequence,top3_avg(jaro_winkler+semantic+sequence_match),0.8693
constraint,hasConstraint,top3_avg(jaro_winkler+semantic+sequence_match),0.8755
duty,hasDuty,top3_avg(levenshtein+semantic+sequence_match),0.7182
failure,hasFailureRule,top3_avg(jaro_winkler+semantic+sequence_match),0.7446
hasPolicy,subPolicyOf,top3_avg(jaro_winkler+semantic+sequence_match),0.7495
leftOperand,hasLeftOperand,top3_avg(jaro_winkler+semantic+sequence_match),0.913
operator,hasOperator,top3_avg(jaro_winkler+semantic+sequence_match),0.8603
permission,hasPermission,top3_avg(jaro_winkler+semantic+sequence_match),0.877
prohibition,hasProhibition,top3_avg(jaro_winkler+semantic+sequence_match),0.8779
remedy,hasRemedy,top3_avg(jaro_winkler+semantic+sequence_match),0.8409
