role,gold_term,pred_term,top_methods_used,scores_by_method,is_hard_match,agg_score,selected,reason
property,has license,haslicense,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=0.9318; sequence_match=1.0000,True,1.0000,True,selected
property,has version,hasversion,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=0.9590; sequence_match=1.0000,True,1.0000,True,selected
property,has release date,releasedate,semantic+sequence_match+jaro_winkler,jaro_winkler=0.8074; levenshtein=0.7857; semantic=0.8953; sequence_match=0.8800,False,0.8609,True,selected
property,is developed by,developed,jaro_winkler+sequence_match+semantic,jaro_winkler=0.8974; levenshtein=0.6923; semantic=0.7936; sequence_match=0.8182,False,0.8364,True,selected
property,has output,hasoutputformat,jaro_winkler+semantic+sequence_match,jaro_winkler=0.9200; levenshtein=0.6000; semantic=0.7980; sequence_match=0.7500,False,0.8227,True,selected
property,has input,hasvalidinput,jaro_winkler+semantic+sequence_match,jaro_winkler=0.9103; levenshtein=0.6154; semantic=0.7954; sequence_match=0.7619,False,0.8225,True,selected
property,has support url,support,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8462; levenshtein=0.5385; semantic=0.7963; sequence_match=0.7000,False,0.7808,True,selected
property,has website homepage,hashomepage,jaro_winkler+sequence_match+semantic,jaro_winkler=0.8244; levenshtein=0.6111; semantic=0.7260; sequence_match=0.7586,False,0.7697,True,selected
property,has format specification,hasformat,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8818; levenshtein=0.4091; semantic=0.8035; sequence_match=0.5806,False,0.7553,True,selected
property,has documentation,haslocation,jaro_winkler+sequence_match+levenshtein,jaro_winkler=0.8446; levenshtein=0.6250; semantic=0.5298; sequence_match=0.7407,False,0.7368,True,selected
property,has interface,hasinputformat,jaro_winkler+sequence_match+semantic,jaro_winkler=0.8563; levenshtein=0.5000; semantic=0.5902; sequence_match=0.6154,False,0.6873,True,selected
property,uses software,uses,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8667; levenshtein=0.3333; semantic=0.6637; sequence_match=0.5000,False,0.6768,True,selected
property,has specified data input,hasmodification,jaro_winkler+sequence_match+semantic,jaro_winkler=0.8339; levenshtein=0.4286; semantic=0.5439; sequence_match=0.5556,False,0.6445,True,selected
