prop_type,gold_term,pred_term,top_methods_used,scores_by_method,is_hard_match,agg_score,selected,reason
ObjectProperty,has property,has property,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
ObjectProperty,makes measurement,provides measurement,semantic+jaro_winkler+sequence_match,jaro_winkler=0.8066; levenshtein=0.6842; semantic=0.9201; sequence_match=0.7429,False,0.8232,True,selected
ObjectProperty,has property,is property of,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8561; levenshtein=0.6667; semantic=0.8121; sequence_match=0.7826,False,0.8169,False,gold already mapped to 'has property'
ObjectProperty,has measurement,provides measurement,semantic+sequence_match+jaro_winkler,jaro_winkler=0.6907; levenshtein=0.6316; semantic=0.8976; sequence_match=0.7273,False,0.7718,False,pred already taken by 'makes measurement'
ObjectProperty,measurement made by,provides measurement,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6881; levenshtein=0.2632; semantic=0.8156; sequence_match=0.6111,False,0.7049,False,pred already taken by 'makes measurement'
ObjectProperty,has period,has property,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8543; levenshtein=0.4545; semantic=0.6083; sequence_match=0.6000,False,0.6875,False,top-3 avg score 0.6875 < final_threshold 0.7
ObjectProperty,hasGeometry,has sensor,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8162; levenshtein=0.4545; semantic=0.6151; sequence_match=0.6000,False,0.6771,False,top-3 avg score 0.6771 < final_threshold 0.7
ObjectProperty,has measurement,has asset,jaro_winkler+sequence_match+semantic,jaro_winkler=0.8208; levenshtein=0.5000; semantic=0.5502; sequence_match=0.6364,False,0.6691,False,top-3 avg score 0.6691 < final_threshold 0.7
ObjectProperty,has property,has asset,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6932; levenshtein=0.4545; semantic=0.7765; sequence_match=0.5263,False,0.6653,False,top-3 avg score 0.6653 < final_threshold 0.7
ObjectProperty,is measured by device,provides measurement,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6550; levenshtein=0.2632; semantic=0.7978; sequence_match=0.5405,False,0.6644,False,top-3 avg score 0.6644 < final_threshold 0.7
ObjectProperty,hasGeometry,has property,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8144; levenshtein=0.5455; semantic=0.6055; sequence_match=0.5455,False,0.6551,False,top-3 avg score 0.6551 < final_threshold 0.7
ObjectProperty,has period,has sensor,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8056; levenshtein=0.5556; semantic=0.6039; sequence_match=0.5556,False,0.655,False,top-3 avg score 0.6550 < final_threshold 0.7
