PropertyType,GoldPredicate,PredPredicate,GoldPredicateNorm,PredPredicateNorm,GoldType,PredType,TypeVerdict,GoldDomain,PredDomain,GoldDomainNorm,PredDomainNorm,DomainStatus,GoldRange,PredRange,GoldRangeNorm,PredRangeNorm,RangeStatus,FullMatch,Note
DatatypeProperty,release date,has release date,releasedate,hasreleasedate,DatatypeProperty,DatatypeProperty,tp,Game,Game,game,game,tp,xsd:dateTime,xsd:date,xsddatetime,xsddate,mismatch,NO,
DatatypeProperty,username,has username,username,hasusername,DatatypeProperty,DatatypeProperty,tp,Player,Player,player,player,tp,xsd:string,xsd:string,xsdstring,xsdstring,tp,YES,
ObjectProperty,has achievement,has achievement,hasachievement,hasachievement,ObjectProperty,ObjectProperty,tp,Game,Player,game,player,mismatch,Achievement,Achievement,achievement,achievement,tp,NO,
ObjectProperty,has game genre,has genre,hasgamegenre,hasgenre,ObjectProperty,ObjectProperty,tp,Game,Game,game,game,tp,Genre,Genre,genre,genre,tp,YES,
ObjectProperty,has item,has item,hasitem,hasitem,ObjectProperty,ObjectProperty,tp,Game,Player,game,player,mismatch,Item,Game Item,item,gameitem,tp,NO,
ObjectProperty,has playing area,game has playing area,hasplayingarea,gamehasplayingarea,ObjectProperty,ObjectProperty,tp,Game,Game,game,game,tp,playing area,Playing Area,playingarea,playingarea,tp,YES,
ObjectProperty,is achievement in game,game has achievement,isachievementingame,gamehasachievement,ObjectProperty,ObjectProperty,tp,Achievement,Game,achievement,game,mismatch,Game,Achievement,game,achievement,mismatch,NO,
ObjectProperty,owns achievement,has achievement type,ownsachievement,hasachievementtype,ObjectProperty,ObjectProperty,tp,Player,Achievement,player,achievement,mismatch,Achievement,Achievement Type,achievement,achievementtype,mismatch,NO,
ObjectProperty,plays game,plays game,playsgame,playsgame,ObjectProperty,ObjectProperty,tp,Player,Player,player,player,tp,Game,Game,game,game,tp,YES,
ObjectProperty,purchases game offering,purchase of item,purchasesgameoffering,purchaseofitem,ObjectProperty,ObjectProperty,tp,in-app purchase event,In-App Purchase,inapppurchaseevent,inapppurchase,tp,game product,Game Item,gameproduct,gameitem,mismatch,NO,
