gold_term,pred_term,top_methods_used,scores_by_method,is_hard_match,agg_score,selected,reason
algorithm,Algorithm,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
programming language,Programming Language,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
licence,License,jaro_winkler+semantic+levenshtein,jaro_winkler=0.9429; levenshtein=0.8571; semantic=0.9174; sequence_match=0.8571,False,0.9058,True,selected
software,Software Tool,jaro_winkler+semantic+sequence_match,jaro_winkler=0.9333; levenshtein=0.6667; semantic=0.9093; sequence_match=0.8000,False,0.8809,True,selected
data item,Data,jaro_winkler+semantic+sequence_match,jaro_winkler=0.9000; levenshtein=0.5000; semantic=0.7779; sequence_match=0.6667,False,0.7815,True,selected
data format specification,Data Format,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8870; levenshtein=0.4348; semantic=0.8404; sequence_match=0.6061,False,0.7778,True,selected
software interface,Software Type,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8843; levenshtein=0.5882; semantic=0.6985; sequence_match=0.6897,False,0.7575,True,selected
Development status,Developer,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8719; levenshtein=0.4706; semantic=0.7202; sequence_match=0.6154,False,0.7358,True,selected
software developer organization,Software Version,jaro_winkler+sequence_match+semantic,jaro_winkler=0.8404; levenshtein=0.4828; semantic=0.5956; sequence_match=0.6364,False,0.6908,True,selected
software,Software Type,jaro_winkler+semantic+sequence_match,jaro_winkler=0.9333; levenshtein=0.6667; semantic=0.8048; sequence_match=0.8000,False,0.846,False,gold already mapped to 'Software Tool'
software,Software Version,jaro_winkler+semantic+sequence_match,jaro_winkler=0.9067; levenshtein=0.5333; semantic=0.8207; sequence_match=0.6957,False,0.8077,False,gold already mapped to 'Software Tool'
algorithm,Algorithm Modification,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8857; levenshtein=0.4286; semantic=0.7934; sequence_match=0.6000,False,0.7597,False,gold already mapped to 'Algorithm'
software interface,Software Tool,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8559; levenshtein=0.5294; semantic=0.8016; sequence_match=0.6207,False,0.7594,False,pred already taken by 'software' (higher averaged score)
software developer role,Software Tool,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8699; levenshtein=0.5238; semantic=0.6805; sequence_match=0.6667,False,0.739,False,pred already taken by 'software' (higher averaged score)
software interface,Software Version,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8678; levenshtein=0.5882; semantic=0.7091; sequence_match=0.6250,False,0.734,False,gold already mapped to 'Software Type'
software developer role,Software Type,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8419; levenshtein=0.4762; semantic=0.6098; sequence_match=0.6061,False,0.6859,False,pred already taken by 'software interface' (higher averaged score)
data item,Data Format,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8367; levenshtein=0.5000; semantic=0.6561; sequence_match=0.5556,False,0.6828,False,gold already mapped to 'Data'
software developer role,Software Version,jaro_winkler+sequence_match+semantic,jaro_winkler=0.8410; levenshtein=0.5238; semantic=0.5880; sequence_match=0.6111,False,0.68,False,pred already taken by 'software developer organization' (higher averaged score)
CEL ASCII format,Data Format,jaro_winkler+semantic+sequence_match,jaro_winkler=0.7333; levenshtein=0.5000; semantic=0.6978; sequence_match=0.5833,False,0.6715,False,pred already taken by 'data format specification' (higher averaged score)
software developer role,Developer,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6614; levenshtein=0.4286; semantic=0.7226; sequence_match=0.6000,False,0.6613,False,pred already taken by 'Development status' (higher averaged score)
