role,gold_term,pred_term,top_methods_used,scores_by_method,is_hard_match,agg_score,selected,reason
property,hasbody,hasbody,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0000,True,selected
property,hasvintageyear,hasvintageyear,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0000,True,selected
property,madefromgrape,usesgrape,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6538; levenshtein=0.4615; semantic=0.8040; sequence_match=0.5455,False,0.6678,True,selected
property,hasvintageyear,hasvintage,jaro_winkler+semantic+sequence_match,jaro_winkler=0.9429; levenshtein=0.7143; semantic=0.8555; sequence_match=0.8333,False,0.8772,False,gold already mapped to 'hasvintageyear'
property,hasbody,hasbouquet,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8429; levenshtein=0.5000; semantic=0.6621; sequence_match=0.5882,False,0.6977,False,gold already mapped to 'hasbody'
property,hasbody,hascolor,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6905; levenshtein=0.5000; semantic=0.6310; sequence_match=0.5333,False,0.6183,False,gold already mapped to 'hasbody'
property,hasvintageyear,hasquality,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6857; levenshtein=0.2857; semantic=0.6154; sequence_match=0.5000,False,0.6004,False,gold already mapped to 'hasvintageyear'
property,haswinedescriptor,hasvintageyear,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6807; levenshtein=0.3529; semantic=0.5728; sequence_match=0.5161,False,0.5899,False,top-3 avg score 0.5899 < final_threshold 0.6
property,hasbody,hasquality,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6571; levenshtein=0.4000; semantic=0.6204; sequence_match=0.4706,False,0.5827,False,top-3 avg score 0.5827 < final_threshold 0.6
property,hasbody,hasregion,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6720; levenshtein=0.3333; semantic=0.5666; sequence_match=0.5000,False,0.5795,False,top-3 avg score 0.5795 < final_threshold 0.6
property,haswinedescriptor,hasvintage,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6510; levenshtein=0.2941; semantic=0.5967; sequence_match=0.4444,False,0.5640,False,top-3 avg score 0.5640 < final_threshold 0.6
property,haswinedescriptor,hascolor,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6397; levenshtein=0.3529; semantic=0.5089; sequence_match=0.4800,False,0.5429,False,top-3 avg score 0.5429 < final_threshold 0.6
property,yearvalue,hasvintageyear,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5767; levenshtein=0.2143; semantic=0.7023; sequence_match=0.3478,False,0.5423,False,top-3 avg score 0.5423 < final_threshold 0.6
property,haswinedescriptor,hascharacteristic,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6255; levenshtein=0.3529; semantic=0.5692; sequence_match=0.4118,False,0.5355,False,top-3 avg score 0.5355 < final_threshold 0.6
property,hasvintageyear,hasregion,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6640; levenshtein=0.2857; semantic=0.4977; sequence_match=0.4348,False,0.5322,False,top-3 avg score 0.5322 < final_threshold 0.6
property,hasbody,hasvintageyear,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6190; levenshtein=0.2857; semantic=0.5930; sequence_match=0.3810,False,0.5310,False,top-3 avg score 0.5310 < final_threshold 0.6
property,hasvintageyear,hasbody,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6190; levenshtein=0.2857; semantic=0.5930; sequence_match=0.3810,False,0.5310,False,top-3 avg score 0.5310 < final_threshold 0.6
property,hasbody,hasvintage,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5762; levenshtein=0.3000; semantic=0.6332; sequence_match=0.3529,False,0.5208,False,top-3 avg score 0.5208 < final_threshold 0.6
property,hasvintageyear,hascolor,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5952; levenshtein=0.2857; semantic=0.5924; sequence_match=0.3636,False,0.5171,False,top-3 avg score 0.5171 < final_threshold 0.6
property,haswinedescriptor,changeswith,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6493; levenshtein=0.3529; semantic=0.4654; sequence_match=0.4286,False,0.5144,False,top-3 avg score 0.5144 < final_threshold 0.6
property,haswinedescriptor,considerforselection,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6511; levenshtein=0.2500; semantic=0.5051; sequence_match=0.3784,False,0.5115,False,top-3 avg score 0.5115 < final_threshold 0.6
property,hasvintageyear,changeswith,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6412; levenshtein=0.2143; semantic=0.4916; sequence_match=0.4000,False,0.5109,False,top-3 avg score 0.5109 < final_threshold 0.6
property,haswinedescriptor,hasbody,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6022; levenshtein=0.2353; semantic=0.5920; sequence_match=0.3333,False,0.5092,False,top-3 avg score 0.5092 < final_threshold 0.6
property,hasvintageyear,hascharacteristic,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5973; levenshtein=0.2941; semantic=0.6064; sequence_match=0.3226,False,0.5088,False,top-3 avg score 0.5088 < final_threshold 0.6
property,haswinedescriptor,hasbouquet,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5980; levenshtein=0.2941; semantic=0.5474; sequence_match=0.3704,False,0.5053,False,top-3 avg score 0.5053 < final_threshold 0.6
property,haswinedescriptor,hasquality,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5980; levenshtein=0.2941; semantic=0.5141; sequence_match=0.3704,False,0.4942,False,top-3 avg score 0.4942 < final_threshold 0.6
property,hasvintageyear,hasbouquet,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5524; levenshtein=0.2857; semantic=0.5868; sequence_match=0.3333,False,0.4908,False,top-3 avg score 0.4908 < final_threshold 0.6
property,haswinedescriptor,usesgrape,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5870; levenshtein=0.2941; semantic=0.4751; sequence_match=0.3846,False,0.4822,False,top-3 avg score 0.4822 < final_threshold 0.6
property,yearvalue,usesgrape,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6296; levenshtein=0.2222; semantic=0.4770; sequence_match=0.3333,False,0.4800,False,top-3 avg score 0.4800 < final_threshold 0.6
property,hasbody,hascharacteristic,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5350; levenshtein=0.1765; semantic=0.6494; sequence_match=0.2500,False,0.4781,False,top-3 avg score 0.4781 < final_threshold 0.6
property,haswinedescriptor,hasregion,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6176; levenshtein=0.3529; semantic=0.4233; sequence_match=0.3846,False,0.4752,False,top-3 avg score 0.4752 < final_threshold 0.6
property,yearvalue,hasquality,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5315; levenshtein=0.2000; semantic=0.5537; sequence_match=0.3158,False,0.4670,False,top-3 avg score 0.4670 < final_threshold 0.6
property,yearvalue,hasvintage,jaro_winkler+semantic+levenshtein,jaro_winkler=0.6148; levenshtein=0.2000; semantic=0.5776; sequence_match=0.1053,False,0.4642,False,top-3 avg score 0.4642 < final_threshold 0.6
