prop_type,gold_term,pred_term,top_methods_used,scores_by_method,is_hard_match,agg_score,selected,reason
ObjectProperty,has license,has license,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
ObjectProperty,has version,has version,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
ObjectProperty,implements,implements,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
ObjectProperty,is developed by,developed by,jaro_winkler+semantic+sequence_match,jaro_winkler=0.9487; levenshtein=0.8462; semantic=0.9364; sequence_match=0.9167,False,0.9339,True,selected
ObjectProperty,has output,has output format,jaro_winkler+semantic+sequence_match,jaro_winkler=0.9200; levenshtein=0.6000; semantic=0.8329; sequence_match=0.7500,False,0.8343,True,selected
ObjectProperty,has input,has input format,jaro_winkler+semantic+sequence_match,jaro_winkler=0.9143; levenshtein=0.5714; semantic=0.7945; sequence_match=0.7273,False,0.812,True,selected
ObjectProperty,is software for,software type of,jaro_winkler+semantic+sequence_match,jaro_winkler=0.7945; levenshtein=0.5000; semantic=0.7447; sequence_match=0.6667,False,0.7353,True,selected
ObjectProperty,uses software,has software type,jaro_winkler+semantic+sequence_match,jaro_winkler=0.7833; levenshtein=0.5333; semantic=0.7271; sequence_match=0.6667,False,0.7257,True,selected
ObjectProperty,uses platform,uses algorithm,jaro_winkler+sequence_match+semantic,jaro_winkler=0.8805; levenshtein=0.4615; semantic=0.6325; sequence_match=0.6400,False,0.7177,True,selected
ObjectProperty,implements,implemented in,jaro_winkler+semantic+sequence_match,jaro_winkler=0.9185; levenshtein=0.6923; semantic=0.8329; sequence_match=0.7826,False,0.8446,False,gold already mapped to 'implements'
ObjectProperty,has version,version of,semantic+sequence_match+jaro_winkler,jaro_winkler=0.7307; levenshtein=0.5000; semantic=0.8545; sequence_match=0.7368,False,0.774,False,gold already mapped to 'has version'
ObjectProperty,has license,license of,semantic+sequence_match+jaro_winkler,jaro_winkler=0.6831; levenshtein=0.5000; semantic=0.8159; sequence_match=0.7368,False,0.7453,False,gold already mapped to 'has license'
ObjectProperty,is developed by,develops,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8045; levenshtein=0.5385; semantic=0.7540; sequence_match=0.6667,False,0.7417,False,gold already mapped to 'developed by'
ObjectProperty,uses software,software type of,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6865; levenshtein=0.2857; semantic=0.7697; sequence_match=0.6154,False,0.6905,False,top-3 avg score 0.6905 < final_threshold 0.7
ObjectProperty,has interface,has input format,jaro_winkler+sequence_match+semantic,jaro_winkler=0.8563; levenshtein=0.5000; semantic=0.5949; sequence_match=0.6154,False,0.6889,False,top-3 avg score 0.6889 < final_threshold 0.7
