id,source,term_type,axiom_type,term,dl,status,note
AX1-gold,gold,Class,SubClassOf,CarnivorousPlant,CarnivorousPlant ⊑ plant,TP,matched pred AX7
AX1-pred,pred,Class,SubClassOf,CarnivorousPlant,CarnivorousPlant ⊑ Plant,-,-
AX2-gold,gold,Class,SubClassOf,CarnivorousPlant,CarnivorousPlant ⊑ ∃eats.animal,FN,pred has no SubClassOf axiom on 'CarnivorousPlant'
AX2-pred,pred,-,-,-,(no pred axiom on aligned subject),-,-
AX3-gold,gold,Class,DisjointClasses,Omnivore,"DisjointClasses(Omnivore, carnivore)",FN,pred has no DisjointClasses axiom on 'Omnivore'
AX3-pred,pred,-,-,-,(no pred axiom on aligned subject),-,-
AX4-gold,gold,Class,DisjointClasses,Omnivore,"DisjointClasses(Omnivore, herbivore)",FN,pred has no DisjointClasses axiom on 'Omnivore'
AX4-pred,pred,-,-,-,(no pred axiom on aligned subject),-,-
AX5-gold,gold,Class,EquivalentClasses,Omnivore,Omnivore ≡ (∃eats.animal ⊓ ∃eats.plant ⊓ ∃eats.(∃is-part-of.animal ⊔ ∃is-part-of.plant)),FN,pred has no EquivalentClasses axiom on 'Omnivore'
AX5-pred,pred,-,-,-,(no pred axiom on aligned subject),-,-
AX6-gold,gold,Class,SubClassOf,Omnivore,Omnivore ⊑ animal,TP,matched pred AX13
AX6-pred,pred,Class,SubClassOf,Omnivore,Omnivore ⊑ Animal,-,-
AX7-gold,gold,Class,SubClassOf,PlantParts,PlantParts ⊑ ∃is-proper-part-of.plant,FN,pred has no SubClassOf axiom on 'PlantPart'
AX7-pred,pred,-,-,-,(no pred axiom on aligned subject),-,-
AX8-gold,gold,Class,DisjointClasses,animal,"DisjointClasses(animal, plant)",TP,matched pred AX2
AX8-pred,pred,Class,DisjointClasses,Animal,"DisjointClasses(Animal, Plant)",-,-
AX9-gold,gold,Class,DisjointClasses,carnivore,"DisjointClasses(carnivore, herbivore)",FN,pred has no DisjointClasses axiom on 'Carnivore'
AX9-pred,pred,-,-,-,(no pred axiom on aligned subject),-,-
AX10-gold,gold,Class,EquivalentClasses,carnivore,carnivore ≡ (∀eats.animal ⊔ ∀eats.∃is-part-of.animal),FN,pred has no EquivalentClasses axiom on 'Carnivore'
AX10-pred,pred,-,-,-,(no pred axiom on aligned subject),-,-
AX11-gold,gold,Class,SubClassOf,carnivore,carnivore ⊑ animal,TP,matched pred AX5
AX11-pred,pred,Class,SubClassOf,Carnivore,Carnivore ⊑ Animal,-,-
AX12-gold,gold,Class,EquivalentClasses,herbivore,herbivore ≡ (∀eats.plant ⊔ ∀eats.∃is-part-of.plant),FN,pred has no EquivalentClasses axiom on 'Herbivore'
AX12-pred,pred,-,-,-,(no pred axiom on aligned subject),-,-
AX13-gold,gold,Class,SubClassOf,herbivore,herbivore ⊑ animal,TP,matched pred AX9
AX13-pred,pred,Class,SubClassOf,Herbivore,Herbivore ⊑ Animal,-,-
AX14-gold,gold,Class,SubClassOf,lion,lion ⊑ animal,Mismatch,pred AX11 differs: class 'animal' not aligned to 'Carnivore'
AX14-pred,pred,Class,SubClassOf,Lion,Lion ⊑ Carnivore,-,-
AX15-gold,gold,Class,SubClassOf,lion,lion ⊑ ∀eats.herbivore,FN,pred has no SubClassOf axiom on 'Lion'
AX15-pred,pred,-,-,-,(no pred axiom on aligned subject),-,-
AX16-gold,gold,ObjectProperty,InverseOf,eaten-by,eaten-by ≡ eats⁻,TP,matched pred AX20
AX16-pred,pred,ObjectProperty,InverseOf,eaten by,eaten by ≡ eats⁻,-,-
AX17-gold,gold,ObjectProperty,InverseOf,eats,eats ≡ eaten-by⁻,TP,matched pred AX28
AX17-pred,pred,ObjectProperty,InverseOf,eats,eats ≡ eaten by⁻,-,-
AX18-gold,gold,ObjectProperty,Range,eats,⊤ ⊑ ∀eats.(animal ⊔ plant ⊔ ∃is-part-of.animal ⊔ ∃is-part-of.plant),Mismatch,pred AX29 differs: expr_type ObjectUnionOf vs Class
