gold_term,pred_term,top_methods_used,scores_by_method,is_hard_match,agg_score,selected,reason
algorithm,Algorithm,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
programming language,Programming Language,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
licence,License,jaro_winkler+semantic+levenshtein,jaro_winkler=0.9429; levenshtein=0.8571; semantic=0.9174; sequence_match=0.8571,False,0.9058,True,selected
version number,Version,semantic+jaro_winkler+sequence_match,jaro_winkler=0.9077; levenshtein=0.5385; semantic=0.9414; sequence_match=0.7000,False,0.8497,True,selected
plain text file format,TXT File Format,semantic+jaro_winkler+sequence_match,jaro_winkler=0.8178; levenshtein=0.6842; semantic=0.8675; sequence_match=0.8125,False,0.8326,True,selected
software,Software Source,jaro_winkler+semantic+sequence_match,jaro_winkler=0.9143; levenshtein=0.5714; semantic=0.8222; sequence_match=0.7273,False,0.8213,True,selected
CEL ASCII format,CEL File Format,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8562; levenshtein=0.6429; semantic=0.8154; sequence_match=0.7407,False,0.8041,True,selected
file rendering,GIF Rendering,jaro_winkler+sequence_match+levenshtein,jaro_winkler=0.8300; levenshtein=0.7692; semantic=0.7075; sequence_match=0.8000,False,0.7998,True,selected
data item,Data,jaro_winkler+semantic+sequence_match,jaro_winkler=0.9000; levenshtein=0.5000; semantic=0.7779; sequence_match=0.6667,False,0.7815,True,selected
data format specification,Data Format,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8870; levenshtein=0.4348; semantic=0.8404; sequence_match=0.6061,False,0.7778,True,selected
text editing,XML Editing,sequence_match+jaro_winkler+semantic,jaro_winkler=0.7591; levenshtein=0.6364; semantic=0.7534; sequence_match=0.7619,False,0.7581,True,selected
desktop graphical user interface,Desktop Application,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8506; levenshtein=0.4138; semantic=0.7792; sequence_match=0.5957,False,0.7419,True,selected
Development status,Developer,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8719; levenshtein=0.4706; semantic=0.7202; sequence_match=0.6154,False,0.7358,True,selected
.csv,CSV File Format,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8205; levenshtein=0.2308; semantic=0.8193; sequence_match=0.3750,False,0.6716,True,selected
