prop_type,gold_term,pred_term,top_methods_used,scores_by_method,is_hard_match,agg_score,selected,reason
ObjectProperty,hasVintageYear,has vintage,jaro_winkler+semantic+sequence_match,jaro_winkler=0.9429; levenshtein=0.7143; semantic=0.8805; sequence_match=0.8333,False,0.8856,True,selected
ObjectProperty,hasWineDescriptor,has wine characteristic,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8552; levenshtein=0.5238; semantic=0.7775; sequence_match=0.5789,False,0.7372,True,selected
ObjectProperty,hasVintageYear,has vintage quality,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8959; levenshtein=0.6471; semantic=0.8544; sequence_match=0.7097,False,0.82,False,gold already mapped to 'has vintage'
ObjectProperty,hasVintageYear,has vintage characteristic,semantic+jaro_winkler+sequence_match,jaro_winkler=0.8787; levenshtein=0.5000; semantic=0.8886; sequence_match=0.6316,False,0.7996,False,gold already mapped to 'has vintage'
ObjectProperty,hasVintageYear,has wine characteristic,jaro_winkler+semantic+sequence_match,jaro_winkler=0.7965; levenshtein=0.3333; semantic=0.6512; sequence_match=0.4571,False,0.6349,False,top-3 avg score 0.6349 < final_threshold 0.7
ObjectProperty,hasWineDescriptor,has vintage characteristic,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6919; levenshtein=0.4167; semantic=0.6064; sequence_match=0.4878,False,0.5954,False,top-3 avg score 0.5954 < final_threshold 0.7
ObjectProperty,madeFromGrape,from wine,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5365; levenshtein=0.3846; semantic=0.7388; sequence_match=0.4762,False,0.5839,False,top-3 avg score 0.5839 < final_threshold 0.7
ObjectProperty,hasFlavor,has vintage,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6185; levenshtein=0.3000; semantic=0.6585; sequence_match=0.4211,False,0.566,False,top-3 avg score 0.5660 < final_threshold 0.7
ObjectProperty,hasWineDescriptor,has vintage quality,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6471; levenshtein=0.3529; semantic=0.5472; sequence_match=0.4706,False,0.555,False,top-3 avg score 0.5550 < final_threshold 0.7
ObjectProperty,hasSugar,has vintage,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6417; levenshtein=0.4000; semantic=0.5748; sequence_match=0.4444,False,0.5536,False,top-3 avg score 0.5536 < final_threshold 0.7
ObjectProperty,hasWineDescriptor,has vintage,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6510; levenshtein=0.2941; semantic=0.5605; sequence_match=0.4444,False,0.552,False,top-3 avg score 0.5520 < final_threshold 0.7
ObjectProperty,hasBody,has vintage,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5762; levenshtein=0.3000; semantic=0.6549; sequence_match=0.3529,False,0.528,False,top-3 avg score 0.5280 < final_threshold 0.7
