gold_term,pred_term,top_methods_used,scores_by_method,is_hard_match,agg_score,selected,reason
RedWine,Red Wine,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
Vintage,Vintage,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
WhiteWine,White Wine,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
wine,Wine,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
WineGrape,Grape,semantic+sequence_match+levenshtein,jaro_winkler=0.4370; levenshtein=0.5556; semantic=0.8778; sequence_match=0.7143,False,0.7159,True,selected
WineTaste,Wine Characteristic,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8556; levenshtein=0.3889; semantic=0.7669; sequence_match=0.5185,False,0.7137,True,selected
WineBody,Body,semantic+sequence_match+levenshtein,jaro_winkler=0.0000; levenshtein=0.5000; semantic=0.8012; sequence_match=0.6667,False,0.656,True,selected
VintageYear,Vintage,jaro_winkler+semantic+sequence_match,jaro_winkler=0.9273; levenshtein=0.6364; semantic=0.8946; sequence_match=0.7778,False,0.8665,False,pred already taken by 'Vintage' (higher averaged score)
WineBody,Wine,jaro_winkler+semantic+sequence_match,jaro_winkler=0.9000; levenshtein=0.5000; semantic=0.8164; sequence_match=0.6667,False,0.7943,False,pred already taken by 'wine' (higher averaged score)
WineGrape,Wine,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8889; levenshtein=0.4444; semantic=0.8744; sequence_match=0.6154,False,0.7929,False,pred already taken by 'wine' (higher averaged score)
WineTaste,Wine,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8889; levenshtein=0.4444; semantic=0.8459; sequence_match=0.6154,False,0.7834,False,pred already taken by 'wine' (higher averaged score)
WineSugar,Wine,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8889; levenshtein=0.4444; semantic=0.7925; sequence_match=0.6154,False,0.7656,False,pred already taken by 'wine' (higher averaged score)
WineColor,Wine,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8889; levenshtein=0.4444; semantic=0.7918; sequence_match=0.6154,False,0.7654,False,pred already taken by 'wine' (higher averaged score)
WineFlavor,Wine,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8800; levenshtein=0.4000; semantic=0.7979; sequence_match=0.5714,False,0.7498,False,pred already taken by 'wine' (higher averaged score)
WhiteBordeaux,White Wine,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8256; levenshtein=0.4615; semantic=0.8189; sequence_match=0.5455,False,0.73,False,pred already taken by 'WhiteWine' (higher averaged score)
RedWine,Wine,semantic+sequence_match+levenshtein,jaro_winkler=0.4643; levenshtein=0.5714; semantic=0.8511; sequence_match=0.7273,False,0.7166,False,gold already mapped to 'Red Wine'
wine,Red Wine,semantic+sequence_match+levenshtein,jaro_winkler=0.4643; levenshtein=0.5714; semantic=0.8511; sequence_match=0.7273,False,0.7166,False,gold already mapped to 'Wine'
WhiteWine,Wine,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6944; levenshtein=0.4444; semantic=0.7946; sequence_match=0.6154,False,0.7015,False,gold already mapped to 'White Wine'
wine,White Wine,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6944; levenshtein=0.4444; semantic=0.7946; sequence_match=0.6154,False,0.7015,False,gold already mapped to 'Wine'
RedWine,White Wine,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6899; levenshtein=0.4444; semantic=0.7269; sequence_match=0.6250,False,0.6806,False,gold already mapped to 'Red Wine'
WhiteWine,Red Wine,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6899; levenshtein=0.4444; semantic=0.7269; sequence_match=0.6250,False,0.6806,False,gold already mapped to 'White Wine'
