Gold_term,Pre_term,Method,Score
release date,release date,hard_match,1.0
username,has username,top3_avg(jaro_winkler+semantic+sequence_match),0.8593
has achievement,has achievement,hard_match,1.0
has feature,has genre,top3_avg(jaro_winkler+levenshtein+sequence_match),0.705
has game genre,has game genre,hard_match,1.0
has item,has item,hard_match,1.0
has playing area,has playing area,hard_match,1.0
is achievement in game,is achievement in,top3_avg(jaro_winkler+semantic+sequence_match),0.9007
is friend with player,is friend of,top3_avg(jaro_winkler+semantic+sequence_match),0.7222
is player in session,is player item,top3_avg(jaro_winkler+semantic+sequence_match),0.7217
lives in,lives in,hard_match,1.0
owns achievement,has obtained achievement,top3_avg(jaro_winkler+semantic+sequence_match),0.7607
plays game,plays game,hard_match,1.0
