Gold_term,Pre_term,Method,Score
end time,end time,hard_match,1.0
release date,release date,hard_match,1.0
start time,start time,hard_match,1.0
username,username,hard_match,1.0
has achievement,earned achievement,top3_avg(jaro_winkler+semantic+sequence_match),0.7868
has game genre,has genre,top3_avg(jaro_winkler+semantic+sequence_match),0.8484
has item,has item,hard_match,1.0
has playing area,has playing area,hard_match,1.0
is session in game,session for game,top3_avg(jaro_winkler+semantic+sequence_match),0.7938
owns achievement,includes achievement,top3_avg(jaro_winkler+semantic+sequence_match),0.7544
owns item,owns item,hard_match,1.0
plays game,plays game,hard_match,1.0
purchases game offering,purchase in game,top3_avg(jaro_winkler+semantic+sequence_match),0.7705
