gold_term,pred_term,top_methods_used,scores_by_method,is_hard_match,agg_score,selected,reason
algorithm,Algorithm,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
programming language,Programming Language,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
web service,Web Service,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
licence,License,jaro_winkler+semantic+levenshtein,jaro_winkler=0.9429; levenshtein=0.8571; semantic=0.9174; sequence_match=0.8571,False,0.9058,True,selected
version number,Version,semantic+jaro_winkler+sequence_match,jaro_winkler=0.9077; levenshtein=0.5385; semantic=0.9414; sequence_match=0.7000,False,0.8497,True,selected
software,Software Type,jaro_winkler+semantic+sequence_match,jaro_winkler=0.9333; levenshtein=0.6667; semantic=0.8048; sequence_match=0.8000,False,0.846,True,selected
CEL ASCII format,CEL Format,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8648; levenshtein=0.6429; semantic=0.8561; sequence_match=0.7826,False,0.8345,True,selected
data item,Data,jaro_winkler+semantic+sequence_match,jaro_winkler=0.9000; levenshtein=0.5000; semantic=0.7779; sequence_match=0.6667,False,0.7815,True,selected
text editing,XML Editing,sequence_match+jaro_winkler+semantic,jaro_winkler=0.7591; levenshtein=0.6364; semantic=0.7534; sequence_match=0.7619,False,0.7581,True,selected
.csv,CSV Format,semantic+jaro_winkler+sequence_match,jaro_winkler=0.8444; levenshtein=0.3333; semantic=0.8819; sequence_match=0.5000,False,0.7421,True,selected
Development status,Developer,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8719; levenshtein=0.4706; semantic=0.7202; sequence_match=0.6154,False,0.7358,True,selected
CEL binary format,Open Format,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6944; levenshtein=0.4667; semantic=0.6838; sequence_match=0.6400,False,0.6727,True,selected
plain text file format,TXT Format,semantic+sequence_match+levenshtein,jaro_winkler=0.4729; levenshtein=0.4737; semantic=0.8176; sequence_match=0.6429,False,0.6447,True,selected
algorithm,Algorithm Usage,jaro_winkler+semantic+sequence_match,jaro_winkler=0.9286; levenshtein=0.6429; semantic=0.7947; sequence_match=0.7826,False,0.8353,False,gold already mapped to 'Algorithm'
CEL binary format,CEL Format,semantic+jaro_winkler+sequence_match,jaro_winkler=0.8548; levenshtein=0.6000; semantic=0.8835; sequence_match=0.7500,False,0.8294,False,pred already taken by 'CEL ASCII format' (higher averaged score)
software interface,Software Type,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8843; levenshtein=0.5882; semantic=0.6985; sequence_match=0.6897,False,0.7575,False,pred already taken by 'software' (higher averaged score)
XML,XML Editing,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8367; levenshtein=0.3000; semantic=0.8188; sequence_match=0.4615,False,0.7057,False,pred already taken by 'text editing' (higher averaged score)
CEL ASCII format,CSV Format,sequence_match+jaro_winkler+semantic,jaro_winkler=0.6951; levenshtein=0.5714; semantic=0.6809; sequence_match=0.6957,False,0.6905,False,gold already mapped to 'CEL Format'
software developer role,Software Type,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8419; levenshtein=0.4762; semantic=0.6098; sequence_match=0.6061,False,0.6859,False,pred already taken by 'software' (higher averaged score)
CEL binary format,Proprietary Format,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6419; levenshtein=0.5882; semantic=0.7185; sequence_match=0.6250,False,0.6618,False,gold already mapped to 'Open Format'
software developer role,Developer,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6614; levenshtein=0.4286; semantic=0.7226; sequence_match=0.6000,False,0.6613,False,pred already taken by 'Development status' (higher averaged score)
CEL binary format,CSV Format,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6529; levenshtein=0.4667; semantic=0.6687; sequence_match=0.5833,False,0.635,False,gold already mapped to 'Open Format'
CEL ASCII format,Open Format,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6381; levenshtein=0.4286; semantic=0.6821; sequence_match=0.5833,False,0.6345,False,gold already mapped to 'CEL Format'
application programming interface,Programming Language,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6402; levenshtein=0.4194; semantic=0.7137; sequence_match=0.5200,False,0.6246,False,pred already taken by 'programming language' (higher averaged score)
software developer organization,Developer,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6220; levenshtein=0.3103; semantic=0.7488; sequence_match=0.4737,False,0.6148,False,pred already taken by 'Development status' (higher averaged score)
plain text file format,Proprietary Format,semantic+jaro_winkler+levenshtein,jaro_winkler=0.6511; levenshtein=0.4737; semantic=0.7144; sequence_match=0.4444,False,0.6131,False,gold already mapped to 'TXT Format'
software,Feature,jaro_winkler+semantic+sequence_match,jaro_winkler=0.7131; levenshtein=0.3750; semantic=0.5712; sequence_match=0.5333,False,0.6059,False,gold already mapped to 'Software Type'
software developer organization,Software Type,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6927; levenshtein=0.3448; semantic=0.6220; sequence_match=0.4878,False,0.6009,False,pred already taken by 'software' (higher averaged score)
data item,Data Flow,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6667; levenshtein=0.5000; semantic=0.6295; sequence_match=0.5000,False,0.5987,False,top-3 avg score 0.5987 < final_threshold 0.6
data format specification,Format,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5870; levenshtein=0.2609; semantic=0.7777; sequence_match=0.4138,False,0.5928,False,top-3 avg score 0.5928 < final_threshold 0.6
CEL ASCII format,Format,semantic+sequence_match+levenshtein,jaro_winkler=0.4127; levenshtein=0.4286; semantic=0.7473; sequence_match=0.6000,False,0.592,False,top-3 avg score 0.5920 < final_threshold 0.6
Open source software license,License,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5048; levenshtein=0.2800; semantic=0.8238; sequence_match=0.4375,False,0.5887,False,top-3 avg score 0.5887 < final_threshold 0.6
CEL ASCII format,Proprietary Format,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5759; levenshtein=0.3529; semantic=0.6696; sequence_match=0.5161,False,0.5872,False,top-3 avg score 0.5872 < final_threshold 0.6
Not Free,Software Type,jaro_winkler+sequence_match+semantic,jaro_winkler=0.7302; levenshtein=0.4167; semantic=0.5026; sequence_match=0.5263,False,0.5864,False,top-3 avg score 0.5864 < final_threshold 0.6
data format specification,Data,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8348; levenshtein=0.1739; semantic=0.6226; sequence_match=0.2963,False,0.5846,False,top-3 avg score 0.5846 < final_threshold 0.6
CEL ASCII format,TXT Format,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5873; levenshtein=0.4286; semantic=0.6409; sequence_match=0.5217,False,0.5833,False,top-3 avg score 0.5833 < final_threshold 0.6
