role,gold_term,pred_term,top_methods_used,scores_by_method,is_hard_match,agg_score,selected,reason
property,hasbody,hasbody,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0000,True,selected
property,hasvintageyear,hasvintageyear,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0000,True,selected
property,hasvintageyear,hasvintage,jaro_winkler+semantic+sequence_match,jaro_winkler=0.9429; levenshtein=0.7143; semantic=0.8555; sequence_match=0.8333,False,0.8772,False,gold already mapped to 'hasvintageyear'
property,hasbody,hasbouquet,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8429; levenshtein=0.5000; semantic=0.6621; sequence_match=0.5882,False,0.6977,False,gold already mapped to 'hasbody'
property,hasvintageyear,hasgrapevariety,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8241; levenshtein=0.2667; semantic=0.6227; sequence_match=0.4138,False,0.6202,False,gold already mapped to 'hasvintageyear'
property,hasbody,hascolor,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6905; levenshtein=0.5000; semantic=0.6310; sequence_match=0.5333,False,0.6183,False,gold already mapped to 'hasbody'
property,madefromgrape,hasgrapevariety,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6329; levenshtein=0.2000; semantic=0.7348; sequence_match=0.4286,False,0.5988,False,top-3 avg score 0.5988 < final_threshold 0.6
property,haswinedescriptor,hasvintageyear,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6807; levenshtein=0.3529; semantic=0.5728; sequence_match=0.5161,False,0.5899,False,top-3 avg score 0.5899 < final_threshold 0.6
property,hasbody,hasregion,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6720; levenshtein=0.3333; semantic=0.5666; sequence_match=0.5000,False,0.5795,False,top-3 avg score 0.5795 < final_threshold 0.6
property,hasvintageyear,hasqualityrating,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6798; levenshtein=0.2500; semantic=0.6205; sequence_match=0.4000,False,0.5668,False,top-3 avg score 0.5668 < final_threshold 0.6
property,haswinedescriptor,hasvintage,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6510; levenshtein=0.2941; semantic=0.5967; sequence_match=0.4444,False,0.5640,False,top-3 avg score 0.5640 < final_threshold 0.6
property,haswinedescriptor,hascolor,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6397; levenshtein=0.3529; semantic=0.5089; sequence_match=0.4800,False,0.5429,False,top-3 avg score 0.5429 < final_threshold 0.6
property,yearvalue,hasvintageyear,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5767; levenshtein=0.2143; semantic=0.7023; sequence_match=0.3478,False,0.5423,False,top-3 avg score 0.5423 < final_threshold 0.6
property,haswinedescriptor,hasgrapevariety,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6850; levenshtein=0.4118; semantic=0.4999; sequence_match=0.4375,False,0.5408,False,top-3 avg score 0.5408 < final_threshold 0.6
property,madefromgrape,usedtomake,jaro_winkler+semantic+levenshtein,jaro_winkler=0.6316; levenshtein=0.3846; semantic=0.5998; sequence_match=0.2609,False,0.5387,False,top-3 avg score 0.5387 < final_threshold 0.6
property,haswinedescriptor,hascharacteristic,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6255; levenshtein=0.3529; semantic=0.5692; sequence_match=0.4118,False,0.5355,False,top-3 avg score 0.5355 < final_threshold 0.6
property,hasvintageyear,hasregion,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6640; levenshtein=0.2857; semantic=0.4977; sequence_match=0.4348,False,0.5322,False,top-3 avg score 0.5322 < final_threshold 0.6
property,hasbody,hasvintageyear,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6190; levenshtein=0.2857; semantic=0.5930; sequence_match=0.3810,False,0.5310,False,top-3 avg score 0.5310 < final_threshold 0.6
property,hasvintageyear,hasbody,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6190; levenshtein=0.2857; semantic=0.5930; sequence_match=0.3810,False,0.5310,False,top-3 avg score 0.5310 < final_threshold 0.6
property,hasbody,hasvintage,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5762; levenshtein=0.3000; semantic=0.6332; sequence_match=0.3529,False,0.5208,False,top-3 avg score 0.5208 < final_threshold 0.6
property,hasvintageyear,hascolor,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5952; levenshtein=0.2857; semantic=0.5924; sequence_match=0.3636,False,0.5171,False,top-3 avg score 0.5171 < final_threshold 0.6
property,hasbody,hasqualityrating,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6071; levenshtein=0.2500; semantic=0.5956; sequence_match=0.3478,False,0.5168,False,top-3 avg score 0.5168 < final_threshold 0.6
property,haswinedescriptor,changeswith,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6493; levenshtein=0.3529; semantic=0.4654; sequence_match=0.4286,False,0.5144,False,top-3 avg score 0.5144 < final_threshold 0.6
property,hasvintageyear,changeswith,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6412; levenshtein=0.2143; semantic=0.4916; sequence_match=0.4000,False,0.5109,False,top-3 avg score 0.5109 < final_threshold 0.6
property,haswinedescriptor,hasbody,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6022; levenshtein=0.2353; semantic=0.5920; sequence_match=0.3333,False,0.5092,False,top-3 avg score 0.5092 < final_threshold 0.6
property,hasvintageyear,hascharacteristic,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5973; levenshtein=0.2941; semantic=0.6064; sequence_match=0.3226,False,0.5088,False,top-3 avg score 0.5088 < final_threshold 0.6
property,haswinedescriptor,hasbouquet,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5980; levenshtein=0.2941; semantic=0.5474; sequence_match=0.3704,False,0.5053,False,top-3 avg score 0.5053 < final_threshold 0.6
property,hasbody,hasgrapevariety,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5429; levenshtein=0.2667; semantic=0.5750; sequence_match=0.3636,False,0.4938,False,top-3 avg score 0.4938 < final_threshold 0.6
property,hasvintageyear,hasbouquet,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5524; levenshtein=0.2857; semantic=0.5868; sequence_match=0.3333,False,0.4908,False,top-3 avg score 0.4908 < final_threshold 0.6
property,hasbody,hascharacteristic,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5350; levenshtein=0.1765; semantic=0.6494; sequence_match=0.2500,False,0.4781,False,top-3 avg score 0.4781 < final_threshold 0.6
