prop_type,gold_term,pred_term,top_methods_used,scores_by_method,is_hard_match,agg_score,selected,reason
ObjectProperty,eaten-by,is eaten by,jaro_winkler+semantic+sequence_match,jaro_winkler=0.9259; levenshtein=0.7778; semantic=0.8829; sequence_match=0.8750,False,0.8946,True,selected
ObjectProperty,is-part-of,is part of plant,jaro_winkler+sequence_match+semantic,jaro_winkler=0.9231; levenshtein=0.6154; semantic=0.6473; sequence_match=0.7619,False,0.7774,True,selected
ObjectProperty,eaten-by,is eaten by animal,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8222; levenshtein=0.4667; semantic=0.7894; sequence_match=0.6364,False,0.7493,False,gold already mapped to 'is eaten by'
ObjectProperty,eaten-by,is eaten by plant,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8333; levenshtein=0.5000; semantic=0.7191; sequence_match=0.6667,False,0.7397,False,gold already mapped to 'is eaten by'
ObjectProperty,eaten-by,is eaten by plant part,jaro_winkler+semantic+sequence_match,jaro_winkler=0.7963; levenshtein=0.3889; semantic=0.6930; sequence_match=0.5600,False,0.6831,False,top-3 avg score 0.6831 < final_threshold 0.7
ObjectProperty,is-proper-part-of,is part of plant,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6673; levenshtein=0.3571; semantic=0.6226; sequence_match=0.5926,False,0.6275,False,top-3 avg score 0.6275 < final_threshold 0.7
ObjectProperty,eats,is eaten by,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6481; levenshtein=0.3333; semantic=0.7598; sequence_match=0.4615,False,0.6232,False,top-3 avg score 0.6232 < final_threshold 0.7
ObjectProperty,has-part,is part of plant,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6330; levenshtein=0.3077; semantic=0.6981; sequence_match=0.5000,False,0.6103,False,top-3 avg score 0.6103 < final_threshold 0.7
ObjectProperty,is-part-of,is eaten by,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6481; levenshtein=0.3333; semantic=0.4764; sequence_match=0.4706,False,0.5317,False,top-3 avg score 0.5317 < final_threshold 0.7
ObjectProperty,eats,is eaten by animal,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5889; levenshtein=0.2000; semantic=0.6618; sequence_match=0.3158,False,0.5222,False,top-3 avg score 0.5222 < final_threshold 0.7
ObjectProperty,eats,is eaten by plant,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5952; levenshtein=0.2143; semantic=0.6236; sequence_match=0.3333,False,0.5174,False,top-3 avg score 0.5174 < final_threshold 0.7
ObjectProperty,has-part,is eaten by plant part,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5307; levenshtein=0.2778; semantic=0.5793; sequence_match=0.4000,False,0.5033,False,top-3 avg score 0.5033 < final_threshold 0.7
ObjectProperty,is-proper-part-of,is eaten by,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5767; levenshtein=0.2143; semantic=0.4823; sequence_match=0.4348,False,0.4979,False,top-3 avg score 0.4979 < final_threshold 0.7
ObjectProperty,is-part-of,is eaten by plant part,jaro_winkler+sequence_match+semantic,jaro_winkler=0.5676; levenshtein=0.2778; semantic=0.4573; sequence_match=0.4615,False,0.4955,False,top-3 avg score 0.4955 < final_threshold 0.7
ObjectProperty,eats,is eaten by plant part,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5741; levenshtein=0.1667; semantic=0.6191; sequence_match=0.2727,False,0.4886,False,top-3 avg score 0.4886 < final_threshold 0.7
ObjectProperty,is-proper-part-of,is eaten by plant part,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5470; levenshtein=0.2778; semantic=0.4441; sequence_match=0.4375,False,0.4762,False,top-3 avg score 0.4762 < final_threshold 0.7
ObjectProperty,is-part-of,is eaten by plant,jaro_winkler+sequence_match+semantic,jaro_winkler=0.5952; levenshtein=0.2143; semantic=0.3764; sequence_match=0.4545,False,0.4754,False,top-3 avg score 0.4754 < final_threshold 0.7
ObjectProperty,is-part-of,is eaten by animal,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5889; levenshtein=0.2000; semantic=0.3941; sequence_match=0.3478,False,0.4436,False,top-3 avg score 0.4436 < final_threshold 0.7
ObjectProperty,eats,is part of plant,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5491; levenshtein=0.1538; semantic=0.5035; sequence_match=0.2353,False,0.4293,False,top-3 avg score 0.4293 < final_threshold 0.7
ObjectProperty,has-part,is eaten by plant,jaro_winkler+semantic+sequence_match,jaro_winkler=0.4524; levenshtein=0.2857; semantic=0.4331; sequence_match=0.3810,False,0.4221,False,top-3 avg score 0.4221 < final_threshold 0.7
ObjectProperty,is-proper-part-of,is eaten by plant,jaro_winkler+sequence_match+semantic,jaro_winkler=0.5635; levenshtein=0.2143; semantic=0.3424; sequence_match=0.3571,False,0.421,False,top-3 avg score 0.4210 < final_threshold 0.7
ObjectProperty,is-proper-part-of,is eaten by animal,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5175; levenshtein=0.2000; semantic=0.3954; sequence_match=0.3448,False,0.4192,False,top-3 avg score 0.4192 < final_threshold 0.7
ObjectProperty,eaten-by,is part of plant,jaro_winkler+semantic+sequence_match,jaro_winkler=0.4799; levenshtein=0.1538; semantic=0.4409; sequence_match=0.3000,False,0.4069,False,top-3 avg score 0.4069 < final_threshold 0.7
ObjectProperty,has-part,is eaten by,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4762; levenshtein=0.1111; semantic=0.4822; sequence_match=0.2500,False,0.4028,False,top-3 avg score 0.4028 < final_threshold 0.7
ObjectProperty,has-part,is eaten by animal,jaro_winkler+semantic+sequence_match,jaro_winkler=0.4460; levenshtein=0.1333; semantic=0.4331; sequence_match=0.1818,False,0.3536,False,top-3 avg score 0.3536 < final_threshold 0.7
