id,source,term_type,axiom_type,term,dl,status,note
AX1-gold,gold,Class,SubClassOf,CarnivorousPlant,CarnivorousPlant ⊑ plant,TP,matched pred AX7
AX1-pred,pred,Class,SubClassOf,Carnivorous Plant,Carnivorous Plant ⊑ Plant,-,-
AX2-gold,gold,Class,SubClassOf,CarnivorousPlant,CarnivorousPlant ⊑ ∃eats.animal,FN,pred has no SubClassOf axiom on 'Carnivorous Plant'
AX2-pred,pred,-,-,-,(no pred axiom on aligned subject),-,-
AX3-gold,gold,Class,DisjointClasses,Omnivore,"DisjointClasses(Omnivore, carnivore)",FN,pred has no DisjointClasses axiom on 'Omnivore'
AX3-pred,pred,-,-,-,(no pred axiom on aligned subject),-,-
AX4-gold,gold,Class,DisjointClasses,Omnivore,"DisjointClasses(Omnivore, herbivore)",FN,pred has no DisjointClasses axiom on 'Omnivore'
AX4-pred,pred,-,-,-,(no pred axiom on aligned subject),-,-
AX5-gold,gold,Class,EquivalentClasses,Omnivore,Omnivore ≡ (∃eats.animal ⊓ ∃eats.plant ⊓ ∃eats.(∃is-part-of.animal ⊔ ∃is-part-of.plant)),Mismatch,pred AX12 differs: ObjectIntersectionOf: gold operand #1 has no match in pred (pred operand #0: expr_type ObjectSomeValuesFrom vs Class; pred operand #2: filler differs: expr_type Class vs ObjectUnionOf)
AX5-pred,pred,Class,EquivalentClasses,Omnivore,Omnivore ≡ (Animal ⊓ ∃eats.Animal ⊓ ∃eats.(Plant ⊔ Plant Part)),-,-
AX6-gold,gold,Class,SubClassOf,Omnivore,Omnivore ⊑ animal,TP,matched pred AX13
AX6-pred,pred,Class,SubClassOf,Omnivore,Omnivore ⊑ Animal,-,-
AX7-gold,gold,Class,SubClassOf,PlantParts,PlantParts ⊑ ∃is-proper-part-of.plant,FN,pred has no SubClassOf axiom on 'Plant Part'
AX7-pred,pred,-,-,-,(no pred axiom on aligned subject),-,-
AX8-gold,gold,Class,DisjointClasses,animal,"DisjointClasses(animal, plant)",FN,pred has no DisjointClasses axiom on 'Animal'
AX8-pred,pred,-,-,-,(no pred axiom on aligned subject),-,-
AX9-gold,gold,Class,DisjointClasses,carnivore,"DisjointClasses(carnivore, herbivore)",FN,pred has no DisjointClasses axiom on 'Carnivore'
AX9-pred,pred,-,-,-,(no pred axiom on aligned subject),-,-
AX10-gold,gold,Class,EquivalentClasses,carnivore,carnivore ≡ (∀eats.animal ⊔ ∀eats.∃is-part-of.animal),Mismatch,pred AX3 differs: expr_type ObjectUnionOf vs ObjectIntersectionOf
AX10-pred,pred,Class,EquivalentClasses,Carnivore,Carnivore ≡ (Animal ⊓ ∀eats.Animal),-,-
AX11-gold,gold,Class,SubClassOf,carnivore,carnivore ⊑ animal,TP,matched pred AX4
AX11-pred,pred,Class,SubClassOf,Carnivore,Carnivore ⊑ Animal,-,-
AX12-gold,gold,Class,EquivalentClasses,herbivore,herbivore ≡ (∀eats.plant ⊔ ∀eats.∃is-part-of.plant),Mismatch,pred AX9 differs: expr_type ObjectUnionOf vs ObjectIntersectionOf
AX12-pred,pred,Class,EquivalentClasses,Herbivore,Herbivore ≡ (Animal ⊓ ∀eats.(Plant ⊔ Plant Part)),-,-
AX13-gold,gold,Class,SubClassOf,herbivore,herbivore ⊑ animal,TP,matched pred AX10
AX13-pred,pred,Class,SubClassOf,Herbivore,Herbivore ⊑ Animal,-,-
AX14-gold,gold,Class,SubClassOf,lion,lion ⊑ animal,Skip,subject 'lion' not in alignment table
AX14-pred,pred,-,-,-,(subject not in alignment table),-,-
AX15-gold,gold,Class,SubClassOf,lion,lion ⊑ ∀eats.herbivore,Skip,subject 'lion' not in alignment table
AX15-pred,pred,-,-,-,(subject not in alignment table),-,-
AX16-gold,gold,ObjectProperty,InverseOf,eaten-by,eaten-by ≡ eats⁻,Skip,subject 'eaten-by' not in alignment table
AX16-pred,pred,-,-,-,(subject not in alignment table),-,-
