role,gold_term,pred_term,top_methods_used,scores_by_method,is_hard_match,agg_score,selected,reason
property,hasbody,hasbody,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0000,True,selected
property,hasvintageyear,hasvintageyear,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0000,True,selected
property,haswinedescriptor,haswinetype,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8795; levenshtein=0.4706; semantic=0.5891; sequence_match=0.5714,False,0.6800,True,selected
property,hasbody,hasbouquet,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8429; levenshtein=0.5000; semantic=0.6621; sequence_match=0.5882,False,0.6977,False,gold already mapped to 'hasbody'
property,hasvintageyear,haswinetype,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8483; levenshtein=0.4286; semantic=0.6093; sequence_match=0.5600,False,0.6725,False,gold already mapped to 'hasvintageyear'
property,hasvintageyear,hasquality,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6857; levenshtein=0.2857; semantic=0.6154; sequence_match=0.5000,False,0.6004,False,gold already mapped to 'hasvintageyear'
property,haswinedescriptor,hasvintageyear,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6807; levenshtein=0.3529; semantic=0.5728; sequence_match=0.5161,False,0.5899,False,top-3 avg score 0.5899 < final_threshold 0.6
property,hasbody,hasquality,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6571; levenshtein=0.4000; semantic=0.6204; sequence_match=0.4706,False,0.5827,False,top-3 avg score 0.5827 < final_threshold 0.6
property,hasbody,haswinetype,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6450; levenshtein=0.3636; semantic=0.6323; sequence_match=0.4444,False,0.5739,False,top-3 avg score 0.5739 < final_threshold 0.6
property,yearvalue,hasvintageyear,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5767; levenshtein=0.2143; semantic=0.7023; sequence_match=0.3478,False,0.5423,False,top-3 avg score 0.5423 < final_threshold 0.6
property,madefromgrape,usedtomake,jaro_winkler+semantic+levenshtein,jaro_winkler=0.6316; levenshtein=0.3846; semantic=0.5998; sequence_match=0.2609,False,0.5387,False,top-3 avg score 0.5387 < final_threshold 0.6
property,haswinedescriptor,hascharacteristic,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6255; levenshtein=0.3529; semantic=0.5692; sequence_match=0.4118,False,0.5355,False,top-3 avg score 0.5355 < final_threshold 0.6
property,hasbody,hasvintageyear,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6190; levenshtein=0.2857; semantic=0.5930; sequence_match=0.3810,False,0.5310,False,top-3 avg score 0.5310 < final_threshold 0.6
property,hasvintageyear,hasbody,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6190; levenshtein=0.2857; semantic=0.5930; sequence_match=0.3810,False,0.5310,False,top-3 avg score 0.5310 < final_threshold 0.6
property,haswinedescriptor,hasbody,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6022; levenshtein=0.2353; semantic=0.5920; sequence_match=0.3333,False,0.5092,False,top-3 avg score 0.5092 < final_threshold 0.6
property,hasvintageyear,hascharacteristic,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5973; levenshtein=0.2941; semantic=0.6064; sequence_match=0.3226,False,0.5088,False,top-3 avg score 0.5088 < final_threshold 0.6
property,haswinedescriptor,hasbouquet,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5980; levenshtein=0.2941; semantic=0.5474; sequence_match=0.3704,False,0.5053,False,top-3 avg score 0.5053 < final_threshold 0.6
property,haswinedescriptor,hasquality,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5980; levenshtein=0.2941; semantic=0.5141; sequence_match=0.3704,False,0.4942,False,top-3 avg score 0.4942 < final_threshold 0.6
property,hasvintageyear,hasbouquet,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5524; levenshtein=0.2857; semantic=0.5868; sequence_match=0.3333,False,0.4908,False,top-3 avg score 0.4908 < final_threshold 0.6
property,hasbody,hascharacteristic,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5350; levenshtein=0.1765; semantic=0.6494; sequence_match=0.2500,False,0.4781,False,top-3 avg score 0.4781 < final_threshold 0.6
property,yearvalue,hasquality,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5315; levenshtein=0.2000; semantic=0.5537; sequence_match=0.3158,False,0.4670,False,top-3 avg score 0.4670 < final_threshold 0.6
property,yearvalue,hasbouquet,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5444; levenshtein=0.2000; semantic=0.5169; sequence_match=0.3158,False,0.4590,False,top-3 avg score 0.4590 < final_threshold 0.6
property,madefromgrape,haswinetype,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5571; levenshtein=0.2308; semantic=0.4622; sequence_match=0.3333,False,0.4509,False,top-3 avg score 0.4509 < final_threshold 0.6
property,yearvalue,usedtomake,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5444; levenshtein=0.2000; semantic=0.4916; sequence_match=0.3158,False,0.4506,False,top-3 avg score 0.4506 < final_threshold 0.6
property,haswinedescriptor,usedtomake,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4647; levenshtein=0.1765; semantic=0.5090; sequence_match=0.3704,False,0.4480,False,top-3 avg score 0.4480 < final_threshold 0.6
property,yearvalue,hascharacteristic,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4766; levenshtein=0.1765; semantic=0.5133; sequence_match=0.3077,False,0.4325,False,top-3 avg score 0.4325 < final_threshold 0.6
property,madefromgrape,hasvintageyear,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5189; levenshtein=0.1429; semantic=0.5224; sequence_match=0.2222,False,0.4212,False,top-3 avg score 0.4212 < final_threshold 0.6
