prop_type,gold_term,pred_term,top_methods_used,scores_by_method,is_hard_match,agg_score,selected,reason
ObjectProperty,has license,has license,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
ObjectProperty,is developed by,developed by,jaro_winkler+semantic+sequence_match,jaro_winkler=0.9487; levenshtein=0.8462; semantic=0.9364; sequence_match=0.9167,False,0.9339,True,selected
ObjectProperty,uses platform,uses algorithm,jaro_winkler+sequence_match+semantic,jaro_winkler=0.8805; levenshtein=0.4615; semantic=0.6325; sequence_match=0.6400,False,0.7177,True,selected
ObjectProperty,has output,has type,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8296; levenshtein=0.4444; semantic=0.6270; sequence_match=0.6250,False,0.6939,False,top-3 avg score 0.6939 < final_threshold 0.7
ObjectProperty,has clause,has license,jaro_winkler+sequence_match+semantic,jaro_winkler=0.8115; levenshtein=0.5000; semantic=0.6169; sequence_match=0.6316,False,0.6866,False,top-3 avg score 0.6866 < final_threshold 0.7
ObjectProperty,has interface,has license,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8464; levenshtein=0.4167; semantic=0.6034; sequence_match=0.5455,False,0.6651,False,top-3 avg score 0.6651 < final_threshold 0.7
ObjectProperty,has interface,has type,jaro_winkler+semantic+sequence_match,jaro_winkler=0.7972; levenshtein=0.4167; semantic=0.6583; sequence_match=0.5263,False,0.6606,False,top-3 avg score 0.6606 < final_threshold 0.7
ObjectProperty,has version,has license,jaro_winkler+semantic+sequence_match,jaro_winkler=0.7933; levenshtein=0.3000; semantic=0.6209; sequence_match=0.5000,False,0.6381,False,top-3 avg score 0.6381 < final_threshold 0.7
ObjectProperty,has input,has license,jaro_winkler+sequence_match+semantic,jaro_winkler=0.7958; levenshtein=0.4000; semantic=0.5326; sequence_match=0.5556,False,0.628,False,top-3 avg score 0.6280 < final_threshold 0.7
ObjectProperty,uses software,uses algorithm,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6774; levenshtein=0.3077; semantic=0.7035; sequence_match=0.4800,False,0.6203,False,top-3 avg score 0.6203 < final_threshold 0.7
ObjectProperty,has output,supports output format,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6140; levenshtein=0.3500; semantic=0.7494; sequence_match=0.4828,False,0.6154,False,top-3 avg score 0.6154 < final_threshold 0.7
ObjectProperty,has input,has type,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6905; levenshtein=0.5000; semantic=0.6016; sequence_match=0.5333,False,0.6085,False,top-3 avg score 0.6085 < final_threshold 0.7
ObjectProperty,has clause,has type,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6720; levenshtein=0.4444; semantic=0.6231; sequence_match=0.5000,False,0.5983,False,top-3 avg score 0.5983 < final_threshold 0.7
ObjectProperty,has format specification,has type,jaro_winkler+semantic+sequence_match,jaro_winkler=0.7970; levenshtein=0.2727; semantic=0.5494; sequence_match=0.4138,False,0.5867,False,top-3 avg score 0.5867 < final_threshold 0.7
ObjectProperty,has version,has type,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6571; levenshtein=0.3000; semantic=0.6248; sequence_match=0.4706,False,0.5842,False,top-3 avg score 0.5842 < final_threshold 0.7
ObjectProperty,has function,has type,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6450; levenshtein=0.3636; semantic=0.6598; sequence_match=0.4444,False,0.5831,False,top-3 avg score 0.5831 < final_threshold 0.7
ObjectProperty,has input,supports input format,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5775; levenshtein=0.3158; semantic=0.7169; sequence_match=0.4444,False,0.5796,False,top-3 avg score 0.5796 < final_threshold 0.7
