Gold_term,Pre_term,Method,Score
Actuator,Actuator,hard_match,1.0
ChemicalProperty,Chemical property,hard_match,1.0
Measurement,Water measurement,top3_avg(jaro_winkler+semantic+sequence_match),0.8155775575257845
Sensor,Sensor,hard_match,1.0
Tariff,Tariff,hard_match,1.0
Temporal duration,Temperature,top3_avg(jaro_winkler+semantic+sequence_match),0.6392799055803772
Temporal entity,Temporal setting,top3_avg(jaro_winkler+semantic+sequence_match),0.8260943932548521
Water,Water,hard_match,1.0
Water asset,Asset,top3_avg(jaro_winkler+semantic+sequence_match),0.7018537335925631
Water infrastructure,Water distribution infrastructure,top3_avg(jaro_winkler+semantic+sequence_match),0.8478553603662903
Water meter,Water meter,hard_match,1.0
Water property,Physical property,top3_avg(jaro_winkler+semantic+sequence_match),0.6600118127893393
