Gold_term,Pre_term,Method,Score
has documentation,has documentation URL,top3_avg(jaro_winkler+semantic+sequence_match),0.9256
has release date,release date,top3_avg(jaro_winkler+semantic+sequence_match),0.8759
has support URL,support URL,top3_avg(jaro_winkler+semantic+sequence_match),0.9057
has website homepage,has homepage,top3_avg(jaro_winkler+semantic+sequence_match),0.849
has input,has input format,top3_avg(jaro_winkler+semantic+sequence_match),0.812
has license,has license,hard_match,1.0
has output,has output format,top3_avg(jaro_winkler+semantic+sequence_match),0.8343
has version,has version,hard_match,1.0
implements,implemented in,top3_avg(jaro_winkler+semantic+sequence_match),0.8446
is developed by,developed by,top3_avg(jaro_winkler+semantic+sequence_match),0.9339
uses platform,runs on platform,top3_avg(jaro_winkler+semantic+sequence_match),0.7906
uses software,has software type,top3_avg(jaro_winkler+semantic+sequence_match),0.7257
