PropertyType,GoldPredicate,PredPredicate,GoldPredicateNorm,PredPredicateNorm,GoldType,PredType,TypeVerdict,GoldDomain,PredDomain,GoldDomainNorm,PredDomainNorm,DomainStatus,GoldRange,PredRange,GoldRangeNorm,PredRangeNorm,RangeStatus,FullMatch,Note
DatatypeProperty,has fabrication number,has fabrication number,hasfabricationnumber,hasfabricationnumber,DatatypeProperty,DatatypeProperty,tp,,Water Meter,,watermeter,fp,xsd:http://www.w3.org/2000/01/rdf-schema#literal,xsd:http://www.semanticweb.org/myontology#string,literal,string,mismatch,NO,
DatatypeProperty,has firmware version,has firmware version,hasfirmwareversion,hasfirmwareversion,DatatypeProperty,DatatypeProperty,tp,,Water Meter,,watermeter,fp,xsd:http://www.w3.org/2000/01/rdf-schema#literal,xsd:http://www.semanticweb.org/myontology#string,literal,string,mismatch,NO,
DatatypeProperty,has hardware version,has hardware version,hashardwareversion,hashardwareversion,DatatypeProperty,DatatypeProperty,tp,,Water Meter,,watermeter,fp,xsd:http://www.w3.org/2000/01/rdf-schema#literal,xsd:http://www.semanticweb.org/myontology#string,literal,string,mismatch,NO,
DatatypeProperty,has manufacturer,has manufacturer,hasmanufacturer,hasmanufacturer,DatatypeProperty,DatatypeProperty,tp,,Water Meter,,watermeter,fp,,xsd:http://www.semanticweb.org/myontology#string,,string,fp,NO,
DatatypeProperty,has model,has model,hasmodel,hasmodel,DatatypeProperty,DatatypeProperty,tp,,Water Meter,,watermeter,fp,,xsd:http://www.semanticweb.org/myontology#string,,string,fp,NO,
DatatypeProperty,has version,has version,hasversion,hasversion,DatatypeProperty,DatatypeProperty,tp,,Water Meter,,watermeter,fp,xsd:http://www.w3.org/2000/01/rdf-schema#literal,xsd:http://www.semanticweb.org/myontology#string,literal,string,mismatch,NO,
ObjectProperty,has measurement,has measurement setting,hasmeasurement,hasmeasurementsetting,ObjectProperty,ObjectProperty,tp,,Temporal Setting,,temporalsetting,fp,,Water Meter,,watermeter,fp,NO,
ObjectProperty,has property,has physical property,hasproperty,hasphysicalproperty,ObjectProperty,ObjectProperty,tp,,Water,,water,fp,,Physical Property,,physicalproperty,fp,NO,
ObjectProperty,is measured by device,is measured by,ismeasuredbydevice,ismeasuredby,ObjectProperty,ObjectProperty,tp,,Water,,water,fp,,Water Meter,,watermeter,fp,NO,
ObjectProperty,measurement made by,measures,measurementmadeby,measures,ObjectProperty,ObjectProperty,tp,,Water Meter,,watermeter,fp,,Water,,water,fp,NO,
