prop_type,gold_term,pred_term,top_methods_used,scores_by_method,is_hard_match,agg_score,selected,reason
ObjectProperty,inheritFrom,inherits From,jaro_winkler+sequence_match+levenshtein,jaro_winkler=0.9833; levenshtein=0.9167; semantic=0.8897; sequence_match=0.9565,False,0.9522,True,selected
ObjectProperty,constraint,constrains,jaro_winkler+sequence_match+levenshtein,jaro_winkler=0.9600; levenshtein=0.9000; semantic=0.8376; sequence_match=0.9000,False,0.92,True,selected
ObjectProperty,operator,has Operator,semantic+sequence_match+jaro_winkler,jaro_winkler=0.8258; levenshtein=0.7273; semantic=0.9131; sequence_match=0.8421,False,0.8603,True,selected
ObjectProperty,consequence,is Consequence Of,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8505; levenshtein=0.7333; semantic=0.8490; sequence_match=0.8462,False,0.8485,True,selected
ObjectProperty,remedy,is Remedy For,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8485; levenshtein=0.5455; semantic=0.7881; sequence_match=0.7059,False,0.7808,True,selected
ObjectProperty,hasPolicy,contains Policy,semantic+sequence_match+jaro_winkler,jaro_winkler=0.6951; levenshtein=0.5714; semantic=0.8561; sequence_match=0.6957,False,0.7489,True,selected
ObjectProperty,constraint,has Constraint,semantic+sequence_match+jaro_winkler,jaro_winkler=0.8231; levenshtein=0.7692; semantic=0.9340; sequence_match=0.8696,False,0.8755,False,gold already mapped to 'constrains'
ObjectProperty,operator,is Operator Of,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8889; levenshtein=0.6667; semantic=0.8638; sequence_match=0.8000,False,0.8509,False,gold already mapped to 'has Operator'
ObjectProperty,inheritRelation,inherits From,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8700; levenshtein=0.5333; semantic=0.7653; sequence_match=0.6667,False,0.7673,False,pred already taken by 'inheritFrom'
ObjectProperty,remedy,is Remedied By,semantic+jaro_winkler+sequence_match,jaro_winkler=0.7500; levenshtein=0.5000; semantic=0.7835; sequence_match=0.6667,False,0.7334,False,gold already mapped to 'is Remedy For'
ObjectProperty,constraint,has Nested Constraint,semantic+sequence_match+jaro_winkler,jaro_winkler=0.5830; levenshtein=0.5263; semantic=0.7931; sequence_match=0.6897,False,0.6886,False,top-3 avg score 0.6886 < final_threshold 0.7
ObjectProperty,conflict,resolves Conflicts For,semantic+jaro_winkler+sequence_match,jaro_winkler=0.7167; levenshtein=0.4000; semantic=0.7585; sequence_match=0.5714,False,0.6822,False,top-3 avg score 0.6822 < final_threshold 0.7
