prop_type,gold_term,pred_term,top_methods_used,scores_by_method,is_hard_match,agg_score,selected,reason
ObjectProperty,has billing period,has billing period,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
ObjectProperty,has property,has physical property,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8612; levenshtein=0.5789; semantic=0.7714; sequence_match=0.7333,False,0.7886,True,selected
ObjectProperty,measurement made by,measures,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8574; levenshtein=0.4118; semantic=0.8178; sequence_match=0.5600,False,0.745,True,selected
ObjectProperty,has period,has billing period,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8461; levenshtein=0.5625; semantic=0.7566; sequence_match=0.7200,False,0.7742,False,pred already taken by 'has billing period'
ObjectProperty,has property,has chemical property,jaro_winkler+sequence_match+semantic,jaro_winkler=0.8593; levenshtein=0.5789; semantic=0.6113; sequence_match=0.7333,False,0.7347,False,gold already mapped to 'has physical property'
ObjectProperty,has measurement,measures,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6905; levenshtein=0.5000; semantic=0.8723; sequence_match=0.6364,False,0.733,False,pred already taken by 'measurement made by'
ObjectProperty,makes measurement,measures,semantic+jaro_winkler+sequence_match,jaro_winkler=0.7375; levenshtein=0.4375; semantic=0.8766; sequence_match=0.5833,False,0.7325,False,pred already taken by 'measurement made by'
ObjectProperty,has measurement,has asset,jaro_winkler+sequence_match+semantic,jaro_winkler=0.8208; levenshtein=0.5000; semantic=0.5502; sequence_match=0.6364,False,0.6691,False,top-3 avg score 0.6691 < final_threshold 0.7
ObjectProperty,has property,has asset,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6932; levenshtein=0.4545; semantic=0.7765; sequence_match=0.5263,False,0.6653,False,top-3 avg score 0.6653 < final_threshold 0.7
ObjectProperty,has property,has sensor type,jaro_winkler+sequence_match+semantic,jaro_winkler=0.8339; levenshtein=0.4615; semantic=0.5581; sequence_match=0.5833,False,0.6585,False,top-3 avg score 0.6585 < final_threshold 0.7
ObjectProperty,is measured by device,measures,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6481; levenshtein=0.3889; semantic=0.7826; sequence_match=0.5385,False,0.6564,False,top-3 avg score 0.6564 < final_threshold 0.7
ObjectProperty,hasGeometry,has sensor type,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8599; levenshtein=0.3846; semantic=0.5551; sequence_match=0.5000,False,0.6383,False,top-3 avg score 0.6383 < final_threshold 0.7
ObjectProperty,has duration,has temporal setting,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6987; levenshtein=0.3889; semantic=0.6119; sequence_match=0.5517,False,0.6208,False,top-3 avg score 0.6208 < final_threshold 0.7
ObjectProperty,hasGeometry,has asset,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6932; levenshtein=0.4545; semantic=0.5693; sequence_match=0.5263,False,0.5963,False,top-3 avg score 0.5963 < final_threshold 0.7
ObjectProperty,hasGeometry,has chemical property,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6899; levenshtein=0.3684; semantic=0.5381; sequence_match=0.5333,False,0.5871,False,top-3 avg score 0.5871 < final_threshold 0.7
ObjectProperty,has measurement,has sensor type,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6456; levenshtein=0.4286; semantic=0.5931; sequence_match=0.5185,False,0.5858,False,top-3 avg score 0.5858 < final_threshold 0.7
ObjectProperty,feature is measured by device,measures,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6483; levenshtein=0.2800; semantic=0.6792; sequence_match=0.4242,False,0.5839,False,top-3 avg score 0.5839 < final_threshold 0.7
ObjectProperty,has duration,has asset,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6932; levenshtein=0.3636; semantic=0.5290; sequence_match=0.5263,False,0.5828,False,top-3 avg score 0.5828 < final_threshold 0.7
ObjectProperty,has duration,has actuator type,jaro_winkler+sequence_match+semantic,jaro_winkler=0.6702; levenshtein=0.3333; semantic=0.5000; sequence_match=0.5385,False,0.5696,False,top-3 avg score 0.5696 < final_threshold 0.7
ObjectProperty,has phenomenon time,has temporal setting,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6618; levenshtein=0.3333; semantic=0.6391; sequence_match=0.4000,False,0.567,False,top-3 avg score 0.5670 < final_threshold 0.7
ObjectProperty,has measurement,has temporal setting,jaro_winkler+semantic+sequence_match,jaro_winkler=0.7956; levenshtein=0.3889; semantic=0.4617; sequence_match=0.4375,False,0.565,False,top-3 avg score 0.5650 < final_threshold 0.7
ObjectProperty,has period,has asset,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6481; levenshtein=0.3333; semantic=0.5691; sequence_match=0.4706,False,0.5626,False,top-3 avg score 0.5626 < final_threshold 0.7
ObjectProperty,has property,has actuator type,jaro_winkler+sequence_match+semantic,jaro_winkler=0.6534; levenshtein=0.4000; semantic=0.4891; sequence_match=0.5385,False,0.5603,False,top-3 avg score 0.5603 < final_threshold 0.7
ObjectProperty,has period,has temporal setting,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6270; levenshtein=0.3333; semantic=0.6083; sequence_match=0.4444,False,0.5599,False,top-3 avg score 0.5599 < final_threshold 0.7
ObjectProperty,has period,has physical property,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6678; levenshtein=0.3158; semantic=0.5721; sequence_match=0.4286,False,0.5561,False,top-3 avg score 0.5561 < final_threshold 0.7
ObjectProperty,has period,has sensor type,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6538; levenshtein=0.3846; semantic=0.5510; sequence_match=0.4545,False,0.5531,False,top-3 avg score 0.5531 < final_threshold 0.7
ObjectProperty,has duration,has billing period,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5960; levenshtein=0.3125; semantic=0.6173; sequence_match=0.4444,False,0.5526,False,top-3 avg score 0.5526 < final_threshold 0.7
ObjectProperty,hasGeometry,has temporal setting,jaro_winkler+sequence_match+semantic,jaro_winkler=0.6987; levenshtein=0.3889; semantic=0.4743; sequence_match=0.4828,False,0.5519,False,top-3 avg score 0.5519 < final_threshold 0.7
ObjectProperty,has phenomenon time,has sensor type,jaro_winkler+semantic+levenshtein,jaro_winkler=0.6537; levenshtein=0.4706; semantic=0.5080; sequence_match=0.4667,False,0.5441,False,top-3 avg score 0.5441 < final_threshold 0.7
ObjectProperty,has property,has billing period,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6402; levenshtein=0.3750; semantic=0.5440; sequence_match=0.4444,False,0.5429,False,top-3 avg score 0.5429 < final_threshold 0.7
ObjectProperty,hasGeometry,has physical property,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5730; levenshtein=0.3158; semantic=0.6535; sequence_match=0.4000,False,0.5422,False,top-3 avg score 0.5422 < final_threshold 0.7
ObjectProperty,has measurement,has physical property,jaro_winkler+semantic+levenshtein,jaro_winkler=0.6225; levenshtein=0.3684; semantic=0.6223; sequence_match=0.3636,False,0.5378,False,top-3 avg score 0.5378 < final_threshold 0.7
ObjectProperty,has property,has temporal setting,jaro_winkler+sequence_match+semantic,jaro_winkler=0.6406; levenshtein=0.3889; semantic=0.4725; sequence_match=0.4828,False,0.5319,False,top-3 avg score 0.5319 < final_threshold 0.7
ObjectProperty,has duration,has sensor type,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6297; levenshtein=0.3077; semantic=0.5477; sequence_match=0.4167,False,0.5314,False,top-3 avg score 0.5314 < final_threshold 0.7
ObjectProperty,has duration,measures,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6212; levenshtein=0.2727; semantic=0.5437; sequence_match=0.4211,False,0.5287,False,top-3 avg score 0.5287 < final_threshold 0.7
ObjectProperty,has period,has chemical property,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6866; levenshtein=0.3158; semantic=0.4686; sequence_match=0.4286,False,0.5279,False,top-3 avg score 0.5279 < final_threshold 0.7
ObjectProperty,has measurement,has chemical property,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6685; levenshtein=0.4211; semantic=0.4881; sequence_match=0.4242,False,0.5269,False,top-3 avg score 0.5269 < final_threshold 0.7
ObjectProperty,has billing period,has temporal setting,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6450; levenshtein=0.2778; semantic=0.5210; sequence_match=0.4118,False,0.5259,False,top-3 avg score 0.5259 < final_threshold 0.7
ObjectProperty,has key performance indicator,has temporal setting,jaro_winkler+sequence_match+semantic,jaro_winkler=0.6382; levenshtein=0.3846; semantic=0.4251; sequence_match=0.5000,False,0.5211,False,top-3 avg score 0.5211 < final_threshold 0.7
ObjectProperty,has phenomenon time,has physical property,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5936; levenshtein=0.3158; semantic=0.5697; sequence_match=0.3889,False,0.5174,False,top-3 avg score 0.5174 < final_threshold 0.7
ObjectProperty,has property,measures,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6212; levenshtein=0.2727; semantic=0.4948; sequence_match=0.4211,False,0.5123,False,top-3 avg score 0.5123 < final_threshold 0.7
ObjectProperty,has phenomenon time,has asset,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6397; levenshtein=0.2941; semantic=0.4910; sequence_match=0.4000,False,0.5102,False,top-3 avg score 0.5102 < final_threshold 0.7
ObjectProperty,hasGeometry,has actuator type,jaro_winkler+semantic+levenshtein,jaro_winkler=0.6534; levenshtein=0.4000; semantic=0.4691; sequence_match=0.3077,False,0.5075,False,top-3 avg score 0.5075 < final_threshold 0.7
ObjectProperty,has duration,has physical property,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6206; levenshtein=0.2632; semantic=0.5640; sequence_match=0.3333,False,0.506,False,top-3 avg score 0.5060 < final_threshold 0.7
ObjectProperty,has key performance indicator,has actuator type,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6279; levenshtein=0.2308; semantic=0.4499; sequence_match=0.4390,False,0.5056,False,top-3 avg score 0.5056 < final_threshold 0.7
ObjectProperty,hasGeometry,has billing period,jaro_winkler+sequence_match+semantic,jaro_winkler=0.6402; levenshtein=0.2500; semantic=0.4314; sequence_match=0.4444,False,0.5053,False,top-3 avg score 0.5053 < final_threshold 0.7
ObjectProperty,has phenomenon time,has chemical property,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6208; levenshtein=0.3158; semantic=0.4473; sequence_match=0.4444,False,0.5042,False,top-3 avg score 0.5042 < final_threshold 0.7
