prop_type,gold_term,pred_term,top_methods_used,scores_by_method,is_hard_match,agg_score,selected,reason
ObjectProperty,eats,eats,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
ObjectProperty,eaten-by,is eaten by,jaro_winkler+semantic+sequence_match,jaro_winkler=0.9259; levenshtein=0.7778; semantic=0.8829; sequence_match=0.8750,False,0.8946,True,selected
ObjectProperty,eaten-by,eats,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8083; levenshtein=0.4286; semantic=0.7531; sequence_match=0.5455,False,0.7023,False,gold already mapped to 'is eaten by'
ObjectProperty,eats,eats plant part,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8615; levenshtein=0.3077; semantic=0.6562; sequence_match=0.4706,False,0.6628,False,top-3 avg score 0.6628 < final_threshold 0.7
ObjectProperty,eaten-by,is eaten plant part by,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6640; levenshtein=0.3889; semantic=0.6991; sequence_match=0.5600,False,0.641,False,top-3 avg score 0.6410 < final_threshold 0.7
ObjectProperty,eats,is eaten by,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6481; levenshtein=0.3333; semantic=0.7598; sequence_match=0.4615,False,0.6232,False,top-3 avg score 0.6232 < final_threshold 0.7
ObjectProperty,eaten-by,is preyed on by,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5770; levenshtein=0.3333; semantic=0.7133; sequence_match=0.5263,False,0.6055,False,top-3 avg score 0.6055 < final_threshold 0.7
ObjectProperty,has-part,eats plant part,semantic+sequence_match+jaro_winkler,jaro_winkler=0.5663; levenshtein=0.4615; semantic=0.6221; sequence_match=0.6000,False,0.5961,False,top-3 avg score 0.5961 < final_threshold 0.7
ObjectProperty,is-part-of,is preyed on by,jaro_winkler+sequence_match+semantic,jaro_winkler=0.6806; levenshtein=0.3333; semantic=0.4811; sequence_match=0.5000,False,0.5539,False,top-3 avg score 0.5539 < final_threshold 0.7
ObjectProperty,eaten-by,eats plant part,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6264; levenshtein=0.3077; semantic=0.6120; sequence_match=0.4000,False,0.5461,False,top-3 avg score 0.5461 < final_threshold 0.7
ObjectProperty,eats,preys on,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5952; levenshtein=0.1429; semantic=0.6738; sequence_match=0.3636,False,0.5442,False,top-3 avg score 0.5442 < final_threshold 0.7
ObjectProperty,is-part-of,is eaten by,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6481; levenshtein=0.3333; semantic=0.4764; sequence_match=0.4706,False,0.5317,False,top-3 avg score 0.5317 < final_threshold 0.7
ObjectProperty,has-part,eats,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5952; levenshtein=0.1429; semantic=0.5361; sequence_match=0.3636,False,0.4983,False,top-3 avg score 0.4983 < final_threshold 0.7
ObjectProperty,is-proper-part-of,is eaten by,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5767; levenshtein=0.2143; semantic=0.4823; sequence_match=0.4348,False,0.4979,False,top-3 avg score 0.4979 < final_threshold 0.7
ObjectProperty,has-part,is eaten plant part by,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5307; levenshtein=0.2778; semantic=0.5528; sequence_match=0.4000,False,0.4945,False,top-3 avg score 0.4945 < final_threshold 0.7
ObjectProperty,eats,is eaten plant part by,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5741; levenshtein=0.1667; semantic=0.6263; sequence_match=0.2727,False,0.491,False,top-3 avg score 0.4910 < final_threshold 0.7
ObjectProperty,eaten-by,preys on,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5238; levenshtein=0.0000; semantic=0.6615; sequence_match=0.2857,False,0.4903,False,top-3 avg score 0.4903 < final_threshold 0.7
ObjectProperty,is-proper-part-of,eats plant part,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5366; levenshtein=0.2857; semantic=0.4884; sequence_match=0.4444,False,0.4898,False,top-3 avg score 0.4898 < final_threshold 0.7
ObjectProperty,is-part-of,is eaten plant part by,jaro_winkler+sequence_match+semantic,jaro_winkler=0.5676; levenshtein=0.3333; semantic=0.3982; sequence_match=0.4615,False,0.4758,False,top-3 avg score 0.4758 < final_threshold 0.7
ObjectProperty,is-proper-part-of,is eaten plant part by,jaro_winkler+sequence_match+semantic,jaro_winkler=0.5470; levenshtein=0.3889; semantic=0.4234; sequence_match=0.4375,False,0.4693,False,top-3 avg score 0.4693 < final_threshold 0.7
ObjectProperty,is-proper-part-of,is preyed on by,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5873; levenshtein=0.3571; semantic=0.4245; sequence_match=0.3846,False,0.4655,False,top-3 avg score 0.4655 < final_threshold 0.7
ObjectProperty,is-part-of,eats plant part,semantic+sequence_match+jaro_winkler,jaro_winkler=0.4359; levenshtein=0.3077; semantic=0.4829; sequence_match=0.4762,False,0.465,False,top-3 avg score 0.4650 < final_threshold 0.7
ObjectProperty,has-part,is preyed on by,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5595; levenshtein=0.0833; semantic=0.5001; sequence_match=0.3158,False,0.4585,False,top-3 avg score 0.4585 < final_threshold 0.7
ObjectProperty,is-part-of,preys on,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6071; levenshtein=0.1250; semantic=0.4502; sequence_match=0.2667,False,0.4413,False,top-3 avg score 0.4413 < final_threshold 0.7
ObjectProperty,is-part-of,eats,jaro_winkler+semantic+levenshtein,jaro_winkler=0.5972; levenshtein=0.2500; semantic=0.4611; sequence_match=0.1667,False,0.4361,False,top-3 avg score 0.4361 < final_threshold 0.7
ObjectProperty,is-proper-part-of,preys on,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5571; levenshtein=0.2857; semantic=0.4336; sequence_match=0.2857,False,0.4255,False,top-3 avg score 0.4255 < final_threshold 0.7
ObjectProperty,has-part,is eaten by,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4762; levenshtein=0.1111; semantic=0.4822; sequence_match=0.2500,False,0.4028,False,top-3 avg score 0.4028 < final_threshold 0.7
ObjectProperty,has-part,preys on,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4286; levenshtein=0.0000; semantic=0.5407; sequence_match=0.1429,False,0.3707,False,top-3 avg score 0.3707 < final_threshold 0.7
ObjectProperty,eats,is preyed on by,semantic+jaro_winkler+sequence_match,jaro_winkler=0.3889; levenshtein=0.0833; semantic=0.5758; sequence_match=0.1250,False,0.3632,False,top-3 avg score 0.3632 < final_threshold 0.7
ObjectProperty,is-proper-part-of,eats,semantic+jaro_winkler+levenshtein,jaro_winkler=0.3810; levenshtein=0.2143; semantic=0.4414; sequence_match=0.1111,False,0.3455,False,top-3 avg score 0.3455 < final_threshold 0.7
