Gold_term,Pre_term,Method,Score
release date,release date,hard_match,1.0
start time,IAP time,top3_avg(jaro_winkler+semantic+sequence_match),0.7108
username,has username,top3_avg(jaro_winkler+semantic+sequence_match),0.8593
has achievement,has achievement,hard_match,1.0
has game genre,has genre,top3_avg(jaro_winkler+semantic+sequence_match),0.8484
has item,has item,hard_match,1.0
has playing area,has playing area,hard_match,1.0
lives in,lives in,hard_match,1.0
owns achievement,contains achievement,top3_avg(jaro_winkler+semantic+sequence_match),0.7841
plays game,plays game,hard_match,1.0
