side,dimension,sub,sup,status,raw_pred_sub,raw_pred_sup
gold,class,AssetCollection,Asset,FN,,
gold,class,Duty,Rule,FN,,
gold,class,Permission,Rule,FN,,
gold,class,Prohibition,Rule,FN,,
pred,class,LogicalConstraint,Constraint,FP,,
pred,class,,,untranslated,Aggregation,Permission
pred,class,,,untranslated,Aggregation,TransferRight
pred,class,,,untranslated,ConstraintSet,Constraint
pred,class,,,untranslated,Disaggregation,Permission
pred,class,,,untranslated,Disaggregation,TransferRight
pred,class,,,untranslated,ExclusivePermission,Permission
pred,class,,,untranslated,TransferRight,Permission
gold,property,and,operand,FN,,
gold,property,andSequence,operand,FN,,
gold,property,assignee,function,FN,,
gold,property,assigner,function,FN,,
gold,property,consequence,failure,FN,,
gold,property,or,operand,FN,,
gold,property,remedy,failure,FN,,
gold,property,target,relation,FN,,
gold,property,xone,operand,FN,,
