prop_type,gold_term,pred_term,top_methods_used,scores_by_method,is_hard_match,agg_score,selected,reason
ObjectProperty,has license,has license,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
ObjectProperty,has version,has version,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
ObjectProperty,has output,has output format,jaro_winkler+semantic+sequence_match,jaro_winkler=0.9200; levenshtein=0.6000; semantic=0.8329; sequence_match=0.7500,False,0.8343,True,selected
ObjectProperty,has input,has valid input,jaro_winkler+semantic+sequence_match,jaro_winkler=0.9103; levenshtein=0.6154; semantic=0.8144; sequence_match=0.7619,False,0.8289,True,selected
ObjectProperty,has format specification,has format,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8818; levenshtein=0.4091; semantic=0.8626; sequence_match=0.5806,False,0.775,True,selected
ObjectProperty,is developed by,has developer,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8141; levenshtein=0.6154; semantic=0.7699; sequence_match=0.7200,False,0.768,True,selected
ObjectProperty,implements,implemented in language,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8657; levenshtein=0.4286; semantic=0.7396; sequence_match=0.5806,False,0.7286,True,selected
ObjectProperty,uses software,has software type,jaro_winkler+semantic+sequence_match,jaro_winkler=0.7833; levenshtein=0.5333; semantic=0.7271; sequence_match=0.6667,False,0.7257,True,selected
ObjectProperty,uses platform,uses algorithm,jaro_winkler+sequence_match+semantic,jaro_winkler=0.8805; levenshtein=0.4615; semantic=0.6325; sequence_match=0.6400,False,0.7177,True,selected
ObjectProperty,has function,has modification,jaro_winkler+sequence_match+semantic,jaro_winkler=0.8124; levenshtein=0.5333; semantic=0.6087; sequence_match=0.6923,False,0.7045,True,selected
ObjectProperty,has input,has input format,jaro_winkler+semantic+sequence_match,jaro_winkler=0.9143; levenshtein=0.5714; semantic=0.7945; sequence_match=0.7273,False,0.812,False,gold already mapped to 'has valid input'
ObjectProperty,is developed by,develops,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8045; levenshtein=0.5385; semantic=0.7540; sequence_match=0.6667,False,0.7417,False,gold already mapped to 'has developer'
ObjectProperty,has format specification,has modification,jaro_winkler+sequence_match+levenshtein,jaro_winkler=0.8496; levenshtein=0.5909; semantic=0.5174; sequence_match=0.7027,False,0.7144,False,gold already mapped to 'has format'
ObjectProperty,has declared status,has maintenance status,jaro_winkler+sequence_match+semantic,jaro_winkler=0.8096; levenshtein=0.5000; semantic=0.6414; sequence_match=0.6486,False,0.6999,False,top-3 avg score 0.6999 < final_threshold 0.7
ObjectProperty,has interface,has input format,jaro_winkler+sequence_match+semantic,jaro_winkler=0.8563; levenshtein=0.5000; semantic=0.5949; sequence_match=0.6154,False,0.6889,False,top-3 avg score 0.6889 < final_threshold 0.7
ObjectProperty,has clause,has license,jaro_winkler+sequence_match+semantic,jaro_winkler=0.8115; levenshtein=0.5000; semantic=0.6169; sequence_match=0.6316,False,0.6866,False,top-3 avg score 0.6866 < final_threshold 0.7
ObjectProperty,has version,version has feature,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6961; levenshtein=0.2353; semantic=0.8317; sequence_match=0.5185,False,0.6821,False,top-3 avg score 0.6821 < final_threshold 0.7
ObjectProperty,has specified data input,has valid input,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6991; levenshtein=0.4762; semantic=0.7542; sequence_match=0.5882,False,0.6805,False,top-3 avg score 0.6805 < final_threshold 0.7
