PropertyType,GoldPredicate,PredPredicate,GoldPredicateNorm,PredPredicateNorm,GoldType,PredType,TypeVerdict,GoldDomain,PredDomain,GoldDomainNorm,PredDomainNorm,DomainStatus,GoldRange,PredRange,GoldRangeNorm,PredRangeNorm,RangeStatus,FullMatch,Note
ObjectProperty,action,has action,action,hasaction,ObjectProperty,ObjectProperty,tp,,Permission,,permission,fp,Action,Action,action,action,tp,NO,
ObjectProperty,andSequence,has sequencing,andsequence,hassequencing,ObjectProperty,ObjectProperty,tp,,Policy,,policy,fp,,Sequencing Policy,,sequencingpolicy,fp,NO,
ObjectProperty,conflict,has conflict resolution,conflict,hasconflictresolution,ObjectProperty,ObjectProperty,tp,Policy,Policy,policy,policy,tp,ConflictTerm,Conflict,conflictterm,conflict,tp,YES,
ObjectProperty,consequence,has consequence,consequence,hasconsequence,ObjectProperty,ObjectProperty,tp,Duty,Duty,duty,duty,tp,Duty,Consequence,duty,consequence,mismatch,NO,
ObjectProperty,constraint,has constraint,constraint,hasconstraint,ObjectProperty,ObjectProperty,tp,,Rule,,rule,fp,,Constraint,,constraint,fp,NO,
ObjectProperty,duty,is duty of,duty,isdutyof,ObjectProperty,ObjectProperty,tp,Permission,Duty,permission,duty,mismatch,Duty,Rule,duty,rule,mismatch,NO,
ObjectProperty,function,has function,function,hasfunction,ObjectProperty,ObjectProperty,tp,,Party,,party,fp,Party,Function,party,function,mismatch,NO,
ObjectProperty,inheritRelation,is inheritance of,inheritrelation,isinheritanceof,ObjectProperty,ObjectProperty,tp,,Inheritance,,inheritance,fp,,Policy,,policy,fp,NO,
ObjectProperty,operator,has operator,operator,hasoperator,ObjectProperty,ObjectProperty,tp,Constraint,Constraint,constraint,constraint,tp,Operator,Operator,operator,operator,tp,YES,
ObjectProperty,partOf,is party of,partof,ispartyof,ObjectProperty,ObjectProperty,tp,,Party,,party,fp,,Policy,,policy,fp,NO,
ObjectProperty,permission,has permission,permission,haspermission,ObjectProperty,ObjectProperty,tp,Policy,Rule,policy,rule,mismatch,Permission,Permission,permission,permission,tp,NO,
ObjectProperty,prohibition,has prohibition,prohibition,hasprohibition,ObjectProperty,ObjectProperty,tp,Policy,Rule,policy,rule,mismatch,Prohibition,Prohibition,prohibition,prohibition,tp,NO,
ObjectProperty,remedy,has remedy,remedy,hasremedy,ObjectProperty,ObjectProperty,tp,Prohibition,Prohibition,prohibition,prohibition,tp,Duty,Remedy,duty,remedy,mismatch,NO,
ObjectProperty,target,has target,target,hastarget,ObjectProperty,ObjectProperty,tp,,Permission,,permission,fp,Asset,Asset,asset,asset,tp,NO,
