gold_term,pred_term,top_methods_used,scores_by_method,is_hard_match,agg_score,selected,reason
Player,Player,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
playing area,Player,jaro_winkler+sequence_match+semantic,jaro_winkler=0.8576; levenshtein=0.4545; semantic=0.5741; sequence_match=0.5882,False,0.6733,False,pred already taken by 'Player' (higher averaged score)
special play style,Player,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6486; levenshtein=0.2500; semantic=0.5981; sequence_match=0.4545,False,0.5671,False,top-3 avg score 0.5671 < final_threshold 0.6
Game,Player,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6111; levenshtein=0.3333; semantic=0.6809; sequence_match=0.4000,False,0.564,False,top-3 avg score 0.5640 < final_threshold 0.6
Item,dateTime,jaro_winkler+sequence_match+semantic,jaro_winkler=0.7083; levenshtein=0.3750; semantic=0.4821; sequence_match=0.5000,False,0.5635,False,top-3 avg score 0.5635 < final_threshold 0.6
Leaderboard,Player,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5934; levenshtein=0.2727; semantic=0.5688; sequence_match=0.4706,False,0.5443,False,top-3 avg score 0.5443 < final_threshold 0.6
Paragon,Player,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5397; levenshtein=0.2857; semantic=0.5729; sequence_match=0.4615,False,0.5247,False,top-3 avg score 0.5247 < final_threshold 0.6
Game,dateTime,jaro_winkler+sequence_match+semantic,jaro_winkler=0.5833; levenshtein=0.3750; semantic=0.4841; sequence_match=0.5000,False,0.5225,False,top-3 avg score 0.5225 < final_threshold 0.6
Completion,Player,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6000; levenshtein=0.2000; semantic=0.5281; sequence_match=0.3750,False,0.501,False,top-3 avg score 0.5010 < final_threshold 0.6
Achievement,dateTime,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5598; levenshtein=0.2727; semantic=0.4951; sequence_match=0.4211,False,0.492,False,top-3 avg score 0.4920 < final_threshold 0.6
Character,Player,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5000; levenshtein=0.3333; semantic=0.5504; sequence_match=0.4000,False,0.4835,False,top-3 avg score 0.4835 < final_threshold 0.6
Feature,dateTime,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6071; levenshtein=0.2500; semantic=0.4422; sequence_match=0.4000,False,0.4831,False,top-3 avg score 0.4831 < final_threshold 0.6
game product,Player,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5934; levenshtein=0.1818; semantic=0.4812; sequence_match=0.3529,False,0.4758,False,top-3 avg score 0.4758 < final_threshold 0.6
Veteran,Player,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5397; levenshtein=0.1429; semantic=0.5739; sequence_match=0.3077,False,0.4738,False,top-3 avg score 0.4738 < final_threshold 0.6
Completion,dateTime,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5500; levenshtein=0.3000; semantic=0.5087; sequence_match=0.3333,False,0.464,False,top-3 avg score 0.4640 < final_threshold 0.6
Tutorial,dateTime,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5833; levenshtein=0.2500; semantic=0.4162; sequence_match=0.3750,False,0.4582,False,top-3 avg score 0.4582 < final_threshold 0.6
Feature,Player,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5317; levenshtein=0.2857; semantic=0.5233; sequence_match=0.3077,False,0.4543,False,top-3 avg score 0.4543 < final_threshold 0.6
hard mode,Player,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5139; levenshtein=0.0000; semantic=0.5571; sequence_match=0.2857,False,0.4522,False,top-3 avg score 0.4522 < final_threshold 0.6
hard mode,dateTime,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5833; levenshtein=0.2500; semantic=0.3983; sequence_match=0.3750,False,0.4522,False,top-3 avg score 0.4522 < final_threshold 0.6
Loyalty,Player,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5317; levenshtein=0.1429; semantic=0.5078; sequence_match=0.3077,False,0.4491,False,top-3 avg score 0.4491 < final_threshold 0.6
Character,dateTime,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5694; levenshtein=0.1111; semantic=0.3995; sequence_match=0.3529,False,0.4406,False,top-3 avg score 0.4406 < final_threshold 0.6
Achievement,Player,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5051; levenshtein=0.0909; semantic=0.5810; sequence_match=0.2353,False,0.4404,False,top-3 avg score 0.4404 < final_threshold 0.6
Genre,dateTime,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5500; levenshtein=0.2500; semantic=0.4428; sequence_match=0.3077,False,0.4335,False,top-3 avg score 0.4335 < final_threshold 0.6
Genre,Player,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4111; levenshtein=0.1667; semantic=0.5104; sequence_match=0.3636,False,0.4284,False,top-3 avg score 0.4284 < final_threshold 0.6
Collection,Player,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5111; levenshtein=0.1000; semantic=0.5168; sequence_match=0.2500,False,0.426,False,top-3 avg score 0.4260 < final_threshold 0.6
Session,dateTime,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5119; levenshtein=0.1250; semantic=0.4933; sequence_match=0.2667,False,0.4239,False,top-3 avg score 0.4239 < final_threshold 0.6
playing area,dateTime,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5492; levenshtein=0.1818; semantic=0.3846; sequence_match=0.3158,False,0.4165,False,top-3 avg score 0.4165 < final_threshold 0.6
