PropertyType,GoldPredicate,PredPredicate,GoldPredicateNorm,PredPredicateNorm,GoldType,PredType,TypeVerdict,GoldDomain,PredDomain,GoldDomainNorm,PredDomainNorm,DomainStatus,GoldRange,PredRange,GoldRangeNorm,PredRangeNorm,RangeStatus,FullMatch,Note
DatatypeProperty,has fabrication number,has fabrication number,hasfabricationnumber,hasfabricationnumber,DatatypeProperty,DatatypeProperty,tp,,Water Meter,,watermeter,fp,xsd:http://www.w3.org/2000/01/rdf-schema#literal,xsd:string,literal,xsdstring,mismatch,NO,
DatatypeProperty,has firmware version,has firmware version,hasfirmwareversion,hasfirmwareversion,DatatypeProperty,DatatypeProperty,tp,,Water Meter,,watermeter,fp,xsd:http://www.w3.org/2000/01/rdf-schema#literal,xsd:string,literal,xsdstring,mismatch,NO,
DatatypeProperty,has hardware version,has hardware version number,hashardwareversion,hashardwareversionnumber,DatatypeProperty,DatatypeProperty,tp,,Water Meter,,watermeter,fp,xsd:http://www.w3.org/2000/01/rdf-schema#literal,xsd:string,literal,xsdstring,mismatch,NO,
DatatypeProperty,has manufacturer,has manufacturer,hasmanufacturer,hasmanufacturer,DatatypeProperty,DatatypeProperty,tp,,Water Meter,,watermeter,fp,,xsd:string,,xsdstring,fp,NO,
DatatypeProperty,has model,has model,hasmodel,hasmodel,DatatypeProperty,DatatypeProperty,tp,,Water Meter,,watermeter,fp,,xsd:string,,xsdstring,fp,NO,
DatatypeProperty,has start timestamp,has start date,hasstarttimestamp,hasstartdate,DatatypeProperty,DatatypeProperty,tp,Tariff,Tariff,tariff,tariff,tp,xsd:dateTime,xsd:dateTime,xsddatetime,xsddatetime,tp,YES,
DatatypeProperty,has version,has version,hasversion,hasversion,DatatypeProperty,DatatypeProperty,tp,,Water Meter,,watermeter,fp,xsd:http://www.w3.org/2000/01/rdf-schema#literal,xsd:string,literal,xsdstring,mismatch,NO,
ObjectProperty,has billing period,has billing period,hasbillingperiod,hasbillingperiod,ObjectProperty,ObjectProperty,tp,Tariff,Water Meter,tariff,watermeter,mismatch,Temporal duration,Billing Period,temporalduration,billingperiod,mismatch,NO,
ObjectProperty,has duration,has location,hasduration,haslocation,ObjectProperty,ObjectProperty,tp,Tariff,Water Indicator,tariff,waterindicator,mismatch,Temporal duration,City,temporalduration,city,mismatch,NO,
ObjectProperty,has period,has tariff period,hasperiod,hastariffperiod,ObjectProperty,ObjectProperty,tp,Tariff,Water Meter,tariff,watermeter,mismatch,Temporal duration,Tariff,temporalduration,tariff,mismatch,NO,
ObjectProperty,has property,has physical property,hasproperty,hasphysicalproperty,ObjectProperty,ObjectProperty,tp,,Water,,water,fp,,Physical Property,,physicalproperty,fp,NO,
ObjectProperty,makes measurement,provides measurement,makesmeasurement,providesmeasurement,ObjectProperty,ObjectProperty,tp,,Water Meter,,watermeter,fp,,Measurement,,measurement,fp,NO,
ObjectProperty,measurement made by,measures,measurementmadeby,measures,ObjectProperty,ObjectProperty,tp,,Water Meter,,watermeter,fp,,Water Distribution Infrastructure,,waterdistributioninfrastructure,fp,NO,
