Gold_term,Pre_term,Method,Score
eventtime,hastime,top3_avg(semantic+jaro_winkler+sequence_match),0.6234
hasachievement,hasachievement,hard_match,1.0000
hasgamegenre,hasgenre,top3_avg(jaro_winkler+semantic+sequence_match),0.8532
hasitem,hasitem,hard_match,1.0000
hasplayingarea,hasplayingarea,hard_match,1.0000
isfriendwithplayer,isfriendof,top3_avg(jaro_winkler+semantic+sequence_match),0.7403
livesin,livesin,hard_match,1.0000
playsgame,playsgame,hard_match,1.0000
releasedate,releasedate,hard_match,1.0000
username,hasusername,top3_avg(semantic+sequence_match+jaro_winkler),0.8581
