prop_type,gold_term,pred_term,top_methods_used,scores_by_method,is_hard_match,agg_score,selected,reason
ObjectProperty,has billing period,has billing period,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
ObjectProperty,has measurement,is measurement of,semantic+jaro_winkler+sequence_match,jaro_winkler=0.8302; levenshtein=0.7333; semantic=0.8585; sequence_match=0.8276,False,0.8387,True,selected
ObjectProperty,makes measurement,provides measurement,semantic+jaro_winkler+sequence_match,jaro_winkler=0.8066; levenshtein=0.6842; semantic=0.9201; sequence_match=0.7429,False,0.8232,True,selected
ObjectProperty,has property,has physical property,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8612; levenshtein=0.5789; semantic=0.7714; sequence_match=0.7333,False,0.7886,True,selected
ObjectProperty,is measured by device,is measured property of,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8367; levenshtein=0.5500; semantic=0.7747; sequence_match=0.5789,False,0.7301,True,selected
ObjectProperty,has billing period,is billing period of,semantic+sequence_match+jaro_winkler,jaro_winkler=0.7805; levenshtein=0.7647; semantic=0.9041; sequence_match=0.8485,False,0.8444,False,gold already mapped to 'has billing period'
ObjectProperty,has measurement,has measured property,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8977; levenshtein=0.6316; semantic=0.8691; sequence_match=0.7273,False,0.8314,False,gold already mapped to 'is measurement of'
ObjectProperty,has property,has measured property,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8593; levenshtein=0.5789; semantic=0.7548; sequence_match=0.7333,False,0.7825,False,gold already mapped to 'has physical property'
ObjectProperty,makes measurement,is measurement of,semantic+sequence_match+jaro_winkler,jaro_winkler=0.7389; levenshtein=0.6250; semantic=0.8308; sequence_match=0.7742,False,0.7813,False,gold already mapped to 'provides measurement'
ObjectProperty,has period,has billing period,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8461; levenshtein=0.5625; semantic=0.7566; sequence_match=0.7200,False,0.7742,False,pred already taken by 'has billing period'
ObjectProperty,has measurement,provides measurement,semantic+sequence_match+jaro_winkler,jaro_winkler=0.6907; levenshtein=0.6316; semantic=0.8976; sequence_match=0.7273,False,0.7718,False,gold already mapped to 'is measurement of'
ObjectProperty,is measured by device,is measurement of,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8444; levenshtein=0.5556; semantic=0.8088; sequence_match=0.6061,False,0.7531,False,pred already taken by 'has measurement'
