PropertyType,GoldPredicate,PredPredicate,GoldPredicateNorm,PredPredicateNorm,GoldType,PredType,TypeVerdict,GoldDomain,PredDomain,GoldDomainNorm,PredDomainNorm,DomainStatus,GoldRange,PredRange,GoldRangeNorm,PredRangeNorm,RangeStatus,FullMatch,Note
ObjectProperty,andSequence,has sequence,andsequence,hassequence,ObjectProperty,ObjectProperty,tp,,Policy,,policy,fp,,Sequence,,sequence,fp,NO,
ObjectProperty,consequence,has consequence duty,consequence,hasconsequenceduty,ObjectProperty,ObjectProperty,tp,Duty,Duty,duty,duty,tp,Duty,Duty,duty,duty,tp,YES,
ObjectProperty,constraint,has constraint,constraint,hasconstraint,ObjectProperty,ObjectProperty,tp,,Rule,,rule,fp,,Constraint,,constraint,fp,NO,
ObjectProperty,duty,has duty,duty,hasduty,ObjectProperty,ObjectProperty,tp,Permission,Policy,permission,policy,mismatch,Duty,Duty,duty,duty,tp,NO,
ObjectProperty,failure,has failure rule,failure,hasfailurerule,ObjectProperty,ObjectProperty,tp,Rule,Rule,rule,rule,tp,Rule,Rule,rule,rule,tp,YES,
ObjectProperty,hasPolicy,has policy,haspolicy,haspolicy,ObjectProperty,ObjectProperty,tp,Asset,Asset,asset,asset,tp,Policy,Policy,policy,policy,tp,YES,
ObjectProperty,inheritFrom,inherits from,inheritfrom,inheritsfrom,ObjectProperty,ObjectProperty,tp,Policy,Rule,policy,rule,mismatch,Policy,Rule,policy,rule,mismatch,NO,
ObjectProperty,permission,has permission,permission,haspermission,ObjectProperty,ObjectProperty,tp,Policy,Policy,policy,policy,tp,Permission,Permission,permission,permission,tp,YES,
ObjectProperty,prohibition,has prohibition,prohibition,hasprohibition,ObjectProperty,ObjectProperty,tp,Policy,Policy,policy,policy,tp,Prohibition,Prohibition,prohibition,prohibition,tp,YES,
ObjectProperty,remedy,has remedy duty,remedy,hasremedyduty,ObjectProperty,ObjectProperty,tp,Prohibition,Prohibition,prohibition,prohibition,tp,Duty,Duty,duty,duty,tp,YES,
