Gold_term,Pre_term,Method,Score
release date,has Release Date,top3_avg(jaro_winkler+semantic+sequence_match),0.8759
username,has Username,top3_avg(jaro_winkler+semantic+sequence_match),0.8593
has achievement,has Achievement,hard_match,1.0
has game genre,has Genre,top3_avg(jaro_winkler+semantic+sequence_match),0.8484
has item,has Item,hard_match,1.0
has playing area,has Playing Area,hard_match,1.0
is achievement in game,has Achievement Type,top3_avg(jaro_winkler+semantic+sequence_match),0.7017
lives in,lives In,hard_match,1.0
owns achievement,defines Achievement,top3_avg(jaro_winkler+semantic+sequence_match),0.7495
plays game,plays With,top3_avg(jaro_winkler+semantic+sequence_match),0.7237
