id,source,term_type,axiom_type,term,dl,status,note
AX1-gold,gold,Class,Declaration,.csv,Declaration: .csv (Class),Skip,subject '.csv' not in alignment table
AX1-pred,pred,-,-,-,(subject not in alignment table),-,-
AX2-gold,gold,Class,Declaration,CEL ASCII format,Declaration: CEL ASCII format (Class),Skip,subject 'CEL ASCII format' not in alignment table
AX2-pred,pred,-,-,-,(subject not in alignment table),-,-
AX3-gold,gold,Class,Declaration,CEL binary format,Declaration: CEL binary format (Class),Skip,subject 'CEL binary format' not in alignment table
AX3-pred,pred,-,-,-,(subject not in alignment table),-,-
AX4-gold,gold,Class,Declaration,Development status,Declaration: Development status (Class),TP,matched pred AX3
AX4-pred,pred,Class,Declaration,Developer,Declaration: Developer (Class),-,-
AX5-gold,gold,Class,Declaration,Free,Declaration: Free (Class),Skip,subject 'Free' not in alignment table
AX5-pred,pred,-,-,-,(subject not in alignment table),-,-
AX6-gold,gold,Class,SubClassOf,Free,Free ⊑ Purchase cost,Skip,subject 'Free' not in alignment table
AX6-pred,pred,-,-,-,(subject not in alignment table),-,-
AX7-gold,gold,Class,Declaration,GIF,Declaration: GIF (Class),Skip,subject 'GIF' not in alignment table
AX7-pred,pred,-,-,-,(subject not in alignment table),-,-
AX8-gold,gold,Class,Declaration,Maintained,Declaration: Maintained (Class),Skip,subject 'Maintained' not in alignment table
AX8-pred,pred,-,-,-,(subject not in alignment table),-,-
AX9-gold,gold,Class,SubClassOf,Maintained,Maintained ⊑ Development status,Skip,subject 'Maintained' not in alignment table
AX9-pred,pred,-,-,-,(subject not in alignment table),-,-
AX10-gold,gold,Class,Declaration,Not Free,Declaration: Not Free (Class),Skip,subject 'Not Free' not in alignment table
AX10-pred,pred,-,-,-,(subject not in alignment table),-,-
AX11-gold,gold,Class,SubClassOf,Not Free,Not Free ⊑ Purchase cost,Skip,subject 'Not Free' not in alignment table
AX11-pred,pred,-,-,-,(subject not in alignment table),-,-
AX12-gold,gold,Class,Declaration,Open source software license,Declaration: Open source software license (Class),Skip,subject 'Open source software license' not in alignment table
AX12-pred,pred,-,-,-,(subject not in alignment table),-,-
AX13-gold,gold,Class,EquivalentClasses,Open source software license,Open source software license ≡ ∃has clause.Source code available,Skip,subject 'Open source software license' not in alignment table
AX13-pred,pred,-,-,-,(subject not in alignment table),-,-
AX14-gold,gold,Class,SubClassOf,Open source software license,Open source software license ⊑ licence,Skip,subject 'Open source software license' not in alignment table
AX14-pred,pred,-,-,-,(subject not in alignment table),-,-
AX15-gold,gold,Class,SubClassOf,Open source software license,Open source software license ⊑ ∃has clause.Source code available,Skip,subject 'Open source software license' not in alignment table
AX15-pred,pred,-,-,-,(subject not in alignment table),-,-
AX16-gold,gold,Class,Declaration,PROcess,Declaration: PROcess (Class),Skip,subject 'PROcess' not in alignment table
AX16-pred,pred,-,-,-,(subject not in alignment table),-,-
AX17-gold,gold,Class,Declaration,Purchase cost,Declaration: Purchase cost (Class),Skip,subject 'Purchase cost' not in alignment table
AX17-pred,pred,-,-,-,(subject not in alignment table),-,-
AX18-gold,gold,Class,Declaration,Source code available,Declaration: Source code available (Class),Skip,subject 'Source code available' not in alignment table
AX18-pred,pred,-,-,-,(subject not in alignment table),-,-
AX19-gold,gold,Class,Declaration,XML,Declaration: XML (Class),Skip,subject 'XML' not in alignment table
AX19-pred,pred,-,-,-,(subject not in alignment table),-,-
AX20-gold,gold,Class,SubClassOf,XML,XML ⊑ data format specification,Skip,subject 'XML' not in alignment table
AX20-pred,pred,-,-,-,(subject not in alignment table),-,-
AX21-gold,gold,Class,Declaration,algorithm,Declaration: algorithm (Class),TP,matched pred AX1
AX21-pred,pred,Class,Declaration,Algorithm,Declaration: Algorithm (Class),-,-
AX22-gold,gold,Class,Declaration,application programming interface,Declaration: application programming interface (Class),Skip,subject 'application programming interface' not in alignment table
AX22-pred,pred,-,-,-,(subject not in alignment table),-,-
AX23-gold,gold,Class,SubClassOf,application programming interface,application programming interface ⊑ software interface,Skip,subject 'application programming interface' not in alignment table
AX23-pred,pred,-,-,-,(subject not in alignment table),-,-
AX24-gold,gold,Class,Declaration,data format specification,Declaration: data format specification (Class),TP,matched pred AX2
AX24-pred,pred,Class,Declaration,Data Format,Declaration: Data Format (Class),-,-
AX25-gold,gold,Class,Declaration,data item,Declaration: data item (Class),Skip,subject 'data item' not in alignment table
AX25-pred,pred,-,-,-,(subject not in alignment table),-,-
AX26-gold,gold,Class,SubClassOf,data item,data item ⊑ ∃is encoded in.data format specification,Skip,subject 'data item' not in alignment table
AX26-pred,pred,-,-,-,(subject not in alignment table),-,-
AX27-gold,gold,Class,Declaration,desktop graphical user interface,Declaration: desktop graphical user interface (Class),Skip,subject 'desktop graphical user interface' not in alignment table
AX27-pred,pred,-,-,-,(subject not in alignment table),-,-
AX28-gold,gold,Class,Declaration,file rendering,Declaration: file rendering (Class),Skip,subject 'file rendering' not in alignment table
