prop_type,gold_term,pred_term,top_methods_used,scores_by_method,is_hard_match,agg_score,selected,reason
ObjectProperty,has achievement,has achievement,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
ObjectProperty,has item,has item,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
ObjectProperty,has playing area,has playing area,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
ObjectProperty,owns item,owns item,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
ObjectProperty,plays game,plays game,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
ObjectProperty,is achievement in game,has all achievements in game,sequence_match+semantic+jaro_winkler,jaro_winkler=0.7510; levenshtein=0.7500; semantic=0.7793; sequence_match=0.8372,False,0.7892,True,selected
ObjectProperty,owns achievement,game has achievement,semantic+sequence_match+jaro_winkler,jaro_winkler=0.6833; levenshtein=0.6667; semantic=0.7882; sequence_match=0.7273,False,0.7329,True,selected
ObjectProperty,owns achievement,has achievement,semantic+jaro_winkler+sequence_match,jaro_winkler=0.8579; levenshtein=0.8000; semantic=0.8760; sequence_match=0.8276,False,0.8538,False,pred already taken by 'has achievement'
ObjectProperty,has achievement,game has achievement,sequence_match+semantic+jaro_winkler,jaro_winkler=0.8069; levenshtein=0.7778; semantic=0.8383; sequence_match=0.8750,False,0.8401,False,gold already mapped to 'has achievement'
ObjectProperty,has achievement,has all achievements in game,jaro_winkler+semantic+sequence_match,jaro_winkler=0.9167; levenshtein=0.5833; semantic=0.7437; sequence_match=0.7368,False,0.7991,False,gold already mapped to 'has achievement'
ObjectProperty,is achievement in game,has achievement,jaro_winkler+semantic+sequence_match,jaro_winkler=0.7740; levenshtein=0.5789; semantic=0.7680; sequence_match=0.7273,False,0.7564,False,gold already mapped to 'has all achievements in game'
ObjectProperty,is achievement in game,game has achievement,semantic+jaro_winkler+sequence_match,jaro_winkler=0.7192; levenshtein=0.3684; semantic=0.8788; sequence_match=0.6486,False,0.7489,False,gold already mapped to 'has all achievements in game'
ObjectProperty,has item,owns item,semantic+jaro_winkler+sequence_match,jaro_winkler=0.7798; levenshtein=0.6250; semantic=0.7878; sequence_match=0.6667,False,0.7448,False,gold already mapped to 'has item'
ObjectProperty,owns item,has item,semantic+jaro_winkler+sequence_match,jaro_winkler=0.7798; levenshtein=0.6250; semantic=0.7878; sequence_match=0.6667,False,0.7448,False,gold already mapped to 'owns item'
ObjectProperty,owns achievement,owns item,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8683; levenshtein=0.4667; semantic=0.7030; sequence_match=0.6087,False,0.7267,False,gold already mapped to 'game has achievement'
ObjectProperty,owns character,owns item,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8423; levenshtein=0.4615; semantic=0.7426; sequence_match=0.5714,False,0.7188,False,pred already taken by 'owns item'
ObjectProperty,has item,usage item,semantic+jaro_winkler+sequence_match,jaro_winkler=0.7302; levenshtein=0.5556; semantic=0.7312; sequence_match=0.6250,False,0.6955,False,top-3 avg score 0.6955 < final_threshold 0.7
ObjectProperty,owns achievement,has all achievements in game,jaro_winkler+semantic+sequence_match,jaro_winkler=0.7389; levenshtein=0.4583; semantic=0.7315; sequence_match=0.6154,False,0.6953,False,top-3 avg score 0.6953 < final_threshold 0.7
ObjectProperty,involves player,for player,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6640; levenshtein=0.5000; semantic=0.8127; sequence_match=0.6087,False,0.6951,False,top-3 avg score 0.6951 < final_threshold 0.7
ObjectProperty,has achievement,has item,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8333; levenshtein=0.4286; semantic=0.6448; sequence_match=0.5714,False,0.6832,False,top-3 avg score 0.6832 < final_threshold 0.7
ObjectProperty,has item,has achievement,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8333; levenshtein=0.4286; semantic=0.6448; sequence_match=0.5714,False,0.6832,False,top-3 avg score 0.6832 < final_threshold 0.7
ObjectProperty,has item,has friend,jaro_winkler+sequence_match+semantic,jaro_winkler=0.8296; levenshtein=0.4444; semantic=0.5748; sequence_match=0.6250,False,0.6765,False,top-3 avg score 0.6765 < final_threshold 0.7
ObjectProperty,plays game,usage game,semantic+jaro_winkler+sequence_match,jaro_winkler=0.7222; levenshtein=0.5556; semantic=0.7301; sequence_match=0.5556,False,0.6693,False,top-3 avg score 0.6693 < final_threshold 0.7
ObjectProperty,has item,has ability,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8167; levenshtein=0.4000; semantic=0.5931; sequence_match=0.5882,False,0.666,False,top-3 avg score 0.6660 < final_threshold 0.7
ObjectProperty,plays game,played by,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6481; levenshtein=0.4444; semantic=0.7486; sequence_match=0.5882,False,0.6617,False,top-3 avg score 0.6617 < final_threshold 0.7
ObjectProperty,has character,has item,jaro_winkler+semantic+sequence_match,jaro_winkler=0.7972; levenshtein=0.4167; semantic=0.6592; sequence_match=0.5263,False,0.6609,False,top-3 avg score 0.6609 < final_threshold 0.7
ObjectProperty,is session in game,session of,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6529; levenshtein=0.4667; semantic=0.7453; sequence_match=0.5833,False,0.6605,False,top-3 avg score 0.6605 < final_threshold 0.7
ObjectProperty,involves player,context player,jaro_winkler+semantic+sequence_match,jaro_winkler=0.7043; levenshtein=0.5000; semantic=0.6652; sequence_match=0.5926,False,0.654,False,top-3 avg score 0.6540 < final_threshold 0.7
ObjectProperty,owns item,usage item,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6602; levenshtein=0.4444; semantic=0.7113; sequence_match=0.5882,False,0.6532,False,top-3 avg score 0.6532 < final_threshold 0.7
ObjectProperty,has game genre,plays game,jaro_winkler+semantic+sequence_match,jaro_winkler=0.7222; levenshtein=0.3333; semantic=0.6653; sequence_match=0.5714,False,0.653,False,top-3 avg score 0.6530 < final_threshold 0.7
ObjectProperty,has playing area,plays game,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6951; levenshtein=0.5000; semantic=0.6305; sequence_match=0.6087,False,0.6448,False,top-3 avg score 0.6448 < final_threshold 0.7
ObjectProperty,plays game,has playing area,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6951; levenshtein=0.5000; semantic=0.6305; sequence_match=0.6087,False,0.6448,False,top-3 avg score 0.6448 < final_threshold 0.7
ObjectProperty,has feature,has friend,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8200; levenshtein=0.4000; semantic=0.5878; sequence_match=0.5263,False,0.6447,False,top-3 avg score 0.6447 < final_threshold 0.7
ObjectProperty,plays game,for player,jaro_winkler+semantic+sequence_match,jaro_winkler=0.7037; levenshtein=0.1111; semantic=0.6656; sequence_match=0.5556,False,0.6416,False,top-3 avg score 0.6416 < final_threshold 0.7
ObjectProperty,involves player,equipped player,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5893; levenshtein=0.5000; semantic=0.7593; sequence_match=0.5714,False,0.64,False,top-3 avg score 0.6400 < final_threshold 0.7
ObjectProperty,involves player,usage player,jaro_winkler+semantic+sequence_match,jaro_winkler=0.7246; levenshtein=0.5000; semantic=0.5996; sequence_match=0.5600,False,0.6281,False,top-3 avg score 0.6281 < final_threshold 0.7
ObjectProperty,has game genre,has achievement,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8065; levenshtein=0.3571; semantic=0.5386; sequence_match=0.5385,False,0.6279,False,top-3 avg score 0.6279 < final_threshold 0.7
ObjectProperty,is friend with player,equipped player,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6402; levenshtein=0.3889; semantic=0.6771; sequence_match=0.5625,False,0.6266,False,top-3 avg score 0.6266 < final_threshold 0.7
ObjectProperty,plays game,for game,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5886; levenshtein=0.4444; semantic=0.7880; sequence_match=0.5000,False,0.6255,False,top-3 avg score 0.6255 < final_threshold 0.7
ObjectProperty,is friend with player,has friend,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6270; levenshtein=0.3333; semantic=0.7202; sequence_match=0.5185,False,0.6219,False,top-3 avg score 0.6219 < final_threshold 0.7
ObjectProperty,has achievement,has ability,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6762; levenshtein=0.3571; semantic=0.6892; sequence_match=0.5000,False,0.6218,False,top-3 avg score 0.6218 < final_threshold 0.7
ObjectProperty,has achievement,has friend,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6984; levenshtein=0.4286; semantic=0.6360; sequence_match=0.5217,False,0.6187,False,top-3 avg score 0.6187 < final_threshold 0.7
ObjectProperty,purchases game offering,purchased by,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8216; levenshtein=0.3810; semantic=0.5116; sequence_match=0.5000,False,0.6111,False,top-3 avg score 0.6111 < final_threshold 0.7
ObjectProperty,has feature,has ability,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6667; levenshtein=0.3000; semantic=0.6655; sequence_match=0.5000,False,0.6107,False,top-3 avg score 0.6107 < final_threshold 0.7
ObjectProperty,has game genre,usage game,jaro_winkler+semantic+sequence_match,jaro_winkler=0.7269; levenshtein=0.4167; semantic=0.6154; sequence_match=0.4762,False,0.6061,False,top-3 avg score 0.6061 < final_threshold 0.7
ObjectProperty,is friend with player,for player,semantic+sequence_match+jaro_winkler,jaro_winkler=0.5000; levenshtein=0.3889; semantic=0.7244; sequence_match=0.5926,False,0.6057,False,top-3 avg score 0.6057 < final_threshold 0.7
ObjectProperty,has character,has achievement,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6627; levenshtein=0.4286; semantic=0.6890; sequence_match=0.4615,False,0.6044,False,top-3 avg score 0.6044 < final_threshold 0.7
ObjectProperty,is friend with player,context player,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6937; levenshtein=0.4444; semantic=0.5903; sequence_match=0.5161,False,0.6001,False,top-3 avg score 0.6001 < final_threshold 0.7
ObjectProperty,has character,has friend,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6574; levenshtein=0.3333; semantic=0.6636; sequence_match=0.4762,False,0.5991,False,top-3 avg score 0.5991 < final_threshold 0.7
ObjectProperty,has feature,has item,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6714; levenshtein=0.4000; semantic=0.6542; sequence_match=0.4706,False,0.5987,False,top-3 avg score 0.5987 < final_threshold 0.7
ObjectProperty,is session in game,usage game,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6889; levenshtein=0.3333; semantic=0.5861; sequence_match=0.5000,False,0.5917,False,top-3 avg score 0.5917 < final_threshold 0.7
ObjectProperty,has character,has ability,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6389; levenshtein=0.3333; semantic=0.6644; sequence_match=0.4545,False,0.5859,False,top-3 avg score 0.5859 < final_threshold 0.7
ObjectProperty,is player in session,session of,semantic+sequence_match+jaro_winkler,jaro_winkler=0.4832; levenshtein=0.2941; semantic=0.7337; sequence_match=0.5385,False,0.5851,False,top-3 avg score 0.5851 < final_threshold 0.7
ObjectProperty,is character in game,has all achievements in game,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6594; levenshtein=0.4167; semantic=0.6080; sequence_match=0.4878,False,0.5851,False,top-3 avg score 0.5851 < final_threshold 0.7
ObjectProperty,plays game,equipped game,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5241; levenshtein=0.3333; semantic=0.7413; sequence_match=0.4762,False,0.5805,False,top-3 avg score 0.5805 < final_threshold 0.7
ObjectProperty,has game genre,has playing area,jaro_winkler+sequence_match+semantic,jaro_winkler=0.6627; levenshtein=0.4286; semantic=0.5375; sequence_match=0.5385,False,0.5795,False,top-3 avg score 0.5795 < final_threshold 0.7
ObjectProperty,has item,equipped item,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5516; levenshtein=0.3333; semantic=0.7639; sequence_match=0.4211,False,0.5788,False,top-3 avg score 0.5788 < final_threshold 0.7
ObjectProperty,has game genre,game has achievement,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6630; levenshtein=0.2778; semantic=0.6626; sequence_match=0.4000,False,0.5752,False,top-3 avg score 0.5752 < final_threshold 0.7
ObjectProperty,is player in session,usage player,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6076; levenshtein=0.2353; semantic=0.6056; sequence_match=0.5000,False,0.5711,False,top-3 avg score 0.5711 < final_threshold 0.7
ObjectProperty,purchases game offering,usage game,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6733; levenshtein=0.3333; semantic=0.5716; sequence_match=0.4667,False,0.5705,False,top-3 avg score 0.5705 < final_threshold 0.7
ObjectProperty,has game genre,for game,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5516; levenshtein=0.3333; semantic=0.7328; sequence_match=0.4211,False,0.5685,False,top-3 avg score 0.5685 < final_threshold 0.7
ObjectProperty,is friend with player,usage player,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5989; levenshtein=0.4444; semantic=0.5525; sequence_match=0.5517,False,0.5677,False,top-3 avg score 0.5677 < final_threshold 0.7
ObjectProperty,involves player,summary player,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5189; levenshtein=0.4286; semantic=0.6634; sequence_match=0.5185,False,0.5669,False,top-3 avg score 0.5669 < final_threshold 0.7
ObjectProperty,is friend with player,summary player,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6033; levenshtein=0.3889; semantic=0.5785; sequence_match=0.5161,False,0.566,False,top-3 avg score 0.5660 < final_threshold 0.7
ObjectProperty,has feature,has achievement,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6206; levenshtein=0.2857; semantic=0.6594; sequence_match=0.4167,False,0.5656,False,top-3 avg score 0.5656 < final_threshold 0.7
