prop_type,gold_term,pred_term,top_methods_used,scores_by_method,is_hard_match,agg_score,selected,reason
ObjectProperty,hasPolicy,has policy,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
ObjectProperty,inheritFrom,inherits from,jaro_winkler+sequence_match+levenshtein,jaro_winkler=0.9833; levenshtein=0.9167; semantic=0.8897; sequence_match=0.9565,False,0.9522,True,selected
ObjectProperty,prohibition,has prohibition,semantic+sequence_match+jaro_winkler,jaro_winkler=0.8680; levenshtein=0.7857; semantic=0.8858; sequence_match=0.8800,False,0.8779,True,selected
ObjectProperty,permission,has permission,semantic+sequence_match+jaro_winkler,jaro_winkler=0.8231; levenshtein=0.7692; semantic=0.9382; sequence_match=0.8696,False,0.877,True,selected
ObjectProperty,constraint,has constraint,semantic+sequence_match+jaro_winkler,jaro_winkler=0.8231; levenshtein=0.7692; semantic=0.9340; sequence_match=0.8696,False,0.8755,True,selected
ObjectProperty,andSequence,has sequence,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8788; levenshtein=0.7273; semantic=0.8393; sequence_match=0.8182,False,0.8454,True,selected
ObjectProperty,consequence,has consequence duty,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8098; levenshtein=0.6111; semantic=0.7758; sequence_match=0.7586,False,0.7814,True,selected
ObjectProperty,failure,has failure rule,jaro_winkler+semantic+sequence_match,jaro_winkler=0.7857; levenshtein=0.5000; semantic=0.7813; sequence_match=0.6667,False,0.7446,True,selected
ObjectProperty,duty,has duty,semantic+sequence_match+levenshtein,jaro_winkler=0.0000; levenshtein=0.5714; semantic=0.8559; sequence_match=0.7273,False,0.7182,True,selected
ObjectProperty,remedy,has remedy duty,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8205; levenshtein=0.4615; semantic=0.7023; sequence_match=0.6316,False,0.7181,True,selected
ObjectProperty,inheritRelation,inherits from,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8700; levenshtein=0.5333; semantic=0.7653; sequence_match=0.6667,False,0.7673,False,pred already taken by 'inheritFrom'
ObjectProperty,consequence,has sequence,jaro_winkler+sequence_match+levenshtein,jaro_winkler=0.8182; levenshtein=0.7273; semantic=0.5159; sequence_match=0.7273,False,0.7576,False,gold already mapped to 'has consequence duty'
ObjectProperty,andSequence,is part of sequence,semantic+jaro_winkler+sequence_match,jaro_winkler=0.7565; levenshtein=0.5625; semantic=0.7995; sequence_match=0.6667,False,0.7409,False,gold already mapped to 'has sequence'
ObjectProperty,hasPolicy,has role,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8296; levenshtein=0.5556; semantic=0.6277; sequence_match=0.6250,False,0.6941,False,top-3 avg score 0.6941 < final_threshold 0.7
ObjectProperty,partOf,is part of sequence,jaro_winkler+semantic+sequence_match,jaro_winkler=0.7917; levenshtein=0.3750; semantic=0.6631; sequence_match=0.5455,False,0.6667,False,top-3 avg score 0.6667 < final_threshold 0.7
ObjectProperty,consequence,is part of sequence,jaro_winkler+sequence_match+levenshtein,jaro_winkler=0.7565; levenshtein=0.5625; semantic=0.4826; sequence_match=0.6667,False,0.6619,False,top-3 avg score 0.6619 < final_threshold 0.7
ObjectProperty,conflict,has conflict resolution strategy,jaro_winkler+semantic+sequence_match,jaro_winkler=0.7586; levenshtein=0.2759; semantic=0.7470; sequence_match=0.4324,False,0.646,False,top-3 avg score 0.6460 < final_threshold 0.7
ObjectProperty,constraint,has container,jaro_winkler+sequence_match+semantic,jaro_winkler=0.6972; levenshtein=0.4167; semantic=0.5909; sequence_match=0.6364,False,0.6415,False,top-3 avg score 0.6415 < final_threshold 0.7
ObjectProperty,operator,has logical operator,semantic+sequence_match+jaro_winkler,jaro_winkler=0.4907; levenshtein=0.4444; semantic=0.7882; sequence_match=0.6154,False,0.6315,False,top-3 avg score 0.6315 < final_threshold 0.7
ObjectProperty,andSequence,has consequence duty,sequence_match+jaro_winkler+levenshtein,jaro_winkler=0.6882; levenshtein=0.5000; semantic=0.4687; sequence_match=0.6897,False,0.626,False,top-3 avg score 0.6260 < final_threshold 0.7
ObjectProperty,hasPolicy,has rule,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6720; levenshtein=0.4444; semantic=0.6712; sequence_match=0.5000,False,0.6144,False,top-3 avg score 0.6144 < final_threshold 0.7
ObjectProperty,assigner,has container,jaro_winkler+sequence_match+semantic,jaro_winkler=0.6944; levenshtein=0.4167; semantic=0.5238; sequence_match=0.6000,False,0.6061,False,top-3 avg score 0.6061 < final_threshold 0.7
ObjectProperty,obligation,has prohibition,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6381; levenshtein=0.3571; semantic=0.5893; sequence_match=0.5833,False,0.6036,False,top-3 avg score 0.6036 < final_threshold 0.7
ObjectProperty,hasPolicy,has duty,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6720; levenshtein=0.4444; semantic=0.6264; sequence_match=0.5000,False,0.5994,False,top-3 avg score 0.5994 < final_threshold 0.7
ObjectProperty,hasPolicy,has prohibition,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6984; levenshtein=0.4286; semantic=0.5553; sequence_match=0.5217,False,0.5918,False,top-3 avg score 0.5918 < final_threshold 0.7
ObjectProperty,permission,has prohibition,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6381; levenshtein=0.3571; semantic=0.6289; sequence_match=0.5000,False,0.589,False,top-3 avg score 0.5890 < final_threshold 0.7
ObjectProperty,prohibition,has permission,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6773; levenshtein=0.3077; semantic=0.5895; sequence_match=0.5000,False,0.589,False,top-3 avg score 0.5890 < final_threshold 0.7
ObjectProperty,scope,has role,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6762; levenshtein=0.4286; semantic=0.5690; sequence_match=0.5000,False,0.5817,False,top-3 avg score 0.5817 < final_threshold 0.7
ObjectProperty,constraint,has contract party,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6417; levenshtein=0.3750; semantic=0.5633; sequence_match=0.5385,False,0.5811,False,top-3 avg score 0.5811 < final_threshold 0.7
ObjectProperty,assigner,has asset,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6667; levenshtein=0.2500; semantic=0.5490; sequence_match=0.5000,False,0.5719,False,top-3 avg score 0.5719 < final_threshold 0.7
ObjectProperty,assignee,has asset,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6667; levenshtein=0.2500; semantic=0.5462; sequence_match=0.5000,False,0.5709,False,top-3 avg score 0.5709 < final_threshold 0.7
ObjectProperty,inheritRelation,has permission,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6684; levenshtein=0.3333; semantic=0.5361; sequence_match=0.5000,False,0.5681,False,top-3 avg score 0.5681 < final_threshold 0.7
ObjectProperty,action,has container,jaro_winkler+semantic+sequence_match,jaro_winkler=0.7222; levenshtein=0.3333; semantic=0.5368; sequence_match=0.4444,False,0.5678,False,top-3 avg score 0.5678 < final_threshold 0.7
ObjectProperty,hasPolicy,has permission,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6467; levenshtein=0.3846; semantic=0.5952; sequence_match=0.4545,False,0.5655,False,top-3 avg score 0.5655 < final_threshold 0.7
ObjectProperty,assignee,has sequence,jaro_winkler+sequence_match+levenshtein,jaro_winkler=0.7096; levenshtein=0.4545; semantic=0.4479; sequence_match=0.5263,False,0.5635,False,top-3 avg score 0.5635 < final_threshold 0.7
ObjectProperty,conflict,has policy,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6481; levenshtein=0.3333; semantic=0.5614; sequence_match=0.4706,False,0.56,False,top-3 avg score 0.5600 < final_threshold 0.7
ObjectProperty,hasPolicy,has constraint,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6538; levenshtein=0.3846; semantic=0.5713; sequence_match=0.4545,False,0.5599,False,top-3 avg score 0.5599 < final_threshold 0.7
ObjectProperty,target,has role,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6429; levenshtein=0.2857; semantic=0.5734; sequence_match=0.4615,False,0.5593,False,top-3 avg score 0.5593 < final_threshold 0.7
ObjectProperty,scope,has logical operator,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6926; levenshtein=0.2778; semantic=0.5416; sequence_match=0.4348,False,0.5563,False,top-3 avg score 0.5563 < final_threshold 0.7
ObjectProperty,hasPolicy,has container,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6667; levenshtein=0.4167; semantic=0.5249; sequence_match=0.4762,False,0.5559,False,top-3 avg score 0.5559 < final_threshold 0.7
ObjectProperty,duty,has remedy duty,semantic+sequence_match+jaro_winkler,jaro_winkler=0.4423; levenshtein=0.3077; semantic=0.7512; sequence_match=0.4706,False,0.5547,False,top-3 avg score 0.5547 < final_threshold 0.7
ObjectProperty,failure,has rule,jaro_winkler+semantic+levenshtein,jaro_winkler=0.7429; levenshtein=0.4286; semantic=0.4904; sequence_match=0.4286,False,0.5539,False,top-3 avg score 0.5539 < final_threshold 0.7
ObjectProperty,scope,has container,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6167; levenshtein=0.3333; semantic=0.5690; sequence_match=0.4706,False,0.5521,False,top-3 avg score 0.5521 < final_threshold 0.7
ObjectProperty,target,has rule,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6429; levenshtein=0.2857; semantic=0.5432; sequence_match=0.4615,False,0.5492,False,top-3 avg score 0.5492 < final_threshold 0.7
ObjectProperty,conflict,has constraint,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6032; levenshtein=0.3846; semantic=0.5657; sequence_match=0.4762,False,0.5484,False,top-3 avg score 0.5484 < final_threshold 0.7
ObjectProperty,hasPolicy,has logical operator,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6944; levenshtein=0.3333; semantic=0.5016; sequence_match=0.4444,False,0.5468,False,top-3 avg score 0.5468 < final_threshold 0.7
ObjectProperty,action,has constraint,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6726; levenshtein=0.3077; semantic=0.5357; sequence_match=0.4211,False,0.5431,False,top-3 avg score 0.5431 < final_threshold 0.7
ObjectProperty,partOf,has role,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6429; levenshtein=0.2857; semantic=0.5130; sequence_match=0.4615,False,0.5391,False,top-3 avg score 0.5391 < final_threshold 0.7
ObjectProperty,hasPolicy,has conflict resolution strategy,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5778; levenshtein=0.2759; semantic=0.6160; sequence_match=0.4211,False,0.5383,False,top-3 avg score 0.5383 < final_threshold 0.7
ObjectProperty,assigner,has constraint,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6032; levenshtein=0.2308; semantic=0.5324; sequence_match=0.4762,False,0.5373,False,top-3 avg score 0.5373 < final_threshold 0.7
ObjectProperty,assignee,has container,jaro_winkler+sequence_match+semantic,jaro_winkler=0.6139; levenshtein=0.3333; semantic=0.4911; sequence_match=0.5000,False,0.535,False,top-3 avg score 0.5350 < final_threshold 0.7
ObjectProperty,leftOperand,has logical operator,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4596; levenshtein=0.3333; semantic=0.7313; sequence_match=0.4138,False,0.5349,False,top-3 avg score 0.5349 < final_threshold 0.7
ObjectProperty,assignee,has role,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6012; levenshtein=0.2500; semantic=0.6024; sequence_match=0.4000,False,0.5345,False,top-3 avg score 0.5345 < final_threshold 0.7
ObjectProperty,assigner,has permission,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6032; levenshtein=0.2308; semantic=0.5231; sequence_match=0.4762,False,0.5342,False,top-3 avg score 0.5342 < final_threshold 0.7
ObjectProperty,target,has asset,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6250; levenshtein=0.3750; semantic=0.5462; sequence_match=0.4286,False,0.5333,False,top-3 avg score 0.5333 < final_threshold 0.7
ObjectProperty,assigner,has logical operator,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6389; levenshtein=0.2778; semantic=0.5739; sequence_match=0.3846,False,0.5325,False,top-3 avg score 0.5325 < final_threshold 0.7
ObjectProperty,inheritFrom,has permission,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6134; levenshtein=0.3077; semantic=0.5642; sequence_match=0.4167,False,0.5314,False,top-3 avg score 0.5314 < final_threshold 0.7
ObjectProperty,conflict,has container,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6139; levenshtein=0.3333; semantic=0.5746; sequence_match=0.4000,False,0.5295,False,top-3 avg score 0.5295 < final_threshold 0.7
ObjectProperty,assigner,has sequence,jaro_winkler+sequence_match+semantic,jaro_winkler=0.6265; levenshtein=0.3636; semantic=0.4342; sequence_match=0.5263,False,0.529,False,top-3 avg score 0.5290 < final_threshold 0.7
ObjectProperty,relation,has permission,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6816; levenshtein=0.3077; semantic=0.5184; sequence_match=0.3810,False,0.527,False,top-3 avg score 0.5270 < final_threshold 0.7
ObjectProperty,assignee,has consequence duty,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6389; levenshtein=0.2778; semantic=0.5440; sequence_match=0.3846,False,0.5225,False,top-3 avg score 0.5225 < final_threshold 0.7
ObjectProperty,hasPolicy,has consequence duty,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5444; levenshtein=0.3333; semantic=0.5709; sequence_match=0.4444,False,0.5199,False,top-3 avg score 0.5199 < final_threshold 0.7
ObjectProperty,assignee,has failure rule,jaro_winkler+sequence_match+semantic,jaro_winkler=0.6607; levenshtein=0.3571; semantic=0.4441; sequence_match=0.4545,False,0.5198,False,top-3 avg score 0.5198 < final_threshold 0.7
ObjectProperty,duty,has consequence duty,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4352; levenshtein=0.2222; semantic=0.7481; sequence_match=0.3636,False,0.5157,False,top-3 avg score 0.5157 < final_threshold 0.7
ObjectProperty,hasPolicy,has contract party,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6250; levenshtein=0.3750; semantic=0.5188; sequence_match=0.4000,False,0.5146,False,top-3 avg score 0.5146 < final_threshold 0.7
ObjectProperty,assignee,has permission,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5192; levenshtein=0.2308; semantic=0.5475; sequence_match=0.4762,False,0.5143,False,top-3 avg score 0.5143 < final_threshold 0.7
ObjectProperty,assigner,has role,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6012; levenshtein=0.2500; semantic=0.5409; sequence_match=0.4000,False,0.514,False,top-3 avg score 0.5140 < final_threshold 0.7
ObjectProperty,relation,has prohibition,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6151; levenshtein=0.3571; semantic=0.4702; sequence_match=0.4545,False,0.5133,False,top-3 avg score 0.5133 < final_threshold 0.7
