role,gold_term,pred_term,top_methods_used,scores_by_method,is_hard_match,agg_score,selected,reason
property,hasachievement,hasachievement,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0000,True,selected
property,hasitem,hasitem,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0000,True,selected
property,livesin,livesin,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0000,True,selected
property,hasplayingarea,hasplayingarea,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0000,True,selected
property,releasedate,hasreleasedate,semantic+sequence_match+jaro_winkler,jaro_winkler=0.8074; levenshtein=0.7857; semantic=0.9390; sequence_match=0.8800,False,0.8754,True,selected
property,username,hasusername,semantic+sequence_match+jaro_winkler,jaro_winkler=0.8258; levenshtein=0.7273; semantic=0.9063; sequence_match=0.8421,False,0.8581,True,selected
property,hasgamegenre,hasgenre,jaro_winkler+semantic+sequence_match,jaro_winkler=0.9083; levenshtein=0.6667; semantic=0.8511; sequence_match=0.8000,False,0.8532,True,selected
property,playsgame,plays,jaro_winkler+semantic+sequence_match,jaro_winkler=0.9111; levenshtein=0.5556; semantic=0.8506; sequence_match=0.7143,False,0.8253,True,selected
property,isfriendwithplayer,hasfriend,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6270; levenshtein=0.3333; semantic=0.7501; sequence_match=0.5185,False,0.6319,True,selected
property,eventtime,hastime,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6720; levenshtein=0.4444; semantic=0.6984; sequence_match=0.5000,False,0.6234,True,selected
property,ownsachievement,hasachievement,semantic+jaro_winkler+sequence_match,jaro_winkler=0.8579; levenshtein=0.8000; semantic=0.9068; sequence_match=0.8276,False,0.8641,False,pred already taken by 'hasachievement' (higher averaged score)
property,hasitem,hastime,jaro_winkler+sequence_match+semantic,jaro_winkler=0.9333; levenshtein=0.5714; semantic=0.6008; sequence_match=0.7143,False,0.7495,False,gold already mapped to 'hasitem'
property,ownsitem,hasitem,semantic+jaro_winkler+sequence_match,jaro_winkler=0.7798; levenshtein=0.6250; semantic=0.7978; sequence_match=0.6667,False,0.7481,False,pred already taken by 'hasitem' (higher averaged score)
property,hasitem,hastype,jaro_winkler+sequence_match+semantic,jaro_winkler=0.8667; levenshtein=0.4286; semantic=0.6627; sequence_match=0.7143,False,0.7479,False,gold already mapped to 'hasitem'
property,hasplayingarea,hasplayed,jaro_winkler+sequence_match+semantic,jaro_winkler=0.8921; levenshtein=0.5714; semantic=0.5992; sequence_match=0.6957,False,0.7290,False,gold already mapped to 'hasplayingarea'
property,hasitem,hasfriend,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8296; levenshtein=0.4444; semantic=0.6765; sequence_match=0.6250,False,0.7104,False,gold already mapped to 'hasitem'
property,hasachievement,hasitem,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8333; levenshtein=0.4286; semantic=0.6591; sequence_match=0.5714,False,0.6880,False,gold already mapped to 'hasachievement'
property,hasitem,hasachievement,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8333; levenshtein=0.4286; semantic=0.6591; sequence_match=0.5714,False,0.6880,False,gold already mapped to 'hasitem'
property,playsgame,hasplayed,semantic+jaro_winkler+sequence_match,jaro_winkler=0.7090; levenshtein=0.2222; semantic=0.7826; sequence_match=0.5556,False,0.6824,False,gold already mapped to 'plays'
property,hasachievement,hasreceived,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8224; levenshtein=0.4286; semantic=0.6549; sequence_match=0.5600,False,0.6791,False,gold already mapped to 'hasachievement'
property,hasitem,hasusername,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8061; levenshtein=0.4545; semantic=0.6567; sequence_match=0.5556,False,0.6728,False,gold already mapped to 'hasitem'
property,hasitem,hasmade,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8000; levenshtein=0.4286; semantic=0.6305; sequence_match=0.5714,False,0.6673,False,gold already mapped to 'hasitem'
property,hasachievement,hastime,jaro_winkler+semantic+sequence_match,jaro_winkler=0.7944; levenshtein=0.4286; semantic=0.6108; sequence_match=0.5714,False,0.6589,False,gold already mapped to 'hasachievement'
property,hasitem,hasobtained,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8217; levenshtein=0.4545; semantic=0.5942; sequence_match=0.5556,False,0.6572,False,gold already mapped to 'hasitem'
property,hasplayingarea,hasgenre,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8208; levenshtein=0.4286; semantic=0.5709; sequence_match=0.5455,False,0.6457,False,gold already mapped to 'hasplayingarea'
property,hasgamegenre,hasachievement,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8065; levenshtein=0.3571; semantic=0.5693; sequence_match=0.5385,False,0.6381,False,gold already mapped to 'hasgenre'
property,username,uses,jaro_winkler+semantic+sequence_match,jaro_winkler=0.7958; levenshtein=0.3750; semantic=0.6161; sequence_match=0.5000,False,0.6373,False,gold already mapped to 'hasusername'
property,hasachievement,hasobtained,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6645; levenshtein=0.2857; semantic=0.7671; sequence_match=0.4800,False,0.6372,False,gold already mapped to 'hasachievement'
property,hasachievement,hasfriend,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6984; levenshtein=0.4286; semantic=0.6842; sequence_match=0.5217,False,0.6348,False,gold already mapped to 'hasachievement'
property,hasplayingarea,hasobtained,jaro_winkler+sequence_match+semantic,jaro_winkler=0.7985; levenshtein=0.4286; semantic=0.5425; sequence_match=0.5600,False,0.6337,False,gold already mapped to 'hasplayingarea'
property,livesin,isusedin,jaro_winkler+semantic+sequence_match,jaro_winkler=0.7131; levenshtein=0.3750; semantic=0.6492; sequence_match=0.5333,False,0.6319,False,gold already mapped to 'livesin'
property,hasplayingarea,ispaying,jaro_winkler+sequence_match+semantic,jaro_winkler=0.7440; levenshtein=0.5000; semantic=0.5057; sequence_match=0.6364,False,0.6287,False,gold already mapped to 'hasplayingarea'
property,hasachievement,hasmade,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6905; levenshtein=0.2857; semantic=0.7040; sequence_match=0.4762,False,0.6235,False,gold already mapped to 'hasachievement'
property,hasplayingarea,hastype,jaro_winkler+semantic+sequence_match,jaro_winkler=0.7944; levenshtein=0.3571; semantic=0.5926; sequence_match=0.4762,False,0.6211,False,gold already mapped to 'hasplayingarea'
property,hasgamegenre,hasusername,jaro_winkler+sequence_match+semantic,jaro_winkler=0.8215; levenshtein=0.4167; semantic=0.5177; sequence_match=0.5217,False,0.6203,False,gold already mapped to 'hasgenre'
property,hasachievement,hasusername,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6829; levenshtein=0.3571; semantic=0.6968; sequence_match=0.4800,False,0.6199,False,gold already mapped to 'hasachievement'
property,playsgame,hasplayingarea,jaro_winkler+sequence_match+semantic,jaro_winkler=0.6951; levenshtein=0.5000; semantic=0.5551; sequence_match=0.6087,False,0.6196,False,gold already mapped to 'plays'
property,hasitem,hasgenre,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6905; levenshtein=0.3750; semantic=0.6071; sequence_match=0.5333,False,0.6103,False,gold already mapped to 'hasitem'
property,hasgamegenre,hasmade,jaro_winkler+sequence_match+semantic,jaro_winkler=0.8111; levenshtein=0.4167; semantic=0.4882; sequence_match=0.5263,False,0.6085,False,gold already mapped to 'hasgenre'
property,hasgamegenre,hastime,jaro_winkler+sequence_match+semantic,jaro_winkler=0.7972; levenshtein=0.4167; semantic=0.4997; sequence_match=0.5263,False,0.6078,False,gold already mapped to 'hasgenre'
property,livesin,ispaying,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6905; levenshtein=0.2500; semantic=0.5794; sequence_match=0.5333,False,0.6011,False,gold already mapped to 'livesin'
property,hasgamegenre,hasplayed,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6574; levenshtein=0.3333; semantic=0.6674; sequence_match=0.4762,False,0.6003,False,gold already mapped to 'hasgenre'
property,hasplayingarea,hasmadeinapppurchase,jaro_winkler+sequence_match+semantic,jaro_winkler=0.8026; levenshtein=0.3500; semantic=0.4396; sequence_match=0.5294,False,0.5905,False,top-3 avg score 0.5905 < final_threshold 0.6
property,hasitem,hasreceived,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6563; levenshtein=0.4545; semantic=0.5593; sequence_match=0.5556,False,0.5904,False,top-3 avg score 0.5904 < final_threshold 0.6
property,hasitem,hasplayed,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6720; levenshtein=0.4444; semantic=0.5920; sequence_match=0.5000,False,0.5880,False,top-3 avg score 0.5880 < final_threshold 0.6
