side,dimension,sub,sup,status,raw_pred_sub,raw_pred_sup
gold,class,AssetCollection,Asset,FN,,
gold,class,Duty,Rule,TP,,
gold,class,Permission,Rule,TP,,
gold,class,Prohibition,Rule,TP,,
pred,class,,,untranslated,AggregationAction,Action
pred,class,,,untranslated,Consequence,Duty
pred,class,,,untranslated,Consequence,Rule
pred,class,,,untranslated,DisaggregationAction,Action
pred,class,,,untranslated,Remedy,Duty
pred,class,,,untranslated,Remedy,Rule
gold,property,and,operand,FN,,
gold,property,andSequence,operand,FN,,
gold,property,assignee,function,FN,,
gold,property,assigner,function,FN,,
gold,property,consequence,failure,FN,,
gold,property,or,operand,FN,,
gold,property,remedy,failure,FN,,
gold,property,target,relation,FN,,
gold,property,xone,operand,FN,,
pred,property,,,untranslated,hasPermission,hasRule
pred,property,,,untranslated,hasProhibition,hasRule
pred,property,,,untranslated,isDutyOf,hasRule
pred,property,,,untranslated,isDutyOf,isRuleOf
pred,property,,,untranslated,isPermissionOf,isRuleOf
pred,property,,,untranslated,isProhibitionOf,isRuleOf
