role,gold_term,pred_term,top_methods_used,scores_by_method,is_hard_match,agg_score,selected,reason
property,has fabrication number,hasfabricationnumber,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=0.9093; sequence_match=1.0000,True,1.0000,True,selected
property,has manufacturer,hasmanufacturer,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=0.9571; sequence_match=1.0000,True,1.0000,True,selected
property,has model,hasmodel,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=0.9241; sequence_match=1.0000,True,1.0000,True,selected
property,has version,hasversion,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=0.9590; sequence_match=1.0000,True,1.0000,True,selected
property,has hardware version,hashardwareversion,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=0.7138; sequence_match=1.0000,True,1.0000,True,selected
property,has firmware version,hasfirmwareversion,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=0.9377; sequence_match=1.0000,True,1.0000,True,selected
property,has property,hasproperty,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=0.9317; sequence_match=1.0000,True,1.0000,True,selected
property,has duration,hasduration,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=0.9218; sequence_match=1.0000,True,1.0000,True,selected
property,has billing date,hasbillingdate,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=0.9337; sequence_match=1.0000,True,1.0000,True,selected
property,has billing period,hasbillingdateperiod,jaro_winkler+sequence_match+semantic,jaro_winkler=0.9350; levenshtein=0.8000; semantic=0.8775; sequence_match=0.8889,False,0.9005,True,selected
property,has start timestamp,hasstartdatetime,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8968; levenshtein=0.6471; semantic=0.8228; sequence_match=0.7273,False,0.8157,True,selected
property,has period,hastariffperiod,jaro_winkler+sequence_match+semantic,jaro_winkler=0.8548; levenshtein=0.6000; semantic=0.7117; sequence_match=0.7500,False,0.7722,True,selected
property,has measurement,measures,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6905; levenshtein=0.5000; semantic=0.8723; sequence_match=0.6364,False,0.7330,True,selected
property,hasgeometry,hasgeolocation,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8273; levenshtein=0.5000; semantic=0.7313; sequence_match=0.5600,False,0.7062,True,selected
property,operates at radio frequency,hasradiofrequencylevel,jaro_winkler+sequence_match+semantic,jaro_winkler=0.7079; levenshtein=0.4583; semantic=0.6615; sequence_match=0.6957,False,0.6884,True,selected
property,requires power,haspower,semantic+sequence_match+jaro_winkler,jaro_winkler=0.5705; levenshtein=0.4615; semantic=0.8286; sequence_match=0.5714,False,0.6569,True,selected
property,has timestamp,hastemporalsetting,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6963; levenshtein=0.3889; semantic=0.6372; sequence_match=0.4667,False,0.6000,True,selected
property,has billing date,hasbillingdateperiod,jaro_winkler+semantic+sequence_match,jaro_winkler=0.9400; levenshtein=0.7000; semantic=0.8658; sequence_match=0.8235,False,0.8765,False,gold already mapped to 'hasbillingdate'
property,has hardware version,hasfirmwareversion,jaro_winkler+levenshtein+sequence_match,jaro_winkler=0.9067; levenshtein=0.8333; semantic=0.7306; sequence_match=0.8333,False,0.8578,False,gold already mapped to 'hashardwareversion'
property,has firmware version,hashardwareversion,jaro_winkler+levenshtein+sequence_match,jaro_winkler=0.9067; levenshtein=0.8333; semantic=0.7386; sequence_match=0.8333,False,0.8578,False,gold already mapped to 'hasfirmwareversion'
property,has billing period,hasbillingdate,jaro_winkler+semantic+sequence_match,jaro_winkler=0.9048; levenshtein=0.6250; semantic=0.7708; sequence_match=0.7333,False,0.8030,False,gold already mapped to 'hasbillingdateperiod'
property,has version,hashardwareversion,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8730; levenshtein=0.5556; semantic=0.8023; sequence_match=0.7143,False,0.7965,False,gold already mapped to 'hasversion'
property,has firmware version,hasversion,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8496; levenshtein=0.5556; semantic=0.8101; sequence_match=0.7143,False,0.7913,False,gold already mapped to 'hasfirmwareversion'
property,has version,hasfirmwareversion,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8496; levenshtein=0.5556; semantic=0.7838; sequence_match=0.7143,False,0.7826,False,gold already mapped to 'hasversion'
property,has hardware version,hasversion,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8730; levenshtein=0.5556; semantic=0.7511; sequence_match=0.7143,False,0.7794,False,gold already mapped to 'hashardwareversion'
property,has period,hasversion,jaro_winkler+sequence_match+levenshtein,jaro_winkler=0.8781; levenshtein=0.7000; semantic=0.5351; sequence_match=0.7368,False,0.7717,False,gold already mapped to 'hastariffperiod'
property,has property,haspower,jaro_winkler+sequence_match+levenshtein,jaro_winkler=0.8737; levenshtein=0.6364; semantic=0.6360; sequence_match=0.7368,False,0.7490,False,gold already mapped to 'hasproperty'
property,has period,haspower,jaro_winkler+sequence_match+semantic,jaro_winkler=0.9020; levenshtein=0.4444; semantic=0.5899; sequence_match=0.7059,False,0.7326,False,gold already mapped to 'hastariffperiod'
property,makes measurement,measures,semantic+jaro_winkler+sequence_match,jaro_winkler=0.7375; levenshtein=0.4375; semantic=0.8766; sequence_match=0.5833,False,0.7325,False,pred already taken by 'has measurement' (higher averaged score)
property,has version,hasduration,jaro_winkler+sequence_match+levenshtein,jaro_winkler=0.8452; levenshtein=0.6364; semantic=0.6071; sequence_match=0.6667,False,0.7161,False,gold already mapped to 'hasversion'
property,has duration,hasversion,jaro_winkler+sequence_match+levenshtein,jaro_winkler=0.8452; levenshtein=0.6364; semantic=0.5070; sequence_match=0.6667,False,0.7161,False,gold already mapped to 'hasduration'
property,has property,chemicalproperty,jaro_winkler+sequence_match+levenshtein,jaro_winkler=0.7447; levenshtein=0.6250; semantic=0.5743; sequence_match=0.7407,False,0.7035,False,gold already mapped to 'hasproperty'
property,has period,hasproperty,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8543; levenshtein=0.4545; semantic=0.6317; sequence_match=0.6000,False,0.6953,False,gold already mapped to 'hastariffperiod'
property,has billing period,hastariffperiod,jaro_winkler+sequence_match+semantic,jaro_winkler=0.8114; levenshtein=0.6250; semantic=0.6252; sequence_match=0.6452,False,0.6939,False,gold already mapped to 'hasbillingdateperiod'
property,has model,haspower,jaro_winkler+levenshtein+sequence_match,jaro_winkler=0.8250; levenshtein=0.6250; semantic=0.6134; sequence_match=0.6250,False,0.6917,False,gold already mapped to 'hasmodel'
property,has period,hasduration,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8162; levenshtein=0.5455; semantic=0.6486; sequence_match=0.6000,False,0.6882,False,gold already mapped to 'hastariffperiod'
property,hasgeometry,hasproperty,jaro_winkler+semantic+levenshtein,jaro_winkler=0.8144; levenshtein=0.5455; semantic=0.6749; sequence_match=0.5455,False,0.6783,False,gold already mapped to 'hasgeolocation'
property,has fabrication number,hasmanufacturer,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8334; levenshtein=0.4000; semantic=0.7014; sequence_match=0.4571,False,0.6640,False,gold already mapped to 'hasfabricationnumber'
property,has version,haspower,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8094; levenshtein=0.3000; semantic=0.6146; sequence_match=0.5556,False,0.6599,False,gold already mapped to 'hasversion'
property,has manufacturer,hasfabricationnumber,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8334; levenshtein=0.4000; semantic=0.6792; sequence_match=0.4571,False,0.6566,False,gold already mapped to 'hasmanufacturer'
property,has period,hasmodel,jaro_winkler+sequence_match+semantic,jaro_winkler=0.8250; levenshtein=0.3333; semantic=0.5390; sequence_match=0.5882,False,0.6507,False,gold already mapped to 'hastariffperiod'
