prop_type,gold_term,pred_term,top_methods_used,scores_by_method,is_hard_match,agg_score,selected,reason
ObjectProperty,hasPolicy,has policy,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
ObjectProperty,inheritFrom,inherits from,jaro_winkler+sequence_match+levenshtein,jaro_winkler=0.9833; levenshtein=0.9167; semantic=0.8897; sequence_match=0.9565,False,0.9522,True,selected
ObjectProperty,constraint,constrains,jaro_winkler+sequence_match+levenshtein,jaro_winkler=0.9600; levenshtein=0.9000; semantic=0.8376; sequence_match=0.9000,False,0.92,True,selected
ObjectProperty,assigner,has assigner,jaro_winkler+semantic+sequence_match,jaro_winkler=0.9091; levenshtein=0.7273; semantic=0.8914; sequence_match=0.8421,False,0.8809,True,selected
ObjectProperty,assignee,has assignee,jaro_winkler+semantic+sequence_match,jaro_winkler=0.9091; levenshtein=0.7273; semantic=0.8532; sequence_match=0.8421,False,0.8681,True,selected
ObjectProperty,operator,has operator,semantic+sequence_match+jaro_winkler,jaro_winkler=0.8258; levenshtein=0.7273; semantic=0.9131; sequence_match=0.8421,False,0.8603,True,selected
ObjectProperty,andSequence,has sequence,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8788; levenshtein=0.7273; semantic=0.8393; sequence_match=0.8182,False,0.8454,True,selected
ObjectProperty,consequence,has consequence duty,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8098; levenshtein=0.6111; semantic=0.7758; sequence_match=0.7586,False,0.7814,True,selected
ObjectProperty,operand,operates on,jaro_winkler+sequence_match+semantic,jaro_winkler=0.8914; levenshtein=0.5000; semantic=0.6896; sequence_match=0.7059,False,0.7623,True,selected
ObjectProperty,remedy,has remedy duty,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8205; levenshtein=0.4615; semantic=0.7023; sequence_match=0.6316,False,0.7181,True,selected
ObjectProperty,constraint,has constraint,semantic+sequence_match+jaro_winkler,jaro_winkler=0.8231; levenshtein=0.7692; semantic=0.9340; sequence_match=0.8696,False,0.8755,False,gold already mapped to 'constrains'
ObjectProperty,assignee,assigns,jaro_winkler+semantic+sequence_match,jaro_winkler=0.9214; levenshtein=0.7500; semantic=0.8353; sequence_match=0.8000,False,0.8522,False,gold already mapped to 'has assignee'
ObjectProperty,assigner,assigns,jaro_winkler+semantic+sequence_match,jaro_winkler=0.9214; levenshtein=0.7500; semantic=0.8306; sequence_match=0.8000,False,0.8507,False,gold already mapped to 'has assigner'
ObjectProperty,assignee,has assigner,semantic+jaro_winkler+sequence_match,jaro_winkler=0.8371; levenshtein=0.6364; semantic=0.8755; sequence_match=0.7368,False,0.8165,False,gold already mapped to 'has assignee'
ObjectProperty,assignee,is assignee of,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8472; levenshtein=0.6667; semantic=0.8010; sequence_match=0.8000,False,0.8161,False,gold already mapped to 'has assignee'
ObjectProperty,operator,operates on,jaro_winkler+sequence_match+levenshtein,jaro_winkler=0.9150; levenshtein=0.7000; semantic=0.6936; sequence_match=0.7778,False,0.7976,False,gold already mapped to 'has operator'
ObjectProperty,constraint,contains,jaro_winkler+sequence_match+levenshtein,jaro_winkler=0.8950; levenshtein=0.7000; semantic=0.5921; sequence_match=0.7778,False,0.7909,False,gold already mapped to 'constrains'
ObjectProperty,assigner,has assignee,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8371; levenshtein=0.6364; semantic=0.7728; sequence_match=0.7368,False,0.7822,False,gold already mapped to 'has assigner'
ObjectProperty,constraint,has sub constraint,semantic+jaro_winkler+sequence_match,jaro_winkler=0.7750; levenshtein=0.6250; semantic=0.7989; sequence_match=0.7692,False,0.781,False,gold already mapped to 'constrains'
ObjectProperty,inheritRelation,inherits from,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8700; levenshtein=0.5333; semantic=0.7653; sequence_match=0.6667,False,0.7673,False,pred already taken by 'inheritFrom'
ObjectProperty,andSequence,is sequence of,jaro_winkler+semantic+sequence_match,jaro_winkler=0.7980; levenshtein=0.5833; semantic=0.7976; sequence_match=0.6957,False,0.7637,False,gold already mapped to 'has sequence'
ObjectProperty,consequence,is consequence duty of,jaro_winkler+semantic+sequence_match,jaro_winkler=0.7990; levenshtein=0.5789; semantic=0.7483; sequence_match=0.7333,False,0.7602,False,gold already mapped to 'has consequence duty'
ObjectProperty,consequence,has sequence,jaro_winkler+sequence_match+levenshtein,jaro_winkler=0.8182; levenshtein=0.7273; semantic=0.5159; sequence_match=0.7273,False,0.7576,False,gold already mapped to 'has consequence duty'
ObjectProperty,constraint,is sub constraint of,semantic+sequence_match+jaro_winkler,jaro_winkler=0.7294; levenshtein=0.5882; semantic=0.7630; sequence_match=0.7407,False,0.7444,False,gold already mapped to 'constrains'
ObjectProperty,assigner,is assignee of,jaro_winkler+semantic+sequence_match,jaro_winkler=0.7718; levenshtein=0.5833; semantic=0.7113; sequence_match=0.7000,False,0.7277,False,gold already mapped to 'has assigner'
ObjectProperty,hasPolicy,has role,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8296; levenshtein=0.5556; semantic=0.6277; sequence_match=0.6250,False,0.6941,False,top-3 avg score 0.6941 < final_threshold 0.7
ObjectProperty,remedy,is remedy duty for,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8000; levenshtein=0.4000; semantic=0.6986; sequence_match=0.5714,False,0.69,False,top-3 avg score 0.6900 < final_threshold 0.7
ObjectProperty,conflict,resolves conflicts for,semantic+jaro_winkler+sequence_match,jaro_winkler=0.7167; levenshtein=0.4000; semantic=0.7585; sequence_match=0.5714,False,0.6822,False,top-3 avg score 0.6822 < final_threshold 0.7
ObjectProperty,inheritFrom,is inherited by,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6297; levenshtein=0.5385; semantic=0.8242; sequence_match=0.5833,False,0.6791,False,top-3 avg score 0.6791 < final_threshold 0.7
ObjectProperty,inheritRelation,is inherited by,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6160; levenshtein=0.4000; semantic=0.8063; sequence_match=0.5714,False,0.6646,False,top-3 avg score 0.6646 < final_threshold 0.7
ObjectProperty,consequence,is sequence of,sequence_match+jaro_winkler+levenshtein,jaro_winkler=0.6730; levenshtein=0.5833; semantic=0.4813; sequence_match=0.6957,False,0.6507,False,top-3 avg score 0.6507 < final_threshold 0.7
ObjectProperty,conflict,has conflict resolution strategy,jaro_winkler+semantic+sequence_match,jaro_winkler=0.7586; levenshtein=0.2759; semantic=0.7470; sequence_match=0.4324,False,0.646,False,top-3 avg score 0.6460 < final_threshold 0.7
ObjectProperty,constraint,has container,jaro_winkler+sequence_match+semantic,jaro_winkler=0.6972; levenshtein=0.4167; semantic=0.5909; sequence_match=0.6364,False,0.6415,False,top-3 avg score 0.6415 < final_threshold 0.7
ObjectProperty,leftOperand,operates on,jaro_winkler+semantic+sequence_match,jaro_winkler=0.7174; levenshtein=0.1818; semantic=0.6318; sequence_match=0.5714,False,0.6402,False,top-3 avg score 0.6402 < final_threshold 0.7
ObjectProperty,operand,has operator,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5896; levenshtein=0.4545; semantic=0.7565; sequence_match=0.5556,False,0.6339,False,top-3 avg score 0.6339 < final_threshold 0.7
ObjectProperty,andSequence,has consequence duty,sequence_match+jaro_winkler+levenshtein,jaro_winkler=0.6882; levenshtein=0.5000; semantic=0.4687; sequence_match=0.6897,False,0.626,False,top-3 avg score 0.6260 < final_threshold 0.7
ObjectProperty,action,has condition,jaro_winkler+sequence_match+semantic,jaro_winkler=0.6833; levenshtein=0.5000; semantic=0.5271; sequence_match=0.6667,False,0.6257,False,top-3 avg score 0.6257 < final_threshold 0.7
ObjectProperty,permission,operates on,jaro_winkler+sequence_match+semantic,jaro_winkler=0.7333; levenshtein=0.5000; semantic=0.5124; sequence_match=0.6000,False,0.6152,False,top-3 avg score 0.6152 < final_threshold 0.7
ObjectProperty,hasPolicy,has rule,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6720; levenshtein=0.4444; semantic=0.6712; sequence_match=0.5000,False,0.6144,False,top-3 avg score 0.6144 < final_threshold 0.7
ObjectProperty,constraint,has condition,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6972; levenshtein=0.2500; semantic=0.5957; sequence_match=0.5455,False,0.6128,False,top-3 avg score 0.6128 < final_threshold 0.7
ObjectProperty,operand,governs,jaro_winkler+sequence_match+semantic,jaro_winkler=0.7143; levenshtein=0.4286; semantic=0.5455; sequence_match=0.5714,False,0.6104,False,top-3 avg score 0.6104 < final_threshold 0.7
ObjectProperty,assigner,has container,jaro_winkler+sequence_match+semantic,jaro_winkler=0.6944; levenshtein=0.4167; semantic=0.5238; sequence_match=0.6000,False,0.6061,False,top-3 avg score 0.6061 < final_threshold 0.7
ObjectProperty,scope,has operator,jaro_winkler+semantic+sequence_match,jaro_winkler=0.7212; levenshtein=0.2727; semantic=0.5825; sequence_match=0.5000,False,0.6012,False,top-3 avg score 0.6012 < final_threshold 0.7
ObjectProperty,remedy,precedes,jaro_winkler+sequence_match+levenshtein,jaro_winkler=0.7222; levenshtein=0.5000; semantic=0.4707; sequence_match=0.5714,False,0.5979,False,top-3 avg score 0.5979 < final_threshold 0.7
ObjectProperty,relation,operates on,jaro_winkler+sequence_match+levenshtein,jaro_winkler=0.7278; levenshtein=0.5000; semantic=0.4924; sequence_match=0.5556,False,0.5944,False,top-3 avg score 0.5944 < final_threshold 0.7
ObjectProperty,andSequence,has requirement,jaro_winkler+sequence_match+semantic,jaro_winkler=0.7246; levenshtein=0.2857; semantic=0.4880; sequence_match=0.5600,False,0.5909,False,top-3 avg score 0.5909 < final_threshold 0.7
ObjectProperty,leftOperand,has operator,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5697; levenshtein=0.3636; semantic=0.7259; sequence_match=0.4545,False,0.5834,False,top-3 avg score 0.5834 < final_threshold 0.7
ObjectProperty,scope,has role,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6762; levenshtein=0.4286; semantic=0.5690; sequence_match=0.5000,False,0.5817,False,top-3 avg score 0.5817 < final_threshold 0.7
ObjectProperty,conflict,has condition,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6806; levenshtein=0.3333; semantic=0.5593; sequence_match=0.5000,False,0.58,False,top-3 avg score 0.5800 < final_threshold 0.7
ObjectProperty,failure,is fallback rule of,jaro_winkler+semantic+sequence_match,jaro_winkler=0.7173; levenshtein=0.3125; semantic=0.5697; sequence_match=0.4348,False,0.5739,False,top-3 avg score 0.5739 < final_threshold 0.7
ObjectProperty,hasPolicy,has condition,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6667; levenshtein=0.4167; semantic=0.5691; sequence_match=0.4762,False,0.5707,False,top-3 avg score 0.5707 < final_threshold 0.7
ObjectProperty,action,has container,jaro_winkler+semantic+sequence_match,jaro_winkler=0.7222; levenshtein=0.3333; semantic=0.5368; sequence_match=0.4444,False,0.5678,False,top-3 avg score 0.5678 < final_threshold 0.7
ObjectProperty,obligation,has condition,jaro_winkler+sequence_match+semantic,jaro_winkler=0.6183; levenshtein=0.3333; semantic=0.5391; sequence_match=0.5455,False,0.5676,False,top-3 avg score 0.5676 < final_threshold 0.7
ObjectProperty,conflict,constrains,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6417; levenshtein=0.4000; semantic=0.6151; sequence_match=0.4444,False,0.5671,False,top-3 avg score 0.5671 < final_threshold 0.7
ObjectProperty,consequence,constrains,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6515; levenshtein=0.4545; semantic=0.5711; sequence_match=0.4762,False,0.5663,False,top-3 avg score 0.5663 < final_threshold 0.7
ObjectProperty,andSequence,is consequence duty of,jaro_winkler+sequence_match+semantic,jaro_winkler=0.6158; levenshtein=0.4211; semantic=0.4801; sequence_match=0.6000,False,0.5653,False,top-3 avg score 0.5653 < final_threshold 0.7
ObjectProperty,or,constrains,jaro_winkler+semantic+sequence_match,jaro_winkler=0.7333; levenshtein=0.2000; semantic=0.6284; sequence_match=0.3333,False,0.565,False,top-3 avg score 0.5650 < final_threshold 0.7
ObjectProperty,assignee,has sequence,jaro_winkler+sequence_match+levenshtein,jaro_winkler=0.7096; levenshtein=0.4545; semantic=0.4479; sequence_match=0.5263,False,0.5635,False,top-3 avg score 0.5635 < final_threshold 0.7
ObjectProperty,conflict,has policy,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6481; levenshtein=0.3333; semantic=0.5614; sequence_match=0.4706,False,0.56,False,top-3 avg score 0.5600 < final_threshold 0.7
ObjectProperty,hasPolicy,has constraint,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6538; levenshtein=0.3846; semantic=0.5713; sequence_match=0.4545,False,0.5599,False,top-3 avg score 0.5599 < final_threshold 0.7
ObjectProperty,conflict,contains,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6667; levenshtein=0.5000; semantic=0.5126; sequence_match=0.5000,False,0.5598,False,top-3 avg score 0.5598 < final_threshold 0.7
ObjectProperty,function,has condition,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6389; levenshtein=0.4167; semantic=0.5397; sequence_match=0.5000,False,0.5595,False,top-3 avg score 0.5595 < final_threshold 0.7
ObjectProperty,target,has role,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6429; levenshtein=0.2857; semantic=0.5734; sequence_match=0.4615,False,0.5593,False,top-3 avg score 0.5593 < final_threshold 0.7
ObjectProperty,operand,constrains,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5738; levenshtein=0.4000; semantic=0.6267; sequence_match=0.4706,False,0.557,False,top-3 avg score 0.5570 < final_threshold 0.7
