prop_type,gold_term,pred_term,top_methods_used,scores_by_method,is_hard_match,agg_score,selected,reason
ObjectProperty,has license,has license,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
ObjectProperty,is developed by,developed by,jaro_winkler+semantic+sequence_match,jaro_winkler=0.9487; levenshtein=0.8462; semantic=0.9364; sequence_match=0.9167,False,0.9339,True,selected
ObjectProperty,implements,implemented in,jaro_winkler+semantic+sequence_match,jaro_winkler=0.9185; levenshtein=0.6923; semantic=0.8329; sequence_match=0.7826,False,0.8446,True,selected
ObjectProperty,has output,has output format,jaro_winkler+semantic+sequence_match,jaro_winkler=0.9200; levenshtein=0.6000; semantic=0.8329; sequence_match=0.7500,False,0.8343,True,selected
ObjectProperty,has input,has input format,jaro_winkler+semantic+sequence_match,jaro_winkler=0.9143; levenshtein=0.5714; semantic=0.7945; sequence_match=0.7273,False,0.812,True,selected
ObjectProperty,uses platform,runs on platform,semantic+sequence_match+jaro_winkler,jaro_winkler=0.7492; levenshtein=0.7143; semantic=0.8535; sequence_match=0.7692,False,0.7906,True,selected
ObjectProperty,has version,released version,semantic+jaro_winkler+sequence_match,jaro_winkler=0.7593; levenshtein=0.6000; semantic=0.7844; sequence_match=0.7200,False,0.7545,True,selected
ObjectProperty,uses software,has software type,jaro_winkler+semantic+sequence_match,jaro_winkler=0.7833; levenshtein=0.5333; semantic=0.7271; sequence_match=0.6667,False,0.7257,True,selected
ObjectProperty,uses platform,uses algorithm,jaro_winkler+sequence_match+semantic,jaro_winkler=0.8805; levenshtein=0.4615; semantic=0.6325; sequence_match=0.6400,False,0.7177,False,gold already mapped to 'runs on platform'
ObjectProperty,has specified data input,has data,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8444; levenshtein=0.3333; semantic=0.7228; sequence_match=0.5000,False,0.6891,False,top-3 avg score 0.6891 < final_threshold 0.7
ObjectProperty,has interface,has input format,jaro_winkler+sequence_match+semantic,jaro_winkler=0.8563; levenshtein=0.5000; semantic=0.5949; sequence_match=0.6154,False,0.6889,False,top-3 avg score 0.6889 < final_threshold 0.7
ObjectProperty,has clause,has license,jaro_winkler+sequence_match+semantic,jaro_winkler=0.8115; levenshtein=0.5000; semantic=0.6169; sequence_match=0.6316,False,0.6866,False,top-3 avg score 0.6866 < final_threshold 0.7
ObjectProperty,has function,has tool,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8061; levenshtein=0.4545; semantic=0.6956; sequence_match=0.5556,False,0.6857,False,top-3 avg score 0.6857 < final_threshold 0.7
ObjectProperty,has specified data output,has data,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8409; levenshtein=0.3182; semantic=0.7123; sequence_match=0.4828,False,0.6787,False,top-3 avg score 0.6787 < final_threshold 0.7
ObjectProperty,has interface,has license,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8464; levenshtein=0.4167; semantic=0.6034; sequence_match=0.5455,False,0.6651,False,top-3 avg score 0.6651 < final_threshold 0.7
ObjectProperty,has function,has community,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8474; levenshtein=0.3333; semantic=0.6203; sequence_match=0.5217,False,0.6632,False,top-3 avg score 0.6632 < final_threshold 0.7
ObjectProperty,is software for,has software type,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6530; levenshtein=0.6000; semantic=0.6819; sequence_match=0.6429,False,0.6593,False,top-3 avg score 0.6593 < final_threshold 0.7
ObjectProperty,has output,has input format,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8449; levenshtein=0.4286; semantic=0.6085; sequence_match=0.5217,False,0.6584,False,top-3 avg score 0.6584 < final_threshold 0.7
ObjectProperty,has format specification,has output format,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6707; levenshtein=0.3636; semantic=0.8151; sequence_match=0.4865,False,0.6574,False,top-3 avg score 0.6574 < final_threshold 0.7
ObjectProperty,has output,has community,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8056; levenshtein=0.4167; semantic=0.5943; sequence_match=0.5714,False,0.6571,False,top-3 avg score 0.6571 < final_threshold 0.7
ObjectProperty,has format specification,has input format,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6898; levenshtein=0.2727; semantic=0.7557; sequence_match=0.5000,False,0.6485,False,top-3 avg score 0.6485 < final_threshold 0.7
ObjectProperty,has declared status,has data,jaro_winkler+sequence_match+semantic,jaro_winkler=0.8824; levenshtein=0.4118; semantic=0.4533; sequence_match=0.5833,False,0.6397,False,top-3 avg score 0.6397 < final_threshold 0.7
ObjectProperty,has version,has license,jaro_winkler+semantic+sequence_match,jaro_winkler=0.7933; levenshtein=0.3000; semantic=0.6209; sequence_match=0.5000,False,0.6381,False,top-3 avg score 0.6381 < final_threshold 0.7
ObjectProperty,has specified data output,has output format,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6535; levenshtein=0.2727; semantic=0.7590; sequence_match=0.4865,False,0.633,False,top-3 avg score 0.6330 < final_threshold 0.7
ObjectProperty,has input,has license,jaro_winkler+sequence_match+semantic,jaro_winkler=0.7958; levenshtein=0.4000; semantic=0.5326; sequence_match=0.5556,False,0.628,False,top-3 avg score 0.6280 < final_threshold 0.7
ObjectProperty,has version,has permissiveness,jaro_winkler+semantic+levenshtein,jaro_winkler=0.8006; levenshtein=0.4706; semantic=0.6069; sequence_match=0.4444,False,0.626,False,top-3 avg score 0.6260 < final_threshold 0.7
ObjectProperty,uses software,uses algorithm,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6774; levenshtein=0.3077; semantic=0.7035; sequence_match=0.4800,False,0.6203,False,top-3 avg score 0.6203 < final_threshold 0.7
ObjectProperty,has input,has help,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6905; levenshtein=0.3750; semantic=0.6316; sequence_match=0.5333,False,0.6185,False,top-3 avg score 0.6185 < final_threshold 0.7
ObjectProperty,has specified data input,has input format,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6164; levenshtein=0.2857; semantic=0.7702; sequence_match=0.4571,False,0.6146,False,top-3 avg score 0.6146 < final_threshold 0.7
ObjectProperty,has license,has permissiveness,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6735; levenshtein=0.4118; semantic=0.6475; sequence_match=0.5185,False,0.6132,False,top-3 avg score 0.6132 < final_threshold 0.7
ObjectProperty,has output,has tool,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6899; levenshtein=0.4444; semantic=0.6482; sequence_match=0.5000,False,0.6127,False,top-3 avg score 0.6127 < final_threshold 0.7
ObjectProperty,has output,has data,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6720; levenshtein=0.4444; semantic=0.6554; sequence_match=0.5000,False,0.6091,False,top-3 avg score 0.6091 < final_threshold 0.7
ObjectProperty,has interface,has software type,jaro_winkler+semantic+sequence_match,jaro_winkler=0.7965; levenshtein=0.4000; semantic=0.5767; sequence_match=0.4444,False,0.6059,False,top-3 avg score 0.6059 < final_threshold 0.7
ObjectProperty,has input,has data,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6905; levenshtein=0.3750; semantic=0.5842; sequence_match=0.5333,False,0.6027,False,top-3 avg score 0.6027 < final_threshold 0.7
ObjectProperty,has output,has help,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6720; levenshtein=0.4444; semantic=0.6256; sequence_match=0.5000,False,0.5992,False,top-3 avg score 0.5992 < final_threshold 0.7
ObjectProperty,has interface,has data,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6437; levenshtein=0.4167; semantic=0.6246; sequence_match=0.5263,False,0.5982,False,top-3 avg score 0.5982 < final_threshold 0.7
