gold_term,pred_term,top_methods_used,scores_by_method,is_hard_match,agg_score,selected,reason
Actuator,Actuator,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
ChemicalProperty,Chemical Property,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
Sensor,Sensor,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
Tariff,Tariff,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
Water meter,Water Meter,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
Water property,Water Property,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
Measurement,Measurement Aspect,jaro_winkler+semantic+sequence_match,jaro_winkler=0.9294; levenshtein=0.6471; semantic=0.8948; sequence_match=0.7857,False,0.87,True,selected
Water infrastructure,Water Distribution Infrastructure,semantic+jaro_winkler+sequence_match,jaro_winkler=0.8699; levenshtein=0.6129; semantic=0.9136; sequence_match=0.7600,False,0.8479,True,selected
Temporal entity,Temporal Setting,jaro_winkler+semantic+sequence_match,jaro_winkler=0.9437; levenshtein=0.7333; semantic=0.7760; sequence_match=0.7586,False,0.8261,True,selected
Water,Water Indicator,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8714; levenshtein=0.3571; semantic=0.7301; sequence_match=0.5263,False,0.7093,True,selected
Water asset,Water Meter Tariff Assignment,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8369; levenshtein=0.3846; semantic=0.6393; sequence_match=0.5556,False,0.6773,True,selected
Meter,Water Meter Measurement,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6127; levenshtein=0.2381; semantic=0.8069; sequence_match=0.3846,False,0.6014,True,selected
Actuator,Actuator Type,jaro_winkler+semantic+sequence_match,jaro_winkler=0.9333; levenshtein=0.6667; semantic=0.8004; sequence_match=0.8000,False,0.8446,False,gold already mapped to 'Actuator'
Sensor,Sensor Type,jaro_winkler+semantic+sequence_match,jaro_winkler=0.9200; levenshtein=0.6000; semantic=0.8433; sequence_match=0.7500,False,0.8378,False,gold already mapped to 'Sensor'
Water meter,Water Meter Billing,jaro_winkler+semantic+sequence_match,jaro_winkler=0.9176; levenshtein=0.5882; semantic=0.8429; sequence_match=0.7407,False,0.8338,False,gold already mapped to 'Water Meter'
Water meter,Water Meter Measurement,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8952; levenshtein=0.4762; semantic=0.8649; sequence_match=0.6452,False,0.8018,False,gold already mapped to 'Water Meter'
Water property,Water Property Measurement,jaro_winkler+semantic+sequence_match,jaro_winkler=0.9083; levenshtein=0.5417; semantic=0.7654; sequence_match=0.7027,False,0.7922,False,gold already mapped to 'Water Property'
Water asset,Water Property,semantic+jaro_winkler+sequence_match,jaro_winkler=0.8477; levenshtein=0.5385; semantic=0.8613; sequence_match=0.6087,False,0.7726,False,pred already taken by 'Water property' (higher averaged score)
Temporal duration,Temporal Setting,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8842; levenshtein=0.6250; semantic=0.7138; sequence_match=0.7097,False,0.7692,False,pred already taken by 'Temporal entity' (higher averaged score)
Water,Water Meter,jaro_winkler+semantic+sequence_match,jaro_winkler=0.9000; levenshtein=0.5000; semantic=0.7251; sequence_match=0.6667,False,0.7639,False,pred already taken by 'Water meter' (higher averaged score)
Water asset,Water Meter,jaro_winkler+sequence_match+semantic,jaro_winkler=0.8800; levenshtein=0.6000; semantic=0.6763; sequence_match=0.7000,False,0.7521,False,pred already taken by 'Water meter' (higher averaged score)
Water infrastructure,Infrastructure Asset,jaro_winkler+sequence_match+semantic,jaro_winkler=0.7489; levenshtein=0.4737; semantic=0.7187; sequence_match=0.7368,False,0.7348,False,gold already mapped to 'Water Distribution Infrastructure'
Water meter,Water Meter Tariff Assignment,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8769; levenshtein=0.3846; semantic=0.7568; sequence_match=0.5556,False,0.7298,False,gold already mapped to 'Water Meter'
Water,Water Property,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8769; levenshtein=0.3846; semantic=0.7434; sequence_match=0.5556,False,0.7253,False,pred already taken by 'Water property' (higher averaged score)
Water meter,Water Indicator,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8400; levenshtein=0.5000; semantic=0.7187; sequence_match=0.5833,False,0.714,False,gold already mapped to 'Water Meter'
Water meter,Water Property,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8581; levenshtein=0.5385; semantic=0.6433; sequence_match=0.6087,False,0.7033,False,gold already mapped to 'Water Meter'
Water property,Water Meter,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8581; levenshtein=0.5385; semantic=0.6433; sequence_match=0.6087,False,0.7033,False,gold already mapped to 'Water Property'
Measurement,Water Meter Measurement,semantic+sequence_match+jaro_winkler,jaro_winkler=0.5777; levenshtein=0.5238; semantic=0.8332; sequence_match=0.6875,False,0.6995,False,gold already mapped to 'Measurement Aspect'
Water meter,Water Property Measurement,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8633; levenshtein=0.3750; semantic=0.7460; sequence_match=0.4706,False,0.6933,False,gold already mapped to 'Water Meter'
Water asset,Water Indicator,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8400; levenshtein=0.4286; semantic=0.6505; sequence_match=0.5833,False,0.6913,False,pred already taken by 'Water' (higher averaged score)
Meter,Water Meter,semantic+sequence_match+jaro_winkler,jaro_winkler=0.5667; levenshtein=0.5000; semantic=0.8181; sequence_match=0.6667,False,0.6838,False,pred already taken by 'Water meter' (higher averaged score)
Water asset,Water Meter Measurement,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8213; levenshtein=0.4286; semantic=0.5891; sequence_match=0.5806,False,0.6637,False,gold already mapped to 'Water Meter Tariff Assignment'
