prop_type,gold_term,pred_term,top_methods_used,scores_by_method,is_hard_match,agg_score,selected,reason
ObjectProperty,hasPolicy,has policy,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
ObjectProperty,obligation,has obligation,semantic+sequence_match+jaro_winkler,jaro_winkler=0.8231; levenshtein=0.7692; semantic=0.9503; sequence_match=0.8696,False,0.881,True,selected
ObjectProperty,prohibition,has prohibition,semantic+sequence_match+jaro_winkler,jaro_winkler=0.8680; levenshtein=0.7857; semantic=0.8858; sequence_match=0.8800,False,0.8779,True,selected
ObjectProperty,permission,has permission,semantic+sequence_match+jaro_winkler,jaro_winkler=0.8231; levenshtein=0.7692; semantic=0.9382; sequence_match=0.8696,False,0.877,True,selected
ObjectProperty,constraint,has constraint,semantic+sequence_match+jaro_winkler,jaro_winkler=0.8231; levenshtein=0.7692; semantic=0.9340; sequence_match=0.8696,False,0.8755,True,selected
ObjectProperty,operator,has operator,semantic+sequence_match+jaro_winkler,jaro_winkler=0.8258; levenshtein=0.7273; semantic=0.9131; sequence_match=0.8421,False,0.8603,True,selected
ObjectProperty,andSequence,has sequence,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8788; levenshtein=0.7273; semantic=0.8393; sequence_match=0.8182,False,0.8454,True,selected
ObjectProperty,remedy,has remedy,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8889; levenshtein=0.6667; semantic=0.8339; sequence_match=0.8000,False,0.8409,True,selected
ObjectProperty,partOf,is party of,jaro_winkler+sequence_match+levenshtein,jaro_winkler=0.8889; levenshtein=0.6667; semantic=0.6025; sequence_match=0.8000,False,0.7852,True,selected
ObjectProperty,consequence,has consequence duty,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8098; levenshtein=0.6111; semantic=0.7758; sequence_match=0.7586,False,0.7814,True,selected
ObjectProperty,duty,is duty of,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8333; levenshtein=0.5000; semantic=0.7894; sequence_match=0.6667,False,0.7631,True,selected
ObjectProperty,failure,has failure rule,jaro_winkler+semantic+sequence_match,jaro_winkler=0.7857; levenshtein=0.5000; semantic=0.7813; sequence_match=0.6667,False,0.7446,True,selected
ObjectProperty,constraint,is constraint of,semantic+jaro_winkler+sequence_match,jaro_winkler=0.8381; levenshtein=0.7143; semantic=0.8875; sequence_match=0.8333,False,0.853,False,gold already mapped to 'has constraint'
ObjectProperty,operator,is operator of,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8889; levenshtein=0.6667; semantic=0.8638; sequence_match=0.8000,False,0.8509,False,gold already mapped to 'has operator'
ObjectProperty,obligation,is obligation of,semantic+sequence_match+jaro_winkler,jaro_winkler=0.7714; levenshtein=0.7143; semantic=0.9295; sequence_match=0.8333,False,0.8447,False,gold already mapped to 'has obligation'
ObjectProperty,prohibition,is prohibition of,semantic+sequence_match+jaro_winkler,jaro_winkler=0.7899; levenshtein=0.7333; semantic=0.8723; sequence_match=0.8462,False,0.8361,False,gold already mapped to 'has prohibition'
ObjectProperty,constraint,has constraint set,semantic+jaro_winkler+sequence_match,jaro_winkler=0.7750; levenshtein=0.6250; semantic=0.8749; sequence_match=0.7692,False,0.8064,False,gold already mapped to 'has constraint'
ObjectProperty,permission,is permission of,sequence_match+semantic+jaro_winkler,jaro_winkler=0.7714; levenshtein=0.7143; semantic=0.8005; sequence_match=0.8333,False,0.8018,False,gold already mapped to 'has permission'
ObjectProperty,remedy,is remedy of,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8667; levenshtein=0.6000; semantic=0.7718; sequence_match=0.7500,False,0.7962,False,gold already mapped to 'has remedy'
ObjectProperty,hasPolicy,is policy of,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8259; levenshtein=0.6000; semantic=0.7803; sequence_match=0.7368,False,0.781,False,gold already mapped to 'has policy'
ObjectProperty,constraint,is constraint set of,semantic+sequence_match+jaro_winkler,jaro_winkler=0.7294; levenshtein=0.5882; semantic=0.8368; sequence_match=0.7407,False,0.769,False,gold already mapped to 'has constraint'
ObjectProperty,andSequence,is sequence of,jaro_winkler+semantic+sequence_match,jaro_winkler=0.7980; levenshtein=0.5833; semantic=0.7976; sequence_match=0.6957,False,0.7637,False,gold already mapped to 'has sequence'
ObjectProperty,consequence,is consequence duty of,jaro_winkler+semantic+sequence_match,jaro_winkler=0.7990; levenshtein=0.5789; semantic=0.7483; sequence_match=0.7333,False,0.7602,False,gold already mapped to 'has consequence duty'
ObjectProperty,consequence,has sequence,jaro_winkler+sequence_match+levenshtein,jaro_winkler=0.8182; levenshtein=0.7273; semantic=0.5159; sequence_match=0.7273,False,0.7576,False,gold already mapped to 'has consequence duty'
ObjectProperty,failure,is failure rule of,jaro_winkler+semantic+sequence_match,jaro_winkler=0.7746; levenshtein=0.4667; semantic=0.7438; sequence_match=0.6364,False,0.7183,False,gold already mapped to 'has failure rule'
ObjectProperty,duty,has duty,semantic+sequence_match+levenshtein,jaro_winkler=0.0000; levenshtein=0.5714; semantic=0.8559; sequence_match=0.7273,False,0.7182,False,gold already mapped to 'is duty of'
ObjectProperty,constraint,is logical constraint of,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6921; levenshtein=0.4762; semantic=0.8080; sequence_match=0.6452,False,0.7151,False,gold already mapped to 'has constraint'
ObjectProperty,constraint,has logical constraint,semantic+sequence_match+jaro_winkler,jaro_winkler=0.5881; levenshtein=0.5000; semantic=0.8345; sequence_match=0.6667,False,0.6964,False,top-3 avg score 0.6964 < final_threshold 0.7
ObjectProperty,hasPolicy,has role,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8296; levenshtein=0.5556; semantic=0.6277; sequence_match=0.6250,False,0.6941,False,top-3 avg score 0.6941 < final_threshold 0.7
ObjectProperty,inheritFrom,has inheritance,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6645; levenshtein=0.5000; semantic=0.8171; sequence_match=0.5600,False,0.6805,False,top-3 avg score 0.6805 < final_threshold 0.7
ObjectProperty,inheritFrom,is inherited by,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6297; levenshtein=0.5385; semantic=0.8242; sequence_match=0.5833,False,0.6791,False,top-3 avg score 0.6791 < final_threshold 0.7
ObjectProperty,inheritRelation,has inheritance,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6937; levenshtein=0.3333; semantic=0.7887; sequence_match=0.5517,False,0.678,False,top-3 avg score 0.6780 < final_threshold 0.7
ObjectProperty,hasPolicy,has party,jaro_winkler+sequence_match+semantic,jaro_winkler=0.8361; levenshtein=0.5556; semantic=0.5838; sequence_match=0.5882,False,0.6694,False,top-3 avg score 0.6694 < final_threshold 0.7
ObjectProperty,inheritRelation,is inherited by,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6160; levenshtein=0.4000; semantic=0.8063; sequence_match=0.5714,False,0.6646,False,top-3 avg score 0.6646 < final_threshold 0.7
ObjectProperty,permission,has exclusive permission,semantic+sequence_match+jaro_winkler,jaro_winkler=0.5091; levenshtein=0.4545; semantic=0.8370; sequence_match=0.6250,False,0.657,False,top-3 avg score 0.6570 < final_threshold 0.7
ObjectProperty,consequence,is sequence of,sequence_match+jaro_winkler+levenshtein,jaro_winkler=0.6730; levenshtein=0.5833; semantic=0.4813; sequence_match=0.6957,False,0.6507,False,top-3 avg score 0.6507 < final_threshold 0.7
ObjectProperty,operand,is operator of,jaro_winkler+semantic+sequence_match,jaro_winkler=0.7103; levenshtein=0.4167; semantic=0.7030; sequence_match=0.5263,False,0.6465,False,top-3 avg score 0.6465 < final_threshold 0.7
ObjectProperty,conflict,has conflict resolution strategy,jaro_winkler+semantic+sequence_match,jaro_winkler=0.7586; levenshtein=0.2759; semantic=0.7470; sequence_match=0.4324,False,0.646,False,top-3 avg score 0.6460 < final_threshold 0.7
ObjectProperty,constraint,has container,jaro_winkler+sequence_match+semantic,jaro_winkler=0.6972; levenshtein=0.4167; semantic=0.5909; sequence_match=0.6364,False,0.6415,False,top-3 avg score 0.6415 < final_threshold 0.7
ObjectProperty,hasPolicy,has obligation,jaro_winkler+semantic+sequence_match,jaro_winkler=0.7966; levenshtein=0.3846; semantic=0.5667; sequence_match=0.5455,False,0.6362,False,top-3 avg score 0.6362 < final_threshold 0.7
ObjectProperty,operand,has operator,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5896; levenshtein=0.4545; semantic=0.7565; sequence_match=0.5556,False,0.6339,False,top-3 avg score 0.6339 < final_threshold 0.7
ObjectProperty,andSequence,has consequence duty,sequence_match+jaro_winkler+levenshtein,jaro_winkler=0.6882; levenshtein=0.5000; semantic=0.4687; sequence_match=0.6897,False,0.626,False,top-3 avg score 0.6260 < final_threshold 0.7
ObjectProperty,action,has condition,jaro_winkler+sequence_match+semantic,jaro_winkler=0.6833; levenshtein=0.5000; semantic=0.5271; sequence_match=0.6667,False,0.6257,False,top-3 avg score 0.6257 < final_threshold 0.7
ObjectProperty,constraint,is container of,jaro_winkler+sequence_match+semantic,jaro_winkler=0.7160; levenshtein=0.3846; semantic=0.5298; sequence_match=0.6087,False,0.6182,False,top-3 avg score 0.6182 < final_threshold 0.7
ObjectProperty,hasPolicy,has rule,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6720; levenshtein=0.4444; semantic=0.6712; sequence_match=0.5000,False,0.6144,False,top-3 avg score 0.6144 < final_threshold 0.7
ObjectProperty,constraint,has condition,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6972; levenshtein=0.2500; semantic=0.5957; sequence_match=0.5455,False,0.6128,False,top-3 avg score 0.6128 < final_threshold 0.7
ObjectProperty,permission,is exclusive permission of,semantic+sequence_match+jaro_winkler,jaro_winkler=0.5058; levenshtein=0.4348; semantic=0.7196; sequence_match=0.6061,False,0.6105,False,top-3 avg score 0.6105 < final_threshold 0.7
ObjectProperty,assigner,has container,jaro_winkler+sequence_match+semantic,jaro_winkler=0.6944; levenshtein=0.4167; semantic=0.5238; sequence_match=0.6000,False,0.6061,False,top-3 avg score 0.6061 < final_threshold 0.7
ObjectProperty,obligation,has prohibition,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6381; levenshtein=0.3571; semantic=0.5893; sequence_match=0.5833,False,0.6036,False,top-3 avg score 0.6036 < final_threshold 0.7
ObjectProperty,assignee,has inheritance,jaro_winkler+sequence_match+semantic,jaro_winkler=0.7262; levenshtein=0.3571; semantic=0.5359; sequence_match=0.5455,False,0.6025,False,top-3 avg score 0.6025 < final_threshold 0.7
ObjectProperty,scope,has operator,jaro_winkler+semantic+sequence_match,jaro_winkler=0.7212; levenshtein=0.2727; semantic=0.5825; sequence_match=0.5000,False,0.6012,False,top-3 avg score 0.6012 < final_threshold 0.7
ObjectProperty,assigner,has inheritance,jaro_winkler+sequence_match+semantic,jaro_winkler=0.7262; levenshtein=0.2857; semantic=0.5270; sequence_match=0.5455,False,0.5995,False,top-3 avg score 0.5995 < final_threshold 0.7
ObjectProperty,hasPolicy,has duty,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6720; levenshtein=0.4444; semantic=0.6264; sequence_match=0.5000,False,0.5994,False,top-3 avg score 0.5994 < final_threshold 0.7
ObjectProperty,inheritFrom,is operator of,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6923; levenshtein=0.5000; semantic=0.5691; sequence_match=0.5217,False,0.5944,False,top-3 avg score 0.5944 < final_threshold 0.7
ObjectProperty,hasPolicy,has prohibition,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6984; levenshtein=0.4286; semantic=0.5553; sequence_match=0.5217,False,0.5918,False,top-3 avg score 0.5918 < final_threshold 0.7
ObjectProperty,andSequence,has requirement,jaro_winkler+sequence_match+semantic,jaro_winkler=0.7246; levenshtein=0.2857; semantic=0.4880; sequence_match=0.5600,False,0.5909,False,top-3 avg score 0.5909 < final_threshold 0.7
ObjectProperty,permission,has prohibition,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6381; levenshtein=0.3571; semantic=0.6289; sequence_match=0.5000,False,0.589,False,top-3 avg score 0.5890 < final_threshold 0.7
ObjectProperty,prohibition,has permission,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6773; levenshtein=0.3077; semantic=0.5895; sequence_match=0.5000,False,0.589,False,top-3 avg score 0.5890 < final_threshold 0.7
ObjectProperty,conflict,is conflict resolution strategy of,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6306; levenshtein=0.2667; semantic=0.7067; sequence_match=0.4211,False,0.5861,False,top-3 avg score 0.5861 < final_threshold 0.7
ObjectProperty,leftOperand,has operator,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5697; levenshtein=0.3636; semantic=0.7259; sequence_match=0.4545,False,0.5834,False,top-3 avg score 0.5834 < final_threshold 0.7
ObjectProperty,partOf,has party,jaro_winkler+sequence_match+semantic,jaro_winkler=0.6389; levenshtein=0.3750; semantic=0.5387; sequence_match=0.5714,False,0.583,False,top-3 avg score 0.5830 < final_threshold 0.7
ObjectProperty,scope,has role,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6762; levenshtein=0.4286; semantic=0.5690; sequence_match=0.5000,False,0.5817,False,top-3 avg score 0.5817 < final_threshold 0.7
ObjectProperty,conflict,has condition,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6806; levenshtein=0.3333; semantic=0.5593; sequence_match=0.5000,False,0.58,False,top-3 avg score 0.5800 < final_threshold 0.7
ObjectProperty,obligation,is prohibition of,jaro_winkler+sequence_match+semantic,jaro_winkler=0.6270; levenshtein=0.3333; semantic=0.5519; sequence_match=0.5600,False,0.5796,False,top-3 avg score 0.5796 < final_threshold 0.7
ObjectProperty,relation,has obligation,jaro_winkler+sequence_match+semantic,jaro_winkler=0.6261; levenshtein=0.4615; semantic=0.5410; sequence_match=0.5714,False,0.5795,False,top-3 avg score 0.5795 < final_threshold 0.7
ObjectProperty,scope,is operator of,jaro_winkler+semantic+sequence_match,jaro_winkler=0.7111; levenshtein=0.2500; semantic=0.5471; sequence_match=0.4706,False,0.5763,False,top-3 avg score 0.5763 < final_threshold 0.7
ObjectProperty,hasPolicy,has condition,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6667; levenshtein=0.4167; semantic=0.5691; sequence_match=0.4762,False,0.5707,False,top-3 avg score 0.5707 < final_threshold 0.7
ObjectProperty,inheritRelation,has permission,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6684; levenshtein=0.3333; semantic=0.5361; sequence_match=0.5000,False,0.5681,False,top-3 avg score 0.5681 < final_threshold 0.7
ObjectProperty,action,has container,jaro_winkler+semantic+sequence_match,jaro_winkler=0.7222; levenshtein=0.3333; semantic=0.5368; sequence_match=0.4444,False,0.5678,False,top-3 avg score 0.5678 < final_threshold 0.7
