role,gold_term,pred_term,top_methods_used,scores_by_method,is_hard_match,agg_score,selected,reason
class,permission,permission,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0000,True,selected
class,duty,duty,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0000,True,selected
class,party,party,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0000,True,selected
class,constraint,constraint,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0000,True,selected
class,asset,asset,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0000,True,selected
class,rule,rule,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0000,True,selected
class,policy,policy,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0000,True,selected
class,prohibition,prohibition,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0000,True,selected
class,operator,operator,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0000,True,selected
class,logicalconstraint,orconstraint,semantic+sequence_match+jaro_winkler,jaro_winkler=0.7334; levenshtein=0.6471; semantic=0.8190; sequence_match=0.7586,False,0.7703,True,selected
class,conflict strategy preference,conflictresolutionstrategy,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8397; levenshtein=0.3462; semantic=0.7537; sequence_match=0.6154,False,0.7362,True,selected
class,action,condition,sequence_match+jaro_winkler+semantic,jaro_winkler=0.6630; levenshtein=0.4444; semantic=0.5670; sequence_match=0.6667,False,0.6322,True,selected
class,constraint,orconstraint,semantic+sequence_match+jaro_winkler,jaro_winkler=0.8444; levenshtein=0.8333; semantic=0.9105; sequence_match=0.9091,False,0.8880,False,gold already mapped to 'constraint'
class,constraint,xorconstraint,sequence_match+semantic+jaro_winkler,jaro_winkler=0.8231; levenshtein=0.7692; semantic=0.8460; sequence_match=0.8696,False,0.8462,False,gold already mapped to 'constraint'
class,constraint,andconstraint,semantic+sequence_match+jaro_winkler,jaro_winkler=0.7897; levenshtein=0.7692; semantic=0.8732; sequence_match=0.8696,False,0.8442,False,gold already mapped to 'constraint'
class,constraint,contract,jaro_winkler+sequence_match+levenshtein,jaro_winkler=0.9008; levenshtein=0.7000; semantic=0.6847; sequence_match=0.7778,False,0.7929,False,gold already mapped to 'constraint'
class,logicalconstraint,constraint,semantic+sequence_match+jaro_winkler,jaro_winkler=0.7294; levenshtein=0.5882; semantic=0.8875; sequence_match=0.7407,False,0.7859,False,pred already taken by 'constraint' (higher averaged score)
class,rule,role,jaro_winkler+levenshtein+sequence_match,jaro_winkler=0.8500; levenshtein=0.7500; semantic=0.6705; sequence_match=0.7500,False,0.7833,False,gold already mapped to 'rule'
class,constraint,container,jaro_winkler+sequence_match+semantic,jaro_winkler=0.8691; levenshtein=0.6000; semantic=0.6342; sequence_match=0.7368,False,0.7467,False,gold already mapped to 'constraint'
class,logicalconstraint,xorconstraint,semantic+sequence_match+jaro_winkler,jaro_winkler=0.7099; levenshtein=0.6471; semantic=0.7946; sequence_match=0.7333,False,0.7459,False,gold already mapped to 'orconstraint'
class,logicalconstraint,andconstraint,semantic+sequence_match+jaro_winkler,jaro_winkler=0.7099; levenshtein=0.5882; semantic=0.7905; sequence_match=0.7333,False,0.7446,False,gold already mapped to 'orconstraint'
class,assetcollection,asset,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8667; levenshtein=0.3333; semantic=0.7949; sequence_match=0.5000,False,0.7205,False,pred already taken by 'asset' (higher averaged score)
class,constraint,condition,jaro_winkler+semantic+sequence_match,jaro_winkler=0.7900; levenshtein=0.4000; semantic=0.6493; sequence_match=0.6316,False,0.6903,False,gold already mapped to 'constraint'
class,constraint,contractparty,jaro_winkler+sequence_match+semantic,jaro_winkler=0.8223; levenshtein=0.4615; semantic=0.5827; sequence_match=0.6087,False,0.6712,False,gold already mapped to 'constraint'
class,permission,prohibition,jaro_winkler+semantic+sequence_match,jaro_winkler=0.7436; levenshtein=0.4545; semantic=0.6710; sequence_match=0.5714,False,0.6620,False,gold already mapped to 'permission'
class,prohibition,permission,jaro_winkler+semantic+sequence_match,jaro_winkler=0.7436; levenshtein=0.4545; semantic=0.6710; sequence_match=0.5714,False,0.6620,False,gold already mapped to 'prohibition'
class,rule,rel,jaro_winkler+semantic+sequence_match,jaro_winkler=0.7500; levenshtein=0.5000; semantic=0.6562; sequence_match=0.5714,False,0.6592,False,gold already mapped to 'rule'
class,action,violation,sequence_match+jaro_winkler+semantic,jaro_winkler=0.6204; levenshtein=0.4444; semantic=0.5956; sequence_match=0.6667,False,0.6275,False,gold already mapped to 'condition'
class,prohibition,condition,jaro_winkler+sequence_match+levenshtein,jaro_winkler=0.6818; levenshtein=0.5455; semantic=0.5094; sequence_match=0.6000,False,0.6091,False,gold already mapped to 'prohibition'
class,prohibition,violation,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6263; levenshtein=0.4545; semantic=0.6819; sequence_match=0.5000,False,0.6027,False,gold already mapped to 'prohibition'
class,logicalconstraint,contract,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5899; levenshtein=0.4118; semantic=0.6207; sequence_match=0.5600,False,0.5902,False,top-3 avg score 0.5902 < final_threshold 0.6
class,operator,contract,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5833; levenshtein=0.2500; semantic=0.6357; sequence_match=0.5000,False,0.5730,False,top-3 avg score 0.5730 < final_threshold 0.6
