prop_type,gold_term,pred_term,top_methods_used,scores_by_method,is_hard_match,agg_score,selected,reason
ObjectProperty,operand,has operand,semantic+sequence_match+jaro_winkler,jaro_winkler=0.8048; levenshtein=0.7000; semantic=0.9169; sequence_match=0.8235,False,0.8484,True,selected
ObjectProperty,constraint,constrains requirement,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8657; levenshtein=0.4762; semantic=0.7867; sequence_match=0.6452,False,0.7659,True,selected
ObjectProperty,prohibition,relates to prohibition,semantic+jaro_winkler+sequence_match,jaro_winkler=0.7591; levenshtein=0.5500; semantic=0.8133; sequence_match=0.7097,False,0.7607,True,selected
ObjectProperty,leftOperand,has operand,semantic+jaro_winkler+sequence_match,jaro_winkler=0.7312; levenshtein=0.6364; semantic=0.8445; sequence_match=0.6667,False,0.7474,False,pred already taken by 'operand'
ObjectProperty,constraint,applies to constraint,semantic+sequence_match+jaro_winkler,jaro_winkler=0.5942; levenshtein=0.5263; semantic=0.8287; sequence_match=0.6897,False,0.7042,False,gold already mapped to 'constrains requirement'
ObjectProperty,hasPolicy,has role,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8296; levenshtein=0.5556; semantic=0.6277; sequence_match=0.6250,False,0.6941,False,top-3 avg score 0.6941 < final_threshold 0.7
ObjectProperty,constraint,contains element,jaro_winkler+sequence_match+semantic,jaro_winkler=0.8315; levenshtein=0.4000; semantic=0.5541; sequence_match=0.6400,False,0.6752,False,top-3 avg score 0.6752 < final_threshold 0.7
ObjectProperty,hasPolicy,has party,jaro_winkler+sequence_match+semantic,jaro_winkler=0.8361; levenshtein=0.5556; semantic=0.5838; sequence_match=0.5882,False,0.6694,False,top-3 avg score 0.6694 < final_threshold 0.7
ObjectProperty,conflict,has conflict resolution strategy,jaro_winkler+semantic+sequence_match,jaro_winkler=0.7586; levenshtein=0.2759; semantic=0.7470; sequence_match=0.4324,False,0.646,False,top-3 avg score 0.6460 < final_threshold 0.7
ObjectProperty,operator,has operand,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5750; levenshtein=0.4000; semantic=0.7761; sequence_match=0.5556,False,0.6355,False,top-3 avg score 0.6355 < final_threshold 0.7
ObjectProperty,consequence,constrains requirement,jaro_winkler+sequence_match+semantic,jaro_winkler=0.8371; levenshtein=0.3810; semantic=0.4979; sequence_match=0.5625,False,0.6325,False,top-3 avg score 0.6325 < final_threshold 0.7
ObjectProperty,scope,has operand,jaro_winkler+semantic+sequence_match,jaro_winkler=0.7333; levenshtein=0.3000; semantic=0.5870; sequence_match=0.5333,False,0.6179,False,top-3 avg score 0.6179 < final_threshold 0.7
